| Government | Lithuania |
| --- | --- |
| Country name: | conventional long form: Republic of Lithuania |
| Country name: | conventional short form: Lithuania |
| Country name: | local long form: Lietuvos Respublika |
| Country name: | local short form: Lietuva |
| Country name: | former: Lithuanian Soviet Socialist Republic |
| Government type: | parliamentary democracy |
| Capital: | name: Vilnius |
| Capital: | geographic coordinates: 54 41 N, 25 19 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 10 counties (apskritys, singular - apskritis); Alytaus, Kauno, Klaipedos, Marijampoles, Panevezio, Siauliu, Taurages, Telsiu, Utenos, Vilniaus |
| Independence: | 11 March 1990 (declared); 6 September 1991 (recognized by the Soviet Union); notable earlier dates: 6 July 1253 (coronation of MINDAUGAS, traditional founding date), 1 July 1569 (Polish-Lithuanian Commonwealth created) |
| National holiday: | Independence Day, 16 February (1918); note - 16 February 1918 was the date Lithuania declared its independence from Soviet Russia and established its statehood; 11 March 1990 was the date it declared its independence from the Soviet Union |
| Constitution: | several previous; latest adopted by referendum 25 October 1992, entered into force 2 November 1992; amended 2003 (2012) |
| Legal system: | civil law system; legislative acts can be appealed to the constitutional court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Dalia GRYBAUSKAITE (since 12 July 2009) |
| Executive branch: | head of government: Prime Minister Algirdas BUTKEVICIUS (since 22 November 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the nomination of the prime minister and approval of the Parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 17 May 2009 (next to be held in May 2014); prime minister appointed by the president on the approval of the Parliament |
| Executive branch: | election results: Dalia GRYBAUSKAITE elected president; percent of vote - Dalia GRYBAUSKAITE 69.1%, Algirdas BUTKEVICIUS 11.8%, Valentinas MAZURONIS 6.2%, others 12.9%; Algirdas BUTKEVICIUS approved by Parliament 90-40 |
| Legislative branch: | unicameral Parliament or Seimas (141 seats; 71 members elected in single-member districts, 70 elected by proportional representation; members to serve four-year terms) |
| Legislative branch: | elections: last held on 14 and 28 October 2012 (next to be held in October 2016) |
| Legislative branch: | election results: percent of vote by party (proportional vote) - DP 19.8%, LSDP 18.4%, TS-LKD 15.1%, LS 8.6%, DK 8%, TT 7.3%, LLRA 5.8%, LVZS 3.9%, other parties 13.1%; seats by party - LSDP 38, TS-LKD 33, DP 29, TT 11, LS 10, LLRA 8, DK 7, unaffiliated 4, vacant 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of 37 judges); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the president and appointed by the Seimas; judges serve 5-year renewable terms; Constitutional Court judges selected by Seimas from among nominations by the president, by the Seimas chairperson, and Supreme Court chairperson; judges serve 9-year, nonrenewable terms; note - one-third of court judges reconstituted every 3 years |
| Judicial branch: | subordinate courts: Court of Appeals; district and local courts |
| Political parties and leaders: | Christian Party or KP [Gediminas VAGNORIUS] |
| Political parties and leaders: | Civil Democracy Party or PDP [Algimantas MATULEVICIUS] |
| Political parties and leaders: | Democratic Labor and Unity Party or DDVP [Kristina BRAZAUSKIENE] |
| Political parties and leaders: | Electoral Action of Lithuanian Poles or LLRA [Valdemar TOMASEVSKI] |
| Political parties and leaders: | Emigrants Party or EP [Juozas MURAUSKAS] |
| Political parties and leaders: | Homeland Union-Lithuanian Christian Democrats or TS-LKD [Andrius KUBILIUS] |
| Political parties and leaders: | Labor Party or DP [Viktor USPASKICH] |
| Political parties and leaders: | Liberal and Center Union or LCS [Arturas MELIANAS] |
| Political parties and leaders: | Liberal Movement or LS or LRLS [Eligijus MASIULIS] |
| Political parties and leaders: | Lithuanian People's Party or LLP [Kazimiera PRUNSKIENE] |
| Political parties and leaders: | Lithuanian People's Party or LZP [Joana SIMANAUSKIENE] |
| Political parties and leaders: | Lithuanian Russian Union or LRS [Sergejus DMITRIJEVAS] |
| Political parties and leaders: | Lithuanian Social Democratic Party or LSDP [Algirdas BUTKEVICIUS] |
| Political parties and leaders: | Nationalist Union or TS [Gintaras SONGAILA] |
| Political parties and leaders: | Order and Justice Party or TT [Rolandas PAKSAS] |
| Political parties and leaders: | Peasant and Greens Union or LVZS [Ramunas KARBAUSKIS] |
| Political parties and leaders: | Republican Party or RP [Valdemaras VALKIUNAS] |
