| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Cote d'Ivoire |
| Country name: | conventional short form: Cote d'Ivoire |
| Country name: | local long form: Republique de Cote d'Ivoire |
| Country name: | local short form: Cote d'Ivoire |
| Country name: | former: Ivory Coast |
| Government type: | republic; multiparty presidential regime established 1960 |
| Capital: | Yamoussoukro; note - although Yamoussoukro has been the official capital since 1983, Abidjan remains the administrative center; the US, like other countries, maintains its Embassy in Abidjan |
| Administrative divisions: | 50 departments (departements, singular - departement); Abengourou, Abidjan, Aboisso, Adzope, Agboville, Agnibilekrou, Bangolo, Beoumi, Biankouma, Bondoukou, Bongouanou, Bouafle, Bouake, Bouna, Boundiali, Dabakala, Daloa, Danane, Daoukro, Dimbokro, Divo, Duekoue, Ferkessedougou, Gagnoa, Grand-Lahou, Guiglo, Issia, Katiola, Korhogo, Lakota, Man, Mankono, Mbahiakro, Odienne, Oume, Sakassou, San-Pedro, Sassandra, Seguela, Sinfra, Soubre, Tabou, Tanda, Tingrela, Tiassale, Touba, Toumodi, Vavoua, Yamoussoukro, Zuenoula |
| Administrative divisions: | note: Cote d'Ivoire may have a new administrative structure consisting of 58 departments; the following additional departments have been reported but not yet confirmed by the US Board on Geographic Names (BGN); Adiake', Ale'pe', Dabon, Grand Bassam, Jacqueville, Tiebissou, Toulepleu, Bocanda |
| Independence: | 7 August (1960) (from France) |
| National holiday: | Independence Day, 7 August (1960) |
| Constitution: | 3 November 1960; has been amended numerous times, last time 27 July 1998 |
| Legal system: | based on French civil law system and customary law; judicial review in the Constitutional Chamber of the Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Laurent GBAGBO (since 26 October 2000); note - took power following a popular overthrow of the interim leader Gen. Robert GUEI who had claimed a dubious victory in presidential elections; Gen. GUEI himself had assumed power on 25 December 1999, following a military coup against the government of former President Henri Konan BEDIE |
| Executive branch: | head of government: Prime Minister and Minister of Planning and Development Affi N'GUESSAN (since 27 October 2000) appointed by the president |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 26 October 2000 (next is scheduled to be held NA 2005); prime minister appointed by the president |
| Executive branch: | election results: Laurent GBAGBO elected president; percent of vote - Laurent GBAGBO 59.4%, Robert GUEI 32.7%, Francis WODIE 5.7%, other 2.2% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (225 seats; members are elected in single- and multi-district elections by direct popular vote to serve five-year terms) |
| Legislative branch: | elections: elections last held 10 December 2000 with by-elections on 14 January 2001 (next to be held NA 2005) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - FPI 96, PDCI-RDA 94, RDR 5, PIT 4, other 2, independents 22, vacant 2 |
| Legislative branch: | note: a Senate is scheduled to be created in the next full election in 2005 |
| Judicial branch: Supreme Court or Cour Supreme consists of four chambers: | Judicial Chamber for criminal cases, Audit Chamber for financial cases, Constitutional Chamber for judicial review cases, and Administrative Chamber for civil cases; there is no legal limit to the number of members |
| Political parties and leaders: | Democratic Party of Cote d'Ivoire-African Democratic Rally or PDCI-RDA [Aime Henri Konan BEDIE]; Ivorian Popular Front or FPI [Laurent GBAGBO]; Ivorian Worker's Party or PIT [Francis WODIE]; Rally of the Republicans or RDR [Henriette DAGRI-DIABATE]; Union for Democracy and Peace [Gen. Robert GUEI]; over 20 smaller parties |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, CCC, ECA, ECOWAS, Entente, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, NAM, OAU, OIC (observer), OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WADB, WADB (regional), WAEMU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Youssouf BAMBA |
| Diplomatic representation in the US: | chancery: 3421 Massachusetts Avenue NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-0300 |
| Diplomatic representation from the US: | chief of mission: Ambassador George MU |
| Diplomatic representation from the US: | embassy: 5 Rue Jesse Owens, Abidjan |
| Diplomatic representation from the US: | mailing address: B. P. 1712, Abidjan 01 |
| Diplomatic representation from the US: | telephone: [225] 20 21 09 79 |
| Diplomatic representation from the US: | FAX: [225] 20 22 32 59 |
| Flag description: | three equal vertical bands of orange (hoist side), white, and green; similar to the flag of Ireland, which is longer and has the colors reversed - green (hoist side), white, and orange; also similar to the flag of Italy, which is green (hoist side), white, and red; design was based on the flag of France |
