| Government | COTE D'IVOIRE |
| --- | --- |
| Country name: | conventional long form: Republic of Cote d'Ivoire |
| Country name: | conventional short form: Cote d'Ivoire |
| Country name: | local long form: Republique de Cote d'Ivoire |
| Country name: | local short form: Cote d'Ivoire |
| Country name: | note: pronounced coat-div-whar |
| Country name: | former: Ivory Coast |
| Country name: | etymology: name reflects the intense ivory trade that took place in the region from the 15th to 17th centuries |
| Government type: | presidential republic |
| Capital: | name: Yamoussoukro; note - although Yamoussoukro has been the official capital since 1983, Abidjan remains the commercial and administrative center; the US, like other countries, maintains its Embassy in Abidjan |
| Capital: | geographic coordinates: 6 49 N, 5 16 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 12 districts and 2 autonomous districts*; Abidjan*, Bas-Sassandra, Comoe, Denguele, Goh-Djiboua, Lacs, Lagunes, Montagnes, Sassandra-Marahoue, Savanes, Vallee du Bandama, Woroba, Yamoussoukro*, Zanzan |
| Independence: | 7 August 1960 (from France) |
| National holiday: | Independence Day, 7 August (1960) |
| Constitution: | previous 1960; latest approved by referendum 23 July 2000; amended 2004, 2012 (2016) |
| Legal system: | civil law system based on the French civil code; judicial review of legislation held in the Constitutional Chamber of the Supreme Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Cote d'Ivoire |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alassane Dramane OUATTARA (since 4 December 2010) |
| Executive branch: | head of government: Prime Minister Daniel Kablan DUNCAN (since 21 November 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (no term limits); election last held on 25 October 2015 (next to be held in 2020); prime minister appointed by the president |
| Executive branch: | election results: Alassane OUATTARA elected president; percent of vote - Alassane OUATTARA (RDR) 83.7%, Pascal Affi N'GUESSAN (ADF) 9.3%, Konan Bertin KOUADIO (independent) 3.9%, other 3.1% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (255 seats; members directly elected in single- and multi-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: last held on 11 December 2011 (next to be held on 18 December 2016) |
| Legislative branch: | election results: percent of vote by party - RDR 42.1%, PDCI 28.6%, UDPCI 3.1%, RDP 1.7%, other 24.5%; seats by party - RDR 122, PDCI 76, UDPCI 6, RDP 4, other 16, independents 31 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (organized into Judicial, Audit, Constitutional, and Administrative Chambers; consists of the court president, 3 vice-presidents for the Judicial, Audit, and Administrative chambers, and 9 associate justices or magistrates) |
| Judicial branch: | judge selection and term of office: judges nominated by the Superior Council of the Magistrature, a 7-member body consisting of the national president (chairman), 3 "bench" judges, and 3 public prosecutors; judges appointed for life |
| Judicial branch: | subordinate courts: Courts of Appeal (organized into civil, criminal, and social chambers); first instance courts; peace courts |
| Political parties and leaders: | Democratic Party of Cote d'Ivoire or PDCI [Henri Konan BEDIE] |
| Political parties and leaders: | Movement of the Future Forces or MFA [Innocent Augustin ANAKY KOBENA] |
| Political parties and leaders: | Rally of Houphouetists for Democracy and Peace |
| Political parties and leaders: | Rally of the Republicans or RDR [Alassane OUATTARA] |
| Political parties and leaders: | Union for Cote d'Ivoire or UPCI [Gnamien KONA] |
| Political parties and leaders: | Union for Democracy and Peace in Cote d'Ivoire or UDPCI [Toikeuse MABRI] |
| Political parties and leaders: | more than 144 smaller registered parties |
| Political pressure groups and leaders: | Federation of University and High School Students of Cote d'Ivoire or FESCI [Augustin MIAN] |
| Political pressure groups and leaders: | National Congress for the Resistance and Democracy or CNRD [Bernard DADIE] |
| Political pressure groups and leaders: | Panafrican Congress for Justice and Peoples Equality or COJEP [Roselin BLY] |
| Political pressure groups and leaders: | Rally of Houphouetists for Democracy and Peace or RHDP |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (compliant country), Entente, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Daouda DIABATE (since 11 February 2011) |
| Diplomatic representation in the US: | chancery: 2424 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-0300 |
| Diplomatic representation in the US: | FAX: [1] (202) 462-9444 |
| Diplomatic representation from the US: | chief of mission: Ambassador Terence Patrick MCCULLEY (since 21 November 2013) |
| Diplomatic representation from the US: | embassy: Cocody Riviera Golf 01, Abidjan |
| Diplomatic representation from the US: | mailing address: B. P. 1712, Abidjan 01 |
| Diplomatic representation from the US: | telephone: [225] 22 49 40 00 |
| Diplomatic representation from the US: | FAX: [225] 22 49 42 02 |
| Flag description: | three equal vertical bands of orange (hoist side), white, and green; orange symbolizes the land (savannah) of the north and fertility, white stands for peace and unity, green represents the forests of the south and the hope for a bright future |
| Flag description: | note: similar to the flag of Ireland, which is longer and has the colors reversed - green (hoist side), white, and orange; also similar to the flag of Italy, which is green (hoist side), white, and red; design was based on the flag of France |
| National symbol(s): | elephant; national colors: orange, white, green |
| National anthem: | name: "L'Abidjanaise" (Song of Abidjan) |
| National anthem: | lyrics/music: Mathieu EKRA, Joachim BONY, and Pierre Marie COTY/Pierre Marie COTY and Pierre Michel PANGO |
| National anthem: | note: adopted 1960; although the nation's capital city moved from Abidjan to Yamoussoukro in 1983, the anthem still owes its name to the former capital |
