| Government | Guatemala |
| --- | --- |
| Country name: | conventional long form: Republic of Guatemala |
| Country name: | conventional short form: Guatemala |
| Country name: | local short form: Guatemala |
| Country name: | local long form: Republica de Guatemala |
| Government type: | constitutional democratic republic |
| Capital: | Guatemala |
| Administrative divisions: | 22 departments (departamentos, singular - departamento); Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Peten, Quetzaltenango, Quiche, Retalhuleu, Sacatepequez, San Marcos, Santa Rosa, Solola, Suchitepequez, Totonicapan, Zacapa |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 31 May 1985, effective 14 January 1986; note - suspended 25 May 1993 by former President SERRANO; reinstated 5 June 1993 following ouster of president; amended November 1993 |
| Legal system: | civil law system; judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal (active duty members of the armed forces may not vote and are restricted to their barracks on election day) |
| Executive branch: | chief of state: President Alfonso Antonio PORTILLO Cabrera (since 14 January 2000); Vice President Juan Francisco REYES Lopez (since 14 January 2000); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Alfonso Antonio PORTILLO Cabrera (since 14 January 2000); Vice President Juan Francisco REYES Lopez (since 14 January 2000); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a four-year term; election last held 7 November 1999; runoff held 26 December 1999 (next to be held NA November 2003) |
| Executive branch: | election results: Alfonso Antonio PORTILLO Cabrera elected president; percent of vote - Alfonso Antonio PORTILLO Cabrera (FRG) 68%, Oscar BERGER Perdomo (PAN) 32% |
| Legislative branch: | unicameral Congress of the Republic or Congreso de la Republica (113 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 7 November 1999 (next to be held NA November 2003) |
| Legislative branch: | note: for the 7 November 1999 election, the number of congressional seats increased to 113 from 80; for the November 2003 election, the number of congressional seats will increase by 12-15 seats from the current 113 |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - FRG 63, PAN 37, ANN 9, DCG 2, UD/LOV 1, PLP 1; note - as of January 2003, the seat count is FRG 63, PAN 19, ANN 3, Unionista 10, URNG 5, UNE 6, independent 3, other 4 |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (thirteen members serve concurrent five-year terms and elect a president of the Court each year from among their number; the president of the Supreme Court of Justice also supervises trial judges around the country, who are named to five-year terms); Constitutional Court or Corte de Constitutcionalidad (five judges are elected for concurrent five-year terms by Congress, each serving one year as president of the Constitutional Court; one is elected by Congress, one elected by the Supreme Court of Justice, one appointed by the President, one elected by Superior Counsel of Universidad San Carlos de Guatemala, and one by Colegio de Abogados) |
