| Government | Guatemala |
| --- | --- |
| Country name: | conventional long form: Republic of Guatemala |
| Country name: | conventional short form: Guatemala |
| Country name: | local long form: Republica de Guatemala |
| Country name: | local short form: Guatemala |
| Government type: | constitutional democratic republic |
| Capital: | name: Guatemala City |
| Capital: | geographic coordinates: 14 37 N, 90 31 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in April; ends last Friday in September; note - there is no DST planned for 2007-2009 |
| Administrative divisions: | 22 departments (departamentos, singular - departamento); Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Peten, Quetzaltenango, Quiche, Retalhuleu, Sacatepequez, San Marcos, Santa Rosa, Solola, Suchitepequez, Totonicapan, Zacapa |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 31 May 1985, effective 14 January 1986; suspended 25 May 1993; reinstated 5 June 1993; amended November 1993 |
| Legal system: | civil law system; judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal; note - active duty members of the armed forces may not vote and are restricted to their barracks on election day |
| Executive branch: | chief of state: President Alvaro COLOM Caballeros (since 14 January 2008); Vice President Jose Rafael ESPADA (since 14 January 2008); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Alvaro COLOM Caballeros (since 14 January 2008); Vice President Jose Rafael ESPADA (since 14 January 2008) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a four-year term (may not serve consecutive terms); election last held 9 September 2007; runoff held 4 November 2007 (next to be held September 2011) |
| Executive branch: | election results: Alvaro COLOM Caballeros elected president; percent of vote - Alvaro COLOM Caballeros 52.8%, Otto PEREZ Molina 47.2% |
| Legislative branch: | unicameral Congress of the Republic or Congreso de la Republica (158 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 9 September 2007 (next to be held in September 2011) |
| Legislative branch: | election results: percent of vote by party - UNE 30.4%, GANA 23.4%, PP 18.9%, FRG 9.5%, PU 5.1%, other 12.7%; seats by party - UNE 48, GANA 37, PP 30, FRG 15, PU 8, CASA 5, EG 4, PAN 4, UCN 4, URNG 2, UD 1 |
| Judicial branch: | Constitutional Court or Corte de Constitucionalidad is Guatemala's highest court (five judges are elected for concurrent five-year terms); Supreme Court of Justice or Corte Suprema de Justicia (13 members serve concurrent five-year terms and elect a president of the Court each year from among their number; the president of the Supreme Court of Justice also supervises trial judges around the country, who are named to five-year terms) |
| Political parties and leaders: | Center of Social Action or CASA [Eduardo SUGER]; Democracy Front or FRENTE [Alfonso CABRERA]; Democratic Union or UD [Manuel CONDE Orellana]; Encounter for Guatemala or EG [Nineth MONTENGRO]; Grand National Alliance or GANA [Alfredo VILLA]; Guatemalan National Revolutionary Unity or URNG [Hector NUILA]; Guatemalan Republican Front or FRG [Efrain RIOS Montt]; National Advancement Party or PAN [Juan Guillermo GUTIERREZ]; National Unity for Hope or UNE [Juan Jose ALFARO Lemus]; Nationalist Change Union or UCN [Mario ESTRADA]; Patriot Party or PP [Ret. Gen. Otto PEREZ Molina]; Unionista Party or PU [Fritz GARCIA-GALLONT] |
| Political pressure groups and leaders: | Agrarian Owners Group or UNAGRO; Alliance Against Impunity or AAI; Committee for Campesino Unity or CUC; Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF; Mutual Support Group or GAM |
| International organization participation: | BCIE, CACM, FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, LAES, LAIA (observer), MIGA, MINUSTAH, MONUC, NAM, OAS, OPANAL, OPCW, PCA, RG, SICA, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, Union Latina, UNMIS, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Francisco VILLAGRAN de Leon |
| Diplomatic representation in the US: | chancery: 2220 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-4952 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-1908 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Denver, Houston, Los Angeles, Miami, New York, Phoenix, Providence, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephen G. MCFARLAND |
| Diplomatic representation from the US: | embassy: 7-01 Avenida Reforma, Zone 10, Guatemala City |
| Diplomatic representation from the US: | mailing address: APO AA 34024 |
| Diplomatic representation from the US: | telephone: [502] 2326-4000 |
| Diplomatic representation from the US: | FAX: [502] 2326-4654 |
| Flag description: | three equal vertical bands of light blue (hoist side), white, and light blue, with the coat of arms centered in the white band; the coat of arms includes a green and red quetzal (the national bird) and a scroll bearing the inscription LIBERTAD 15 DE SEPTIEMBRE DE 1821 (the original date of independence from Spain) all superimposed on a pair of crossed rifles and a pair of crossed swords and framed by a wreath |
