| Government | Guatemala |
| --- | --- |
| Country name: | conventional long form: Republic of Guatemala |
| Country name: | conventional short form: Guatemala |
| Country name: | local long form: Republica de Guatemala |
| Country name: | local short form: Guatemala |
| Country name: | etymology: name derives from the Maya word meaning "Land of Trees" |
| Government type: | presidential republic |
| Capital: | name: Guatemala City |
| Capital: | geographic coordinates: 14 37 N, 90 31 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Administrative divisions: | 22 departments (departamentos, singular - departamento); Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Peten, Quetzaltenango, Quiche, Retalhuleu, Sacatepequez, San Marcos, Santa Rosa, Solola, Suchitepequez, Totonicapan, Zacapa |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | history: several previous; latest adopted 31 May 1985, effective 14 January 1986; suspended and reinstated in 1994 (2018) |
| Constitution: | amendments: proposed by the president of the republic, by agreement of 10 or more deputies of Congress, by the Constitutional Court, or by public petition of at least 5,000 citizens; passage requires at least two-thirds majority vote by the Congress membership and approval by public referendum, referred to as "popular consultation"; constitutional articles such as national sovereignty, the republican form of government, limitations on those seeking the presidency, or presidential tenure cannot be amended; amended 1994 (2018) |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years with no absences of six consecutive months or longer or absences totaling more than a year |
| Suffrage: | 18 years of age; universal; note - active duty members of the armed forces and police by law cannot vote and are restricted to their barracks on election day |
| Judicial branch: | highest courts: Supreme Court of Justice or Corte Suprema de Justicia (consists of 13 magistrates including the court president and organized into 3 chambers); note - the court president also supervises trial judges countrywide; Constitutional Court or Corte de Constitucionalidad (consists of 5 titular magistrates and 5 substitute magistrates |
| Judicial branch: | judge selection and term of office: Supreme Court magistrates elected by the Congress of the Republic from candidates proposed by the Postulation Committee, an independent body of deans of the country's university law schools, representatives of the country's law associations, and representatives of the Courts of Appeal; magistrates elected for concurrent, renewable 5-year terms; Constitutional Court judges - 1 elected by the Congress of the Republic, 1 by the Supreme Court, 1 by the president of the republic, 1 by the (public) University of San Carlos, and 1 by the Assembly of the College of Attorneys and Notaries; judges elected for concurrent, renewable 5-year terms; the presidency of the court rotates among the magistrates for a single 1-year term |
| Judicial branch: | subordinate courts: numerous first instance and appellate courts |
| Executive branch: | chief of state: President Jimmy Ernesto MORALES Cabrera (since 14 January 2016); Vice President Jafeth CABRERA Franco (since 14 January 2016); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jimmy Ernesto MORALES Cabrera (since 14 January 2016); Vice President Jafeth CABRERA Franco (since 14 January 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a 4-year term (not eligible for consecutive terms); election last held on 6 September 2015 with a runoff on 25 October 2015 (next to be held in September 2019) |
| Executive branch: | election results: Jimmy Ernesto MORALES Cabrera elected president in second round; percent of vote in first round - Jimmy Ernesto MORALES Cabrera (FNC) 23.9%, Sandra TORRES (UNE) 19.8%, Manuel BALDIZON (LIDER) 19.6%, other 36.7%; percent of vote in second round - Jimmy Ernesto MORALES Cabrera 67.4%, Sandra TORRES 32.6% |
