| Government | Niger |
| --- | --- |
| Country name: | conventional long form: Republic of Niger |
| Country name: | conventional short form: Niger |
| Country name: | local short form: Niger |
| Country name: | local long form: Republique du Niger |
| Government type: | republic |
| Capital: | Niamey |
| Administrative divisions: | 7 departments (departements, singular - departement) and 1 capital district* (capitale district); Agadez, Diffa, Dosso, Maradi, Niamey*, Tahoua, Tillaberi, Zinder |
| Independence: | 3 August 1960 (from France) |
| National holiday: | Republic Day, 18 December (1958) |
| Constitution: | a new constitution was adopted 18 July 1999 |
| Legal system: | based on French civil law system and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President TANDJA Mamadou (since 22 December 1999); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President TANDJA Mamadou (since 22 December 1999); note - the president is both chief of state and head of government; Prime Minister Hama AMADOU (since 31 December 1999) was appointed by the president and shares some executive responsibilities with the president |
| Executive branch: | cabinet: 23-member Cabinet appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; second round last held 4 December 2004 (next to be held December 2009); prime minister appointed by the president |
| Executive branch: | election results: TANDJA Mamadou reelected president; percent of vote - TANDJA Mamadou 65.5%, Mahamadou ISSOUFOU 34.5% |
| Legislative branch: | unicameral National Assembly (113 seats; note - expanded from 83 seats; members elected by popular vote for five-year terms) |
| Legislative branch: | elections: last held 4 December 2004 (next to be held December 2009) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - MNSD 47, CDS 22, PNDS 17, Social Democratic Rally 7 RDP 6i ANDP 5, Party for Socialism and Democarcy in Niger 1, other 8 |
| Judicial branch: | State Court or Cour d'Etat; Court of Appeal or Cour d'Appel |
| Political parties and leaders: | Alliance for Democracy and Progress or ANDP [leader NA]; Democratic Rally of the People-Jama'a or RDP-Jama'a [Hamid ALGABID]; Democratic and Social Convention-Rahama or CDS-Rahama [Mahamane OUSMANE]; National Movement for a Developing Society-Nassara or MNSD-Nassara [Mamadou TANDJA, chairman]; Nigerien Alliance for Democracy and Social Progress-Zaman Lahiya or ANDPS-Zaman Lahiya [Moumouni Adamou DJERMAKOYE]; Nigerien Party for Democracy and Socialism-Tarayya or PNDS-Tarayya [Mahamadou ISSOUFOU]; Party for Socialism and Democracy in Niger [leader NA]; Rally for Democracy and Progress or RDP [leader NA]; Union of Democratic Patriots and Progressives-Chamoua or UPDP-Chamoua [Professor Andre' SALIFOU, chairman] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO (subscriber), ITU, MONUC, NAM, OIC, ONUB, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Joseph DIATTA |
| Diplomatic representation in the US: | FAX: [1] (202)483-3169 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4224 through 4227 |
| Diplomatic representation in the US: | chancery: 2204 R Street NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Gail Dennise Thomas MATHIEU |
| Diplomatic representation from the US: | embassy: Rue Des Ambassades, Niamey |
| Diplomatic representation from the US: | mailing address: B. P. 11201, Niamey |
| Diplomatic representation from the US: | telephone: [227] 72 26 61 through 72 26 64 |
| Diplomatic representation from the US: | FAX: [227] 73 31 67, 72-31-46 |
| Flag description: | three equal horizontal bands of orange (top), white, and green with a small orange disk (representing the sun) centered in the white band; similar to the flag of India, which has a blue spoked wheel centered in the white band |
