| Government | Niger |
| --- | --- |
| Country name: | conventional long form: Republic of Niger |
| Country name: | conventional short form: Niger |
| Country name: | local long form: Republique du Niger |
| Country name: | local short form: Niger |
| Government type: | republic |
| Capital: | name: Niamey |
| Capital: | geographic coordinates: 13 31 N, 2 07 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 8 regions (regions, singular - region) includes 1 capital district* (communite urbaine); Agadez, Diffa, Dosso, Maradi, Niamey*, Tahoua, Tillaberi, Zinder |
| Independence: | 3 August 1960 (from France) |
| National holiday: | Republic Day, 18 December (1958); note - commemorates the founding of the Republic of Niger which predated independence from France in 1960 |
| Constitution: | several previous; latest adopted 31 October 2010 (2010) |
| Legal system: | mixed legal system of civil law (based on French civil law), Islamic law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President ISSOUFOU Mahamadou (since 7 April 2011) |
| Executive branch: | head of government: Prime Minister Brigi RAFINI (since 7 April 2011); appointed by the president and shares some executive responsibilities with the president |
| Executive branch: | cabinet: 26-member Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); candidate must receive a majority of the votes to be elected president; a presidential election to restore civilian rule was held 31 January 2011 with a runoff election between ISSOUFOU Mahamadou and Seini OUMAROU held on 12 March 2011 |
| Executive branch: | election results: ISSOUFOU Mahamadou elected president in a runoff election; percent of vote - ISSOUFOU Mahamadou 58%, Seini OUMAROU 42% |
| Legislative branch: | unicameral National Assembly (113 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 31 January 2011 |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PNDS-Tarrayya 39, MNSD-Nassara 26, MODEN/FA-Lumana 24, ANDP-Zaman Lahiya 8, RDP-Jama'a 7, UDR-Tabbat 6, CDS-Rahama 2, UNI 1 |
| Judicial branch: | highest court(s): Constitutional Court (consists of 7 judges); High Court of Justice (consists of 7 members) |
| Judicial branch: | judge selection and term of office: Constitutional Court judges appointed by the president; judges serve 6-year nonrenewable consecutive terms; High Judicial Court members selected from among the legislature and judiciary; members serve 5-year terms |
| Judicial branch: | subordinate courts: Court of Cassation; Council of State; Court of Finances; various specialized tribunals and customary courts |
| Political parties and leaders: | Democratic and Social Convention-Rahama or CDS-Rahama [Mahamane OUSMANE] |
| Political parties and leaders: | National Movement for a Developing Society-Nassara or MNSD-Nassara |
| Political parties and leaders: | Niger Social Democratic Party or PSDN |
| Political parties and leaders: | Nigerien Alliance for Democracy and Social Progress-Zaman Lahiya or ANDP-Zaman Lahiya [Moumouni DJERMAKOYE] |
| Political parties and leaders: | Nigerien Democratic Movement for an African Federation or MODEN/FA Lumana |
| Political parties and leaders: | Nigerien Party for Democracy and Socialism or PNDS-Tarrayya [ISSOUFOU Mahamadou] |
| Political parties and leaders: | Rally for Democracy and Progress-Jama'a or RDP-Jama'a [Hamid ALGABID] |
| Political parties and leaders: | Social and Democratic Rally or RSD-Gaskiyya [Cheiffou AMADOU] |
| Political parties and leaders: | Union for Democracy and the Republic-Tabbat or UDR-Tabbat |
| Political parties and leaders: | Union of Independent Nigeriens or UNI |
| Political parties and leaders: | note: the SPLM and SPLM-DC are banned political parties |
| Political pressure groups and leaders: | The Nigerien Movement for Justice or MNJ, a predominantly Tuareg rebel group |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (compliant country), Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Maman Sambo SIDIKOU (since 2 December 2011) |
| Diplomatic representation in the US: | chancery: 2204 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 483-4224 through 4227 |
| Diplomatic representation in the US: | FAX: [1] (202)483-3169 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Richard BELL |
| Diplomatic representation from the US: | embassy: Rue Des Ambassades, Niamey |
| Diplomatic representation from the US: | mailing address: B. P. 11201, Niamey; Public Affairs Section (PAS), 2420 Niamey PL, Dulles, VA 20189-2420 |
| Diplomatic representation from the US: | telephone: [227] 20-73-31-69 or [227] 20-72-39-41 |
| Diplomatic representation from the US: | FAX: [227] 20-73-55-60 |
| Flag description: | three equal horizontal bands of orange (top), white, and green with a small orange disk centered in the white band; the orange band denotes the drier northern regions of the Sahara; white stands for purity and innocence; green symbolizes hope and the fertile and productive southern and western areas, as well as the Niger River; the orange disc represents the sun and the sacrifices made by the people |
| Flag description: | note: similar to the flag of India, which has a blue spoked wheel centered in the white band |
| National anthem: | name: "La Nigerienne" (The Nigerian) |
| National anthem: | lyrics/music: Maurice Albert THIRIET/Robert JACQUET and Nicolas Abel Francois FRIONNET |
| National anthem: | note: adopted 1961 |
