| Government | NIGER |
| --- | --- |
| Country name: | conventional long form: Republic of Niger |
| Country name: | conventional short form: Niger |
| Country name: | local long form: Republique du Niger |
| Country name: | local short form: Niger |
| Country name: | etymology: named for the Niger River that passes through the southwest of the country; from a native term "Ni Gir" meaning "River Gir" |
| Government type: | semi-presidential republic |
| Capital: | name: Niamey |
| Capital: | geographic coordinates: 13 31 N, 2 07 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 regions (regions, singular - region) and 1 capital district* (communite urbaine); Agadez, Diffa, Dosso, Maradi, Niamey*, Tahoua, Tillaberi, Zinder |
| Independence: | 3 August 1960 (from France) |
| National holiday: | Republic Day, 18 December (1958); note - commemorates the founding of the Republic of Niger which predated independence from France in 1960 |
| Constitution: | several previous; passed by referendum 31 October 2010, entered into force 25 November 2010 (2016) |
| Legal system: | mixed legal system of civil law (based on French civil law), Islamic law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Niger |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President ISSOUFOU Mahamadou (since 7 April 2011) |
| Executive branch: | head of government: Prime Minister Brigi RAFINI (since 7 April 2011) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 21 February 2016 and 20 March 2016 (next to be held in 2021); prime minister appointed by the president, authorized by the National Assembly |
| Executive branch: | election results: ISSOUFOU Mahamadou reelected president; percent of vote in first round - ISSOUFOU Mahamadou (PNDS-Tarrayya) 48.6%, Hama AMADOU (MODEN/FA Lumana Africa) 17.8%, Seini OUMAROU (MNSD-Nassara) 11.3%, other 22.3%; percent of vote in second round - ISSOUFOU Mahamadou 92%, Hama AMADOU 8% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (171 seats; 158 members directly elected from 8 multi-member constituencies in 7 regions and Niamey by party-list proportional representation, 8 reserved for minorities elected in special single-seat constituencies by simple majority vote, 5 seats reserved for Nigeriens living abroad - l seat per continent - elected in single-seat constituencies by simple majority vote; members serve 5-year terms); note - the number of National Assembly seats increased from 113 to 171 in the February 2016 legislative election |
| Legislative branch: | elections: last held on 21 February 2016 (next to be held in 2021) |
