| Government | Brazil |
| --- | --- |
| Country name: | conventional long form: Federative Republic of Brazil |
| Country name: | conventional short form: Brazil |
| Country name: | local long form: Republica Federativa do Brasil |
| Country name: | local short form: Brasil |
| Country name: | etymology: the country name derives from the brazilwood tree that used to grow plentifully along the coast of Brazil and that was used to produce a deep red dye |
| Government type: | federal presidential republic |
| Capital: | name: Brasilia |
| Capital: | geographic coordinates: 15 47 S, 47 55 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins third Sunday in October; ends third Sunday in February |
| Capital: | note: Brazil has four time zones, including one for the Fernando de Noronha Islands |
| Capital: | etymology: name bestowed on the new capital of Brazil upon its inauguration in 1960; previous Brazilian capitals had been Salvador from 1549 to 1763 and Rio de Janeiro from 1763 to 1960 |
| Administrative divisions: | 26 states (estados, singular - estado) and 1 federal district* (distrito federal); Acre, Alagoas, Amapa, Amazonas, Bahia, Ceara, Distrito Federal*, Espirito Santo, Goias, Maranhao, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Para, Paraiba, Parana, Pernambuco, Piaui, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondonia, Roraima, Santa Catarina, Sao Paulo, Sergipe, Tocantins |
| Independence: | 7 September 1822 (from Portugal) |
| National holiday: | Independence Day, 7 September (1822) |
| Constitution: | history: several previous; latest ratified 5 October 1988 |
| Constitution: | amendments: proposed by at least one third of either house of the National Congress, by the president of the republic, or by simple majority vote by more than half of the state legislative assemblies; passage requires at least three-fifths majority vote by both houses in each of two readings; constitutional provisions affecting the federal form of government, separation of powers, suffrage, or individual rights and guarantees cannot be amended; amended many times, last in 2017 (2018) |
| Legal system: | civil law; note - a new civil law code was enacted in 2002 replacing the 1916 code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 4 years |
| Suffrage: | voluntary between 16 to 18 years of age, over 70, and if illiterate; compulsory between 18 to 70 years of age; note - military conscripts by law cannot vote |
| Executive branch: | chief of state: President Jair BOLSONARO (since 1 January 2019); Vice President Antonio Hamilton Martins MOURAO (since 1 January 2019); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Jair BOLSONARO (since 1 January 2019); Vice President Antonio Hamilton Martins MOURAO (since 1 January 2019) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a single 4-year term (eligible for a second term); election last held on 7 October 2018 with runoff on 28 October 2018 (next to be held in October 2022) |
| Executive branch: | election results: Jair BOLSONARO elected president in second round; percent of vote in first round - Jair BOLSONARO (PSL) 46%, Fernando HADDAD (PT) 29.3%, Ciro GOMEZ (PDT) 12.5%, Geraldo ALCKMIN (PSDB) 4.8%, other 7.4%; percent of vote in second round - Jair BOLSONARO (PSL) 55.1%, Fernando HADDAD (PT) 44.9% |
| Legislative branch: | description: bicameral National Congress or Congresso Nacional consists of: |
| Legislative branch: | Federal Senate or Senado Federal (81 seats; 3 members each from 26 states and 3 from the federal district directly elected in multi-seat constituencies by simple majority vote to serve 8-year terms, with one-third and two-thirds of the membership elected alternately every 4 years) |
