| Government | Brazil |
| --- | --- |
| Country name: | conventional long form: Federative Republic of Brazil |
| Country name: | conventional short form: Brazil |
| Country name: | local long form: Republica Federativa do Brasil |
| Country name: | local short form: Brasil |
| Government type: | federative republic |
| Capital: | name: Brasilia |
| Capital: | geographic coordinates: 15 47 S, 47 55 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins third Sunday in October; ends third Sunday in February |
| Capital: | note: Brazil is divided into four time zones, including one for the Fernando de Noronha islands |
| Administrative divisions: | 26 states (estados, singular - estado) and 1 federal district* (distrito federal); Acre, Alagoas, Amapa, Amazonas, Bahia, Ceara, Distrito Federal*, Espirito Santo, Goias, Maranhao, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Para, Paraiba, Parana, Pernambuco, Piaui, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondonia, Roraima, Santa Catarina, Sao Paulo, Sergipe, Tocantins |
| Independence: | 7 September 1822 (from Portugal) |
| National holiday: | Independence Day, 7 September (1822) |
| Constitution: | 5 October 1988 |
| Legal system: | based on Roman codes; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | voluntary between 16 and 18 years of age and over 70; compulsory over 18 and under 70 years of age; note - military conscripts do not vote |
| Executive branch: | chief of state: President Luiz Inacio LULA DA SILVA (since 1 January 2003); Vice President Jose ALENCAR (since 1 January 2003); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Luiz Inacio LULA DA SILVA (since 1 January 2003); Vice President Jose ALENCAR (since 1 January 2003) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a single four-year term; election last held 1 October 2006 with runoff 29 October 2006 (next to be held 3 October 2010 and, if necessary, 31 October 2010) |
| Executive branch: | election results: Luiz Inacio LULA DA SILVA (PT) reelected president - 60.83%, Geraldo ALCKMIN (PSDB) 39.17% |
| Legislative branch: | bicameral National Congress or Congresso Nacional consists of the Federal Senate or Senado Federal (81 seats; 3 members from each state and federal district elected according to the principle of majority to serve eight-year terms; one-third elected after a four-year period, two-thirds elected after the next four-year period) and the Chamber of Deputies or Camara dos Deputados (513 seats; members are elected by proportional representation to serve four-year terms) |
| Legislative branch: | elections: Federal Senate - last held 1 October 2006 for one-third of the Senate (next to be held October 2010 for two-thirds of the Senate); Chamber of Deputies - last held 1 October 2006 (next to be held October 2010) |
| Legislative branch: | election results: Federal Senate - percent of vote by party - NA%; seats by party - PFL 6, PSDB 5, PMDB 4, PTB 3, PT 2, PFL 1, PDT 1, PSB 1, PL 1, PPS 1, PRTB 1, PP 1, PCdoB 1; total seats following election - PFL 18, PMDB 15, PSDB 15, PT 11, PDT 5, PTB 4, PSB 3, PL 3, PCdoB 2, PRB 2, PPS 1, PRTB 1, PP 1; Chamber of Deputies - percent of vote by party - NA%; seats by party - PMDB 89, PT 83, PFL 65, PSDB 65, PP 42, PSB 27, PDT 24, PL 23, PTB 22, PPS 21, PCdoB 13, PV 13, PSC 9, other 17 |
| Judicial branch: | Supreme Federal Tribunal (11 ministers are appointed for life by the president and confirmed by the Senate); Higher Tribunal of Justice; Regional Federal Tribunals (judges are appointed for life); note - though appointed "for life," judges, like all federal employees, have a mandatory retirement age of 70 |
