| Government | Sierra Leone |
| --- | --- |
| Country name: | conventional long form: Republic of Sierra Leone |
| Country name: | conventional short form: Sierra Leone |
| Country name: | local long form: Republic of Sierra Leone |
| Country name: | local short form: Sierra Leone |
| Government type: | constitutional democracy |
| Capital: | name: Freetown |
| Capital: | geographic coordinates: 8 30 N, 13 15 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 3 provinces and 1 area*; Eastern, Northern, Southern, Western* |
| Independence: | 27 April 1961 (from UK) |
| National holiday: | Independence Day, 27 April (1961) |
| Constitution: | 1 October 1991; subsequently amended several times |
| Legal system: | based on English law and customary laws indigenous to local tribes; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ernest Bai KOROMA (since 17 September 2007); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ernest Bai KOROMA (since 17 September 2007) |
| Executive branch: | cabinet: Ministers of State appointed by the president with the approval of the House of Representatives; the cabinet is responsible to the president |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 11 August 2007 and 8 September 2007 (next to be held in 2012) |
| Executive branch: | election results: second round results; percent of vote - Ernest Bai KOROMA 54.6%, Solomon BEREWA 45.4% |
| Legislative branch: | unicameral Parliament (124 seats; 112 members elected by popular vote, 12 filled by paramount chiefs elected in separate elections; to serve five-year terms) |
| Legislative branch: | elections: last held on 11 August 2007 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - APC 59, SLPP 43, PMDC 10 |
| Judicial branch: | Supreme Court; Appeals Court; High Court |
| Political parties and leaders: | All People's Congress or APC [Ernest Bai KOROMA]; Peace and Liberation Party or PLP [Darlington MORRISON]; People's Movement for Democratic Change or PMDC [Charles MARGAI]; Sierra Leone People's Party or SLPP [Solomon BEREWA]; numerous others |
| Political pressure groups and leaders: | trade unions and student unions |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, ITUC, MIGA, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ibrahim M. KAMARA |
| Diplomatic representation in the US: | chancery: 1701 19th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-9261 through 9263 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-1793 |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas N. HULL |
| Diplomatic representation from the US: | embassy: Corner of Walpole and Siaka Stevens Streets, Freetown |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [232] (22) 515 000 or [232] (76) 515 000 |
| Diplomatic representation from the US: | FAX: [232] (22) 225471 |
| Flag description: | three equal horizontal bands of light green (top), white, and light blue |
