| Government | SIERRA LEONE |
| --- | --- |
| Country name: | conventional long form: Republic of Sierra Leone |
| Country name: | conventional short form: Sierra Leone |
| Country name: | local long form: Republic of Sierra Leone |
| Country name: | local short form: Sierra Leone |
| Country name: | etymology: the Portuguese explorer Pedro de SINTRA named the country "Serra Leoa" (Lion Mountains) for the impressive mountains he saw while sailing the West African coast in 1462 |
| Government type: | presidential republic |
| Capital: | name: Freetown |
| Capital: | geographic coordinates: 8 29 N, 13 14 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 3 provinces and 1 area*; Eastern, Northern, Southern, Western* |
| Independence: | 27 April 1961 (from the UK) |
| National holiday: | Independence Day, 27 April (1961) |
| Constitution: | history: several previous; latest effective 1 October 1991 |
| Constitution: | amendments: proposed by Parliament; passage of amendments requires at least two-thirds majority vote of Parliament in two successive readings and assent by the president of the republic; passage of amendments affecting fundamental rights and freedoms and many other constitutional sections also requires approval in a referendum with participation of at least one-half of qualified voters and at least two-thirds of votes cast; amended several times, last in 2013 (2017) |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent or grandparent must be a citizen of Sierra Leone |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ernest Bai KOROMA (since 17 September 2007); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Ernest Bai KOROMA (since 17 September 2007) |
| Executive branch: | cabinet: Ministers of State appointed by the president, approved by Parliament; the cabinet is responsible to the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 17 November 2012 (next to be on 7 March 2018) |
| Executive branch: | election results: Ernest Bai KOROMA reelected president; percent of vote - Ernest Bai KOROMA (APC) 58.7%, Julius Maada BIO (SLPP) 37.4%, other 3.9% |
| Legislative branch: | description: unicameral Parliament (124 seats; 112 members directly elected in single-seat constituencies by simple majority vote and 12 seats filled in separate elections by non-partisan members of Parliament called "paramount chiefs;" members serve 5-year terms) |
| Legislative branch: | elections: last held on 17 November 2012 (next to be held on 7 March 2018) |
| Legislative branch: | election results: percent of vote by party - APC 53.7%, SLPP 38.3%, other 8.0%; seats by party - APC 67, SLPP 42 |
| Judicial branch: | highest court(s): Superior Court of Judicature (consists of the Supreme Court - at the apex - with the chief justice and 4 other judges, the Court of Appeal with the chief justice and 7 other judges, and the High Court of Justice with the chief justice and 9 other judges; note – the Judicature has jurisdiction in all civil, criminal, and constitutional matters |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice and other judges of the Judicature appointed by the president on the advice of the Judicial and Legal Service Commission (a 7-member independent body of judges, presidential appointees, and the Commission chairman) and are subject to the approval of Parliament; all Judicature judges appointed until retirement at age 65 |
| Judicial branch: | subordinate courts: magistrates' courts; District Appeals Court; local courts |
| Political parties and leaders: | All People's Congress or APC [Ernest Bai KOROMA] |
| Political parties and leaders: | Sierra Leone People's Party or SLPP [Sumanoh KAPEN] |
| Political parties and leaders: | numerous other parties |
| Political pressure groups and leaders: | student unions; trade unions |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OIC, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNIFIL, UNISFA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Bockari Kortu STEVENS (since 4 April 2008) |
| Diplomatic representation in the US: | chancery: 1701 19th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-9261 through 9263 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-1793 |
| Diplomatic representation from the US: | chief of mission: Ambassador Maria E. BREWER (since 20 December 2017) |
| Diplomatic representation from the US: | embassy: Southridge-Hill Station, Freetown |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [232] 99 1055 00 |
| Diplomatic representation from the US: | FAX: [232] 99 515 355 |
| Flag description: | three equal horizontal bands of light green (top), white, and light blue; green symbolizes agriculture, mountains, and natural resources, white represents unity and justice, and blue the sea and the natural harbor in Freetown |
| National symbol(s): | lion; national colors: green, white, blue |
| National anthem: | name: "High We Exalt Thee, Realm of the Free" |
| National anthem: | lyrics/music: Clifford Nelson FYLE/John Joseph AKA |
| National anthem: | note: adopted 1961 |
