| Government | BULGARIA |
| --- | --- |
| Country name: | conventional long form: Republic of Bulgaria |
| Country name: | conventional short form: Bulgaria |
| Country name: | local long form: Republika Bulgaria |
| Country name: | local short form: Bulgaria |
| Country name: | etymology: named after the Bulgar tribes who settled the lower Balkan region in the 7th century A.D. |
| Government type: | parliamentary republic |
| Capital: | name: Sofia |
| Capital: | geographic coordinates: 42 41 N, 23 19 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 28 provinces (oblasti, singular - oblast); Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Kardzhali, Kyustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smolyan, Sofia, Sofia-Grad (Sofia City), Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratsa, Yambol |
| Independence: | 3 March 1878 (as an autonomous principality within the Ottoman Empire); 22 September 1908 (complete independence from the Ottoman Empire) |
| National holiday: | Liberation Day, 3 March (1878) |
| Constitution: | several previous; latest drafted between late 1990 and early 1991, adopted 12 July 1991; amended several times, last in 2015 (2016) |
| Legal system: | civil law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Bulgaria |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Rosen PLEVNELIEV (since 22 January 2012); Vice President Margarita POPOVA (since 22 January 2012) |
| Executive branch: | head of government: Prime Minister Boyko BORISOV (since 7 November 2014); Deputy Prime Ministers Tomislav DONCHEV (since 7 November 2014), Rumyana BACHVAROVA (since 7 November 2014), Meglena KUNEVA (since 7 November 2014); note - this is BORISOV's second term as prime minister, he first served between 27 July 2009 and 13 March 2013 |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister, elected by the National Assembly |
| Executive branch: | elections/appointments: president and vice president elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 6 and 13 November 2016 (next to be held fall 2021); chairman of the Council of Ministers (prime minister) elected by the National Assembly; deputy prime ministers nominated by the prime minister, elected by the National Assembly |
| Executive branch: | election results: Rumen RADEV elected president in runoff election; percent of vote - Rumen RADEV (independent) 59.4%, Tsetska TSACHEVA (GERB) 36.2%; note - Rumen RADEV will assume office on 22 January 2017 |
| Legislative branch: | description: unicameral National Assembly or Narodno Sabranie (240 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
