| Government | Bulgaria |
| --- | --- |
| Country name: | conventional long form: Republic of Bulgaria |
| Country name: | conventional short form: Bulgaria |
| Country name: | local long form: Republika Balgariya |
| Country name: | local short form: Balgariya |
| Government type: | parliamentary democracy |
| Capital: | name: Sofia |
| Capital: | geographic coordinates: 42 41 N, 23 19 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 28 provinces (oblasti, singular - oblast); Blagoevgrad, Burgas, Dobrich, Gabrovo, Khaskovo, Kurdzhali, Kyustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smolyan, Sofiya (Sofia), Sofiya-Grad (Sofia City), Stara Zagora, Turgovishte, Varna, Veliko Turnovo, Vidin, Vratsa, Yambol |
| Independence: | 3 March 1878 (as an autonomous principality within the Ottoman Empire); 22 September 1908 (complete independence from the Ottoman Empire) |
| National holiday: | Liberation Day, 3 March (1878) |
| Constitution: | several previous; latest drafted between late 1990 and early 1991, adopted 12 July 1991; amended several times, last in 2007 (2007) |
| Legal system: | civil law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Rosen PLEVNELIEV (since 22 January 2012); Vice President Margarita POPOVA (since 22 January 2012) |
| Executive branch: | head of government: Prime Minister Plamen ORESHARSKI (since 29 May 2013), Deputy Prime Ministers Zinaida ZLATANOVA (since 29 May 2013), Tsvetlin YOVCHEV (since June 2013), and Daniela BOBEVA (since June 2013) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister and elected by the National Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a five-year term (eligible for a second term); election last held on 23 and 30 October 2011 (next to be held in 2016); chairman of the Council of Ministers (prime minister) elected by the National Assembly; deputy prime ministers nominated by the prime minister and elected by the National Assembly |
| Executive branch: | election results: Rosen PLEVNELIEV elected president in a runoff election; percent of vote - Rosen PLEVNELIEV 52.6%, Ivailo KALFIN 47.4%; Plamen ORESHARSKI elected prime minister; result of legislative vote - 120 to 97 |
| Legislative branch: | unicameral National Assembly or Narodno Sabranie (240 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 12 May 2013 (next to be held spring 2017) |
| Legislative branch: | election results: percent of vote by party - GERB 30.5%, BSP 26.6%, MRF 11.3%, Ataka 7.3%; seats by party - GERB 97, BSP 84, MRF 36, Ataka 23 |
