| Government |
| --- | --- |
| Country name: | conventional long form: People's Democratic Republic of Algeria |
| Country name: | conventional short form: Algeria |
| Country name: | local long form: Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Sha'biyah |
| Country name: | local short form: Al Jaza'ir |
| Government type: | republic |
| Capital: | Algiers |
| Administrative divisions: | 48 provinces (wilayas, singular - wilaya); Adrar, Ain Defla, Ain Temouchent, Alger, Annaba, Batna, Bechar, Bejaia, Biskra, Blida, Bordj Bou Arreridj, Bouira, Boumerdes, Chlef, Constantine, Djelfa, El Bayadh, El Oued, El Tarf, Ghardaia, Guelma, Illizi, Jijel, Khenchela, Laghouat, Mascara, Medea, Mila, Mostaganem, M'Sila, Naama, Oran, Ouargla, Oum el Bouaghi, Relizane, Saida, Setif, Sidi Bel Abbes, Skikda, Souk Ahras, Tamanghasset, Tebessa, Tiaret, Tindouf, Tipaza, Tissemsilt, Tizi Ouzou, Tlemcen |
| Independence: | 5 July 1962 (from France) |
| National holiday: | Revolution Day, 1 November (1954) |
| Constitution: | 19 November 1976, effective 22 November 1976; revised 3 November 1988, 23 February 1989, and 28 November 1996; note - referendum approving the revisions of 28 November 1996 was signed into law 7 December 1996 |
| Legal system: | socialist, based on French and Islamic law; judicial review of legislative acts in ad hoc Constitutional Council composed of various public officials, including several Supreme Court justices; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdelaziz BOUTEFLIKA (since 28 April 1999) |
| Executive branch: | head of government: Prime Minister Ali BENFLIS (since 26 August 2000) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 15 April 1999 (next to be held NA April 2004); prime minister appointed by the president |
| Executive branch: | election results: Abdelaziz BOUTEFLIKA elected president; percent of vote - Abdelaziz BOUTEFLIKA over 70%; note - his six opposing candidates withdrew on the eve of the election citing electoral fraud |
| Legislative branch: | bicameral Parliament consists of the National People's Assembly or Al-Majlis Ech-Chaabi Al-Watani (380 seats; members elected by popular vote to serve five-year terms) and the Council of Nations (144 seats; one-third of the members appointed by the president, two-thirds elected by indirect vote; members serve six-year terms; the constitution requires half the council to be renewed every three years) |
| Legislative branch: | elections: National People's Assembly - last held 5 June 1997 (next to be held NA 2002); Council of Nations - last held 30 December 2000 (next to be held NA 2003) |
| Legislative branch: | election results: National People's Assembly - percent of vote by party - RND 40.8%, MSP 18.2%, FLN 16.8%, Nahda Movement 8.9%, FFS 5%, RCD 5%, PT 1.1%, Progressive Republican Party 0.8%, Union for Democracy and Liberty 0.3%, Social Liberal Party 0.3%, independents 2.8%; seats by party - RND 155, MSP 69, FLN 64, Nahda Movement 34, FFS 19, RCD 19, PT 4, Progressive Republican Party 3, Union for Democracy and Liberty 1, Social Liberal Party 1, independents 11; Council of Nations - percent of vote by party - NA%; seats by party - RND 79, FLN 12, FFS 4, MSP 1 (remaining 48 seats appointed by the president, party breakdown NA) |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Democratic National Rally or RND [Ahmed OUYAHIA, chairman]; Islamic Salvation Front or FIS (outlawed April 1992) [Ali BELHADJ and Dr. Abassi MADANI (imprisoned), Rabeh KEBIR (self-exile in Germany)]; Movement of a Peaceful Society or MSP [Mahfoud NAHNAH, chairman]; National Liberation Front or FLN [Boualem BENHAMOUDA, secretary general]; Progressive Republican Party [Khadir DRISS]; Rally for Culture and Democracy or RCD [Said SAADI, secretary general]; Renaissance Movement or EnNahda Movement [Lahbib ADAMI]; Social Liberal Party or PSL [Ahmed KHELIL]; Socialist Forces Front or FFS [Hocine Ait AHMED, secretary general (self-exile in Switzerland)]; Union for Democracy and Liberty [Mouley BOUKHALAFA]; Workers Party or PT [Louisa HANOUN] |
| Political parties and leaders: | note: a party law banning political parties based on religion was enacted in March 1997 |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, AfDB, AFESD, AL, AMF, AMU, CCC, ECA, FAO, G-15, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MONUC, NAM, OAPEC, OAS (observer), OAU, OIC, OPCW, OPEC, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMEE, UPU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Idriss JAZAIRY |
| Diplomatic representation in the US: | chancery: 2118 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-2800 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-2174 |
| Diplomatic representation from the US: | chief of mission: Ambassador Janet A. SANDERSON |
| Diplomatic representation from the US: | embassy: 4 Chemin Cheikh Bachir El-Ibrahimi, Algiers |
| Diplomatic representation from the US: | mailing address: B. P. Box 549, Alger-Gare, 16000 Algiers |
| Diplomatic representation from the US: | telephone: [213] (21) 69-11-86, 69-12-55, 69-18-54, 69-38-75 |
| Diplomatic representation from the US: | FAX: [213] (21) 69-39-79 |
| Flag description: | two equal vertical bands of green (hoist side) and white; a red, five-pointed star within a red crescent centered over the two-color boundary; the crescent, star, and color green are traditional symbols of Islam (the state religion) |
