| Government | Algeria |
| --- | --- |
| Country name: | conventional long form: People's Democratic Republic of Algeria |
| Country name: | conventional short form: Algeria |
| Country name: | local long form: Al Jumhuriyah al Jaza'iriyah ad Dimuqratiyah ash Sha'biyah |
| Country name: | local short form: Al Jaza'ir |
| Country name: | etymology: the country name derives from the capital city of Algiers |
| Government type: | presidential republic |
| Capital: | name: Algiers |
| Capital: | geographic coordinates: 36 45 N, 3 03 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: name derives from the Arabic "al-Jazair" meaning "the islands" and refers to the four islands formerly off the coast but joined to the mainland since 1525 |
| Administrative divisions: | 48 provinces (wilayas, singular - wilaya); Adrar, Ain Defla, Ain Temouchent, Alger, Annaba, Batna, Bechar, Bejaia, Biskra, Blida, Bordj Bou Arreridj, Bouira, Boumerdes, Chlef, Constantine, Djelfa, El Bayadh, El Oued, El Tarf, Ghardaia, Guelma, Illizi, Jijel, Khenchela, Laghouat, Mascara, Medea, Mila, Mostaganem, M'Sila, Naama, Oran, Ouargla, Oum el Bouaghi, Relizane, Saida, Setif, Sidi Bel Abbes, Skikda, Souk Ahras, Tamanrasset, Tebessa, Tiaret, Tindouf, Tipaza, Tissemsilt, Tizi Ouzou, Tlemcen |
| Independence: | 5 July 1962 (from France) |
| National holiday: | Independence Day, 5 July (1962); Revolution Day, 1 November (1954) |
| Constitution: | history: several previous; latest approved by referendum 23 February 1989 |
| Constitution: | amendments: proposed by the president of the republic or through the president with the support of three fourths of the members of both houses of Parliament in joint session; passage requires approval by both houses, approval by referendum, and promulgation by the president; the president can forego a referendum if the Constitutional Council determines the proposed amendment does not conflict with basic constitutional principles; articles including the republican form of government, the integrity and unity of the country, and fundamental citizensâ€™ liberties and rights cannot be amended; amended 2002, 2008, 2016 |
| Legal system: | mixed legal system of French civil law and Islamic law; judicial review of legislative acts in ad hoc Constitutional Council composed of various public officials including several Supreme Court justices |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the mother must be a citizen of Algeria |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdelmadjid TEBBOUNE (since 12 December 2019) |
| Executive branch: | head of government: Abdelaziz DJERAD (since 28 December 2019) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in two rounds if needed for a 5-year term (eligible for a second term); election last held on 12 December 2019 (next to be held in 2024); prime minister nominated by the president after consultation with the majority party in Parliament |
| Executive branch: | election results: Abdelmadjid TEBBOUNE (NLF) 58.1%, Abdelkader BENGRINA (Movement of National Construction) 17.4%, Ali BENFLIS (Vanguard of Freedoms) 10.6%, Azzedine MIHOUBI (RND) 7.3%, Abdelaziz BELAID (Future Front) 6.7% |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Council of the Nation (upper house with 144 seats; one-third of members appointed by the president, two-thirds indirectly elected by simple majority vote by an electoral college composed of local council members; members serve 6-year terms with one-half of the membership renewed every 3 years) |
| Legislative branch: | National People's Assembly (lower house with 462 seats including 8 seats for Algerians living abroad); members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Council of the Nation - last held on 29 December 2018 (next to be held in December 2021) |
| Legislative branch: | National People's Assembly - last held on 4 May 2017 (next to be held in 2022) |
| Legislative branch: | election results: |
| Legislative branch: | Council of the Nation - percent of vote by party - NA; seats by party - NA; composition - men 137, women 7, percent of women 5%Â  |
