| Government | Anguilla |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Anguilla |
| Dependency status: | overseas territory of the UK |
| Government type: | NA |
| Capital: | name: The Valley |
| Capital: | geographic coordinates: 18 13 N, 63 03 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none (overseas territory of the UK) |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Anguilla Day, 30 May (1967) |
| Constitution: | several previous; latest 1 April 1982; amended 1990 (2013) |
| Legal system: | common law based on the English model |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Christina SCOTT (since 23 July 2013) |
| Executive branch: | head of government: Chief Minister Hubert HUGHES (since 16 February 2010) |
| Executive branch: | cabinet: Executive Council appointed by the governor from among the elected members of the House of Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; governor appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed chief minister by the governor |
| Legislative branch: | unicameral House of Assembly (11 seats; 7 members elected by direct popular vote, 2 ex officio members, and 2 appointed; members serve five-year terms) |
| Legislative branch: | elections: last held on 15 February 2010 (next to be held in 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - AUM 4, AUF 2, APP 1 |
| Judicial branch: | highest court(s): the Eastern Caribbean Supreme Court (ECSC) is the itinerant superior court of record for the 9-member Organization of Eastern Caribbean States to include Anguilla; the ECSC - headquartered on St. Lucia - is headed by the chief justice and is comprised of the Court of Appeal with 3 justices and the High Court with 16 judges; sittings of the Court of Appeal and High Court rotate among the 9 member states; High Court judges reside in 7 member states, though none resides on Anguilla |
| Judicial branch: | judge selection and term of office: Eastern Caribbean Supreme Court chief justice appointed by Her Majesty, Queen ELIZABETH II; other justices and judges appointed by the Judicial and Legal Services Commission; Court of Appeal justices appointed for life with mandatory retirement at age 65; High Court judges appointed for life with mandatory retirement at age 62 |
| Judicial branch: | subordinate courts: Magistrate's Court; Juvenile Court |
| Political parties and leaders: | Anguilla Progressive Party or APP [Brent DAVIS] |
| Political parties and leaders: | Anguilla Strategic Alternative or ANSA [Edison BAIRD] |
| Political parties and leaders: | Anguilla United Front or AUF [Osbourne FLEMING, Victor BANKS] (a coalition of the Anguilla Democratic Party or ADP and the Anguilla National Alliance or ANA) |
| Political parties and leaders: | Anguilla United Movement or AUM [Hubert HUGHES] |
| International organization participation: | Caricom (associate), CDB, Interpol (subbureau), OECS, UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | blue, with the flag of the UK in the upper hoist-side quadrant and the Anguillan coat of arms centered in the outer half of the flag; the coat of arms depicts three orange dolphins in an interlocking circular design on a white background with a turquoise-blue field below; the white in the background represents peace; the blue base symbolizes the surrounding sea, as well as faith, youth, and hope; the three dolphins stand for endurance, unity, and strength |
| National symbol(s): | dolphin |
| National anthem: | name: "God Bless Anguilla" |
| National anthem: | lyrics/music: Alex RICHARDSON |
| National anthem: | note: local anthem adopted 1981; as a territory of the United Kingdom, "God Save the Queen" is official (see United Kingdom) |
