| Government | Cayman Islands |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Cayman Islands |
| Dependency status: | overseas territory of the UK |
| Government type: | parliamentary democracy |
| Capital: | name: George Town (on Grand Cayman) |
| Capital: | geographic coordinates: 19 18 N, 81 23 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Administrative divisions: | 6 districts; Bodden Town, Cayman Brac and Little Cayman, East End, George Town, North Side, West Bay |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Constitution Day, first Monday in July |
| Constitution: | several previous; latest approved 10 June 2009, entered into force 6 November 2009 (The Cayman Islands Constitution Order 2009) (2013) |
| Legal system: | English common law and local statutes |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Helen KILPATRICK (since 6 September 2013) |
| Executive branch: | head of government: Premier Alden MCLAUGHLIN (since 29 May 2013) |
| Executive branch: | cabinet: The Cabinet (six members are appointed by the governor on the advice of the premier, selected from among the elected members of the Legislative Assembly) |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; the governor appointed by the monarch; following legislative elections, the leader of the majority party or coalition appointed by the governor as premier |
| Legislative branch: | unicameral Legislative Assembly (21 seats; 18 members elected by popular vote, Speaker, and 2 ex officio members - Deputy Governor and Attorney General; to serve four-year terms) |
| Legislative branch: | elections: last held on 22 May 2013 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - PPM 36.1%, UDP 27.8%, C4C 18.6%, independents 11.9%, PNA 5.7%; seats by party - PPM 9, UDP 3, C4C 3, independent 2, PNA 1 |
| Judicial branch: | highest court(s): Court of Appeal (consists of the court president  and at least 2 judges); Grand Court (consists of the court  president and at least 2 judges) |
| Judicial branch: | note - appeals beyond the Court of Appeal are heard by the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: Court of Appeal and Grand Court judges appointed by the governor on the advice of the Judicial and Legal Services Commission, an 8-member independent body consisting of governor appointees, Court of Appeal president, and attorneys; Court of Appeal judges' tenure based on their individual instruments of appointment; Grand Court judges normally appointed until retirement at age 65 but can be extended until age 70 |
| Judicial branch: | subordinate courts: Summary Court |
| Political parties and leaders: | People's Progressive Movement or PPM [Kurt TIBBETTS] |
| Political parties and leaders: | United Democratic Party or UDP [McKeeva BUSH] |
| Political pressure groups and leaders: | Coalition for Cayman or C4C |
| Political pressure groups and leaders: | National People's Alliance or PNA |
| Political pressure groups and leaders: | National Trust |
| Political pressure groups and leaders: | other: environmentalists |
| International organization participation: | Caricom (associate), CDB, Interpol (subbureau), IOC, UNESCO (associate), UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK); consular services provided through the US Embassy in Jamaica |
| Flag description: | a blue field, with the flag of the UK in the upper hoist-side quadrant and the Caymanian coat of arms centered on the outer half of the flag; the coat of arms includes a crest with a pineapple, representing the connection with Jamaica, and a turtle, representing Cayman's seafaring tradition, above a shield bearing a golden lion, symbolizing Great Britain, below which are three green stars (representing the three islands) surmounting white and blue wavy lines representing the sea and a scroll at the bottom bearing the motto HE HATH FOUNDED IT UPON THE SEAS |
| National anthem: | name: "Beloved Isle Cayman" |
| National anthem: | lyrics/music: Leila E. ROSS |
| National anthem: | note: adopted 1993; served as an unofficial anthem since 1930; as a territory of the United Kingdom, in addition to the local anthem, "God Save the Queen" is official (see United Kingdom) |
