| Government | Uzbekistan |
| --- | --- |
| Country name: | conventional long form: Republic of Uzbekistan |
| Country name: | conventional short form: Uzbekistan |
| Country name: | local long form: O'zbekiston Respublikasi |
| Country name: | local short form: O'zbekiston |
| Country name: | former: Uzbek Soviet Socialist Republic |
| Country name: | etymology: a combination of the Turkic words "uz" (self) and "bek" (master) with the Persian suffix "-stan" (country) to give the meaning "Land of the Free" |
| Government type: | presidential republic; highly authoritarian |
| Capital: | name: Tashkent (Toshkent) |
| Capital: | geographic coordinates: 41 19 N, 69 15 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 12 provinces (viloyatlar, singular - viloyat), 1 autonomous republic* (avtonom respublikasi), and 1 city** (shahar); Andijon Viloyati, Buxoro Viloyati [Bukhara Province], Farg'ona Viloyati [Fergana Province], Jizzax Viloyati, Namangan Viloyati, Navoiy Viloyati, Qashqadaryo Viloyati (Qarshi), Qoraqalpog'iston Respublikasi [Karakalpakstan Republic]* (Nukus), Samarqand Viloyati [Samarkand Province], Sirdaryo Viloyati (Guliston), Surxondaryo Viloyati (Termiz), Toshkent Shahri [Tashkent City]**, Toshkent Viloyati [Tashkent Province], Xorazm Viloyati (Urganch) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 1 September 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 1 September (1991) |
| Constitution: | history: several previous; latest adopted 8 December 1992 |
| Constitution: | amendments: proposed by the Supreme Assembly or by referendum; passage requires two-thirds majority vote of both houses of the Assembly or passage in a referendum; amended several times, last in 2017 (2018) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Uzbekistan |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Shavkat MIRZIYOYEV (interim president from 8 September 2016; formally elected president on 4 December 2016 to succeed longtime President Islom KARIMOV, who died on 2 September 2016) |
| Executive branch: | head of government: Prime Minister Abdulla ARIPOV (since 14 December 2016); First Deputy Prime Minister/Minister of Transport Achilbay RAMATOV (since 15 December 2016) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president with most requiring approval of the Senate chamber of the Supreme Assembly (Oliy Majlis) |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term; previously a 5-year term, extended by a 2002 constitutional amendment to 7 years, and reverted to 5 years in 2011); election last held on 4 December 2016 (next to be held in 2021); prime minister nominated by majority party in legislature since 2011, but appointed along with the ministers and deputy ministers by the president |
| Executive branch: | election results: Shavkat MIRZIYOYEV elected president in first round; percent of vote - Shavkat MIRZIYOYEV (LDPU) 88.6%, Hotamjon KETMONOV (NDP) 3.7%, Narimon UMAROV (Adolat) 3.5%, Sarvar OTAMURODOV (Milliy Tiklanish/National Revival) 2.4%, other 1.8% |
| Legislative branch: | description: bicameral Supreme Assembly or Oliy Majlis consists of: |
| Legislative branch: | Senate (100 seats; 84 members indirectly elected by regional governing councils and 16 appointed by the president; members serve 5-year terms) |
| Legislative branch: | Legislative Chamber or Qonunchilik Palatasi (150 seats; members directly elected in single-seat constituencies by absolute majority vote with a second round, if needed; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held 13-14 January 2015 (next to be held in 2020) |
| Legislative branch: | Legislative Chamber - last held on 21 December 2014 and 4 January 2015 (next to be held in December 2019) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - NA; composition - men 83, women 17, percent of women 17% |
| Legislative branch: | Legislative Chamber - percent of vote by party - NA; seats by party - LDPU 52, National Revival Democratic Party 36, NDP 27, Adolat 20, Ecological Movement 15; composition - men 126, women 24, percent of women 16%; note - total Supreme Assembly percent of women 16.4% |
| Legislative branch: | note: all parties in the Supreme Assembly support President Shavkat MIRZIYOYEV |
| Judicial branch: | highest courts: Supreme Court (consists of 67 judges organized into administrative, civil, criminal, and economic sections); Constitutional Court (consists of 7 judges) |
| Judicial branch: | judge selection and term of office: judges of the highest courts nominated by the president and confirmed by the Senate of the Oliy Majlis; judges appointed for initial 5-year term and can be reappointed for subsequent 10-year and lifetime terms |
| Judicial branch: | subordinate courts: regional, district, city, and town courts |
| Political parties and leaders: | Ecological Party of Uzbekistan (O'zbekiston Ekologik Partivasi) [Boriy ALIKHANOV] |
| Political parties and leaders: | Justice (Adolat) Social Democratic Party of Uzbekistan [Narimon UMAROV] |
| Political parties and leaders: | Liberal Democratic Party of Uzbekistan (O'zbekiston Liberal-Demokratik Partiyasi) or LDPU [Aktam HAITOV] |
| Political parties and leaders: | National Revival Democratic Party of Uzbekistan (O'zbekiston Milliy Tiklanish Demokratik Partiyasi) [Sarvar OTAMURATOV] |
| Political parties and leaders: | People's Democratic Party of Uzbekistan (Xalq Demokratik Partiyas) or NDP [Hotamjon KETMONOV] (formerly Communist Party) |
| International organization participation: | ADB, CICA, CIS, EAPC, EBRD, ECO, FAO, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ISO, ITSO, ITU, MIGA, NAM, OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | Ambassador Javlon VAHOBOV (since 29 November 2017) |
| Diplomatic representation in the US: | chancery: 1746 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 887-5300 |
| Diplomatic representation in the US: | FAX: [1] (202) 293-6804 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel ROSENBLUM (since 24 May 2019) |
| Diplomatic representation from the US: | telephone: [998] (71) 120-5450 |
| Diplomatic representation from the US: | embassy: 3 Moyqo'rq'on, 5th Block, Yunusobod District, Tashkent 100093 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | FAX: [998] (71) 120-6335 |
