| Government | Uzbekistan |
| --- | --- |
| Country name: | conventional long form: Republic of Uzbekistan |
| Country name: | conventional short form: Uzbekistan |
| Country name: | local short form: Ozbekiston |
| Country name: | former: Uzbek Soviet Socialist Republic |
| Country name: | local long form: Ozbekiston Respublikasi |
| Government type: | republic; authoritarian presidential rule, with little power outside the executive branch |
| Capital: | Tashkent (Toshkent) |
| Administrative divisions: | 12 provinces (viloyatlar, singular - viloyat), 1 autonomous republic* (respublika), and 1 city** (shahar); Andijon Viloyati, Buxoro Viloyati, Farg'ona Viloyati, Jizzax Viloyati, Namangan Viloyati, Navoiy Viloyati, Qashqadaryo Viloyati (Qarshi), Qaraqalpog'iston Respublikasi* (Nukus), Samarqand Viloyati, Sirdaryo Viloyati (Guliston), Surxondaryo Viloyati (Termiz), Toshkent Shahri**, Toshkent Viloyati, Xorazm Viloyati (Urganch) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 1 September 1991 (from Soviet Union) |
| National holiday: | Independence Day, 1 September (1991) |
| Constitution: | new constitution adopted 8 December 1992 |
| Legal system: | evolution of Soviet civil law; still lacks independent judicial system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Islom KARIMOV (since 24 March 1990, when he was elected president by the then Supreme Soviet) |
| Executive branch: | head of government: Prime Minister Otkir SULTONOV (since 21 December 1995) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president with approval of the Supreme Assembly |
| Executive branch: | election results: Islom KARIMOV reelected president; percent of vote - Islom KARIMOV 91.9%, Abdulkhafiz JALALOV 4.2% |
| Executive branch: | elections: president elected by popular vote for a seven-year term (previously was a five-year term, extended by constitutional ammendment in 2002); election last held 9 January 2000 (next to be held NA 2007); prime minister and deputy ministers appointed by the president |
| Legislative branch: | unicameral Supreme Assembly or Oliy Majlis (250 seats; members elected by popular vote to serve five-year terms); note - 2002 ammendment to the constitution creates a second chamber to be established via elections in 2004 |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - NDP 48, Self-Sacrificers Party 34, Fatherland Progress Party 20, Adolat Social Democratic Party 11, MTP 10, citizens' groups 16, local government 110, vacant 1 |
| Legislative branch: | note: not all seats in the last Supreme Assembly election were contested; all parties in the Supreme Assembly support President KARIMOV |
| Legislative branch: | elections: last held 5 December and 19 December 1999 (next to be held NA December 2004) |
| Judicial branch: | Supreme Court (judges are nominated by the president and confirmed by the Supreme Assembly) |
| Political parties and leaders: | Adolat (Justice) Social Democratic Party [Anwar JURABAYEV, first secretary]; Democratic National Rebirth Party (Milly Tiklanish) or MTP [Aziz KAYUMOV, chairman]; People's Democratic Party or NDP (formerly Communist Party) [Abdulkhafiz JALOLOV, first secretary]; Self-Sacrificers Party or Fidokorlar National Democratic Party [Ahtam TURSUNOV, first secretary]; note - Fatherland Progress Party merged with Self-Sacrificers Party |
| Political pressure groups and leaders: | Birlik (Unity) Movement [Abdurakhim POLAT, chairman]; Erk (Freedom) Democratic Party [Muhammad SOLIH, chairman] was banned 9 December 1992; Human Rights Society of Uzbekistan [Abdumannob POLAT, chairman]; Independent Human Rights Society of Uzbekistan [Mikhail ARDZINOV, chairman]; Ezgulik [Vasilia Inoyatova] |
| International organization participation: | AsDB, CCC, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IAEA, IBRD, ICAO, ICRM, IDA, IFC, IFRCS, ILO, IMF, Interpol, IOC, ISO, ITU, NAM, OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Shavkat HAMRAKULOV |
| Diplomatic representation in the US: | FAX: [1] (202) 293-6804 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | telephone: [1] (202) 887-5300 |
| Diplomatic representation in the US: | chancery: 1746 Massachusetts Avenue NW, Washington, DC 20036 |
| Diplomatic representation from the US: | chief of mission: Ambassador John Edward HERBST |
| Diplomatic representation from the US: | embassy: 82 Chilanzarskaya, Tashkent 700115 |
| Diplomatic representation from the US: | mailing address: use embassy street address; US Embassy Tashkent, Department of State, Washington, DC 20521-7110 |
| Diplomatic representation from the US: | telephone: [998] (71) 120-5450 |
| Diplomatic representation from the US: | FAX: [998] (71) 120-6335 |
| Flag description: | three equal horizontal bands of blue (top), white, and green separated by red fimbriations with a white crescent moon and 12 white stars in the upper hoist-side quadrant |
