| Government | Mauritania |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Mauritania |
| Country name: | conventional short form: Mauritania |
| Country name: | local long form: Al Jumhuriyah al Islamiyah al Muritaniyah |
| Country name: | local short form: Muritaniyah |
| Country name: | etymology: named for the ancient kingdom of Mauretania (3rd century B.C. to 1st century A.D.), which existed further north in present-day Morocco; the name derives from the Mauri (Moors), the Berber-speaking peoples of northwest Africa |
| Government type: | presidential republic |
| Capital: | name: Nouakchott |
| Capital: | geographic coordinates: 18 04 N, 15 58 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: may derive from the Berber "nawakshut" meaning "place of the winds" |
| Administrative divisions: | 15 regions (wilayas, singular - wilaya); Adrar, Assaba, Brakna, Dakhlet Nouadhibou, Gorgol, Guidimaka, Hodh ech Chargui, Hodh El Gharbi, Inchiri, Nouakchott Nord, Nouakchott Ouest, Nouakchott Sud, Tagant, Tiris Zemmour, Trarza |
| Independence: | 28 November 1960 (from France) |
| National holiday: | Independence Day, 28 November (1960) |
| Constitution: | history: previous 1964; latest adopted 12 July 1991 |
| Constitution: | amendments: proposed by the president of the republic or by Parliament; consideration of amendments by Parliament requires approval of at least one third of the membership; a referendum is held only ifÂ the amendmentÂ is approved by two-thirds majority vote; passage by referendum requires simple majority vote by eligible voters; passage of amendments proposed by the president can bypass a referendum if approved by at least three-fifths majority vote by Parliament; amended many times, last in 2017 (by referendum) (2019) |
| Legal system: | mixed legal system of Islamic and French civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Mauritania |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mohamed Cheikh El GHAZOUANI (since 1 August 2019) |
| Executive branch: | head of government: Prime Minister Ould Bedda Ould Cheikh SIDIYA (since 5 August 2019) |
| Executive branch: | cabinet: Council of Ministers - nominees suggested by the prime minister, appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 22 June 2019 (next scheduled for 22 June 2024); prime minister appointed by the president |
| Executive branch: | election results: Mohamed Cheikh El GHAZOUANI elected president in first round; percent of vote - Mahamed Cheikh El GHAZOUANI (UPR) 52%, Biram Dah Ould ABEID (independent) 18.6%, Sidi Mohamed Ould BOUBACAR (independent) 17.9%, other 11.55% |
| Legislative branch: | description: unicameral Parliament or Barlamane consists of the National Assembly or Al Jamiya Al Wataniya (157 seats; 113 members in single- and multi-seat constituencies directly elected by a combination of plurality and proportional representation voting systems, 40 members in a single, nationwide constituency directly elected by proportional representation vote, and 4 members directly elected by the diaspora; all members serve 5-year terms) |
| Legislative branch: | elections: first held as the unicameral National Assembly in 2 rounds on 1 and 15 September 2018 (next to be held in 2023) |
| Legislative branch: | election results: National Assembly - percent of vote by party - NA; seats by party - NA; composition - NA |
| Legislative branch: | note: a referendum held in August 2017 approved a constitutional amendment to change the Parliament structure from bicameral to unicameral by abolishing the Senate and creating Regional Councils for local development |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (subdivided into 7 chambers: 2 civil, 2 labor, 1 commercial, 1 administrative, and 1 criminal, each with a chamber president and 2 councilors ); Constitutional Council (consists of 6 members) |
| Judicial branch: | judge selection and term of office: Supreme Court president appointed by the president of the republic to serve a 5-year renewable term; Constitutional Council members appointed - 3 by the president of the republic, 2 by the president of the National Assembly, and 1 by the president of the Senate; members serve single, 9-year terms with one-third of membership renewed every 3 years |
| Judicial branch: | subordinate courts: Courts of Appeal; courts of first instance or wilya courts are established in the regions' headquarters and include commercial and labor courts, criminal courts, Moughataa (district) Courts, and informal/customary courts |
| Political parties and leaders: | Alliance for Justice and Democracy/Movement for Renewal or AJD/MR [Ibrahima Moctar SARR] |
| Political parties and leaders: | Burst of Youth for the Nation [Lalla Mint CHERIF] |
| Political parties and leaders: | Coalition of Majority Parties or CPM (includes UPR, UDP) |
| Political parties and leaders: | El Karama Party [Cheikhna Ould Mohamed Ould HAJBOU] |
| Political parties and leaders: | El Vadila Party [Ethmane Ould Ahmed ABOULMAALY] |
| Political parties and leaders: | National Forum for Democracy and Unity or FNDU [Mohamed Ould MAOLOUD] (coalition of hard-line opposition parties, includes RNRD-TAWASSOUL) |
