| Government | Mauritania |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Mauritania |
| Country name: | conventional short form: Mauritania |
| Country name: | local long form: Al Jumhuriyah al Islamiyah al Muritaniyah |
| Country name: | local short form: Muritaniyah |
| Government type: | republic |
| Capital: | Nouakchott |
| Administrative divisions: | 12 regions (regions, singular - region) and 1 capital district*; Adrar, Assaba, Brakna, Dakhlet Nouadhibou, Gorgol, Guidimaka, Hodh Ech Chargui, Hodh El Gharbi, Inchiri, Nouakchott*, Tagant, Tiris Zemmour, Trarza |
| Independence: | 28 November 1960 (from France) |
| National holiday: | Independence Day, 28 November (1960) |
| Constitution: | 12 July 1991 |
| Legal system: | a combination of Shari'a (Islamic law) and French civil law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Maaouya Ould Sid Ahmed TAYA (since 12 December 1984); note - President TAYA deposed in a coup by the Military Council for Justice and Democracy led by Col. Ely Ould Mohamed VALL on 3 August 2005 |
| Executive branch: | head of government: Prime Minister Sidi Mohamed Ould BOUBAKAR (since 8 August 2005) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | elections: president elected by popular vote for a six-year term; election last held 7 November 2003 (next to be held NA 2009); prime minister appointed by the president |
| Executive branch: | election results: President Maaouya Ould Sid Ahmed TAYA reelected for a third term with 60.8% of the vote |
| Legislative branch: | bicameral legislature consists of the Senate or Majlis al-Shuyukh (56 seats, a part of the seats up for election every two years; members elected by municipal leaders to serve six-year terms) and the National Assembly or Majlis al-Watani (81 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Senate - last held 9 and 16 April 2004 (next to be held April 2006); National Assembly - last held 19 and 26 October 2001 (next to be held NA 2006) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - NA; National Assembly - percent of vote by party - PRDS 79%, RDU 3.5%, UDP 3.5%, AC 5%, UFP 3.5%, FP 1.5%; seats by party - PRDS 64, UDP 3, RDU 3, AC 4, RFD 3, UFP 3, and FP 1 |
| Judicial branch: | Supreme Court or Cour Supreme; Court of Appeals; lower courts |
| Political parties and leaders: | Action for Change or AC [Messoud Ould BOULKHEIR]; Alliance for Justice and Democracy or AJD [Kebe ABDOULAYE]; Democratic and Social Republican Party or PRDS (ruling party) [President Maaouya Ould Sid Ahmed TAYA]; Mauritanian Party for Renewal and Concorde or PMRC [Molaye El Hassen Ould JIYID]; National Union for Democracy and Development or UNDD [Tidjane KOITA]; Party for Liberty, Equality and Justice or PLEJ [Daouda M'BAGNIGA]; Popular Front or FP [Ch'bih Ould CHEIKH MALAININE]; Popular Progress Alliance or APP [Messoud Ould BOULKHEIR]; Popular Social and Democratic Union or UPSD [Mohamed Mahmoud Ould MAH]; Progress Force Union or UFP [Mohamed Ould MAOULOUD]; Rally of Democratic Forces or RFD [Ahmed Ould DADDAH]; Rally for Democracy and Unity or RDU [Ahmed Ould SIDI BABA]; Union for Democracy and Progress or UDP [Naha Mint MOUKNASS] |
| Political parties and leaders: | note: the Action for Change party was banned in January 2002 although its members were permitted to keep their seats in the National Assembly; parties legalized by constitution ratified 12 July 1991, however, politics continue to be tribally based |
| Political pressure groups and leaders: | Arab nationalists; Ba'thists; General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED, secretary general]; Independent Confederation of Mauritanian Workers or CLTM [Samory Ould BEYE]; Islamists; Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM, secretary general] |
| International organization participation: | ABEDA, ACCT, ACP, AfDB, AFESD, AMF, AMU, AU, CAEU, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAS, MIGA, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Tijani Ould KERIM |
| Diplomatic representation in the US: | chancery: 2129 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5700, 5701 |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2623 |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph E. LEBARON |
| Diplomatic representation from the US: | embassy: 288 Rue Abdallaye (between Presidency building and Spanish Embassy), Nouakchott |
| Diplomatic representation from the US: | mailing address: BP 222, Nouakchott |
| Diplomatic representation from the US: | telephone: [222] 525-2660/525-2663 |
| Diplomatic representation from the US: | FAX: [222] 25-25-92 |
| Flag description: | green with a yellow five-pointed star above a yellow, horizontal crescent; the closed side of the crescent is down; the crescent, star, and color green are traditional symbols of Islam |
