| Government | MAURITANIA |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Mauritania |
| Country name: | conventional short form: Mauritania |
| Country name: | local long form: Al Jumhuriyah al Islamiyah al Muritaniyah |
| Country name: | local short form: Muritaniyah |
| Government type: | presidential republic |
| Capital: | name: Nouakchott |
| Capital: | geographic coordinates: 18 04 N, 15 58 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 13 regions (wilayas, singular - wilaya); Adrar, Assaba, Brakna, Dakhlet Nouadhibou, Gorgol, Guidimaka, Hodh ech Chargui, Hodh el Gharbi, Inchiri, Nouakchott, Tagant, Tiris Zemmour, Trarza |
| Independence: | 28 November 1960 (from France) |
| National holiday: | Independence Day, 28 November (1960) |
| Constitution: | previous 1964; latest adopted 12 July 1991; amended 2006, 2012 (2012) |
| Legal system: | mixed legal system of Islamic and French civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mohamed Ould Abdel AZIZ (since 5 August 2009); note - AZIZ deposed President Sidi Ould Cheikh ABDELLAHI in a coup and installed himself as president in August 2008; he subsequently retired from the military, stepped down from the approprtiated presidency in April 2009 to run for the legitimate presidency, and was elected president on 18 July 2009 |
| Executive branch: | head of government: Prime Minister Yahya Ould HADEMINE (since 21 August 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 21 June 2014 (next to be held by 2019); prime minister appointed by the president |
| Executive branch: | election results: Mohamed Ould Abdel AZIZ elected president; percent of vote - Mohamed Ould Abdel AZIZ (UPR) 81.9%, Biram Dah ABEID (independent)  8.7%, Boidiel Ould HOUMEIT (El Wiam) 4.5%, Ibrahima Moctar SARR (SJD/MR) 4.4%, other 0.5% |
| Legislative branch: | description: bicameral Parliament or Barlamane consists of the Senate or Majlis al-Shuyukh (56 seats; 53 members indirectly elected by municipal leaders by simple majority vote and 3 directly elected by Mauritanians abroad; members serve 6-year terms) and the National Assembly or Al Jamiya Al Wataniya (146 seats; 106 members directly elected in single- and two-seat constituencies by absolute majority vote in two rounds if needed and 40 directly elected in constituencies with three or more seats by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held on 8 and 15 November 2009 (next to be held in 2014); National Assembly - first round last held on 23 November and second round on 21 December 2013 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - CPM (Coalition of Majority Parties) 14, RNRD-TAWASSOUL 1, independent 2; National Assembly - percent of vote by party - NA; seats by party - UPR 75, RNRD-TAWASSOUL 16, El Wiam 10, APP 7, El Karama Party 6, UDP 6, AJD/MR 4, Surge of Youth for the Nation 4, El Vadila Party 3, PRDR 3, PUD 3, Ravah Party 3, other 6 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (subdivided into 1 criminal and 2 civil chambers, each with a president and 5 counselors); Constitutional Council (consists of 6 members) |
| Judicial branch: | judge selection and term of office: Supreme Court president appointed by the president of the republic to serve a 5-year renewable term; Constitutional Council members appointed - 3 by the president of the republic, 2 by the president of the National Assembly, and 1 by the president of the Senate; members serve single, 9-year terms with one-third of membership renewed every 3 years |
| Judicial branch: | subordinate courts: High Court of Justice (cases involving treason and criminal acts of high government officials); courts of appeal; wilaya (regional) courts (located at the headquarters of each of the 13 regions); commercial and labor courts; criminal courts; moughataa (district) courts; informal/customary courts |
| Political parties and leaders: | Alliance for Justice and Democracy/Movement for Renewal or AJD/MR [Ibrahima Moctar SARR] |
| Political parties and leaders: | Alternative or El-Badil [Mohamed Yahdhi Ould MOCTAR HACEN] |
| Political parties and leaders: | Coalition of Majority Parties or CPM (parties supporting the regime including PRDR, UPR, UDP, RD, HATEM-PMUC, UCD) |
| Political parties and leaders: | Coalition for Pacific Alternation or CAP (coalition of opposition parties, including APP, El Wiam, and Sawab) |
| Political parties and leaders: | Coordination of Democratic Opposition or COD [Ahmed Ould DADDAH] (coalition of 11 opposition political parties including RNRD-TAWASSOUL, RFD, UFP, PNDD-ADIL, Alternative or El-Badil) |
| Political parties and leaders: | Democratic Renewal or RD [Moustapha Ould ABDEIDARRAHMANE] |
| Political parties and leaders: | El Karama Party [Cheikhna Ould Mohamed Ould HAJBOU] |
| Political parties and leaders: | El Vadila Party [Ethmane Ould Ahmed ABOULMAALY] |
