| Government | NORWAY |
| --- | --- |
| Country name: | conventional long form: Kingdom of Norway |
| Country name: | conventional short form: Norway |
| Country name: | local long form: Kongeriket Norge |
| Country name: | local short form: Norge |
| Country name: | etymology: derives from the Old Norse words "nordr" and "vegr" meaning "northern way" and refers to the long coastline of western Norway |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Oslo |
| Capital: | geographic coordinates: 59 55 N, 10 45 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 19 counties (fylker, singular - fylke); Akershus, Aust-Agder, Buskerud, Finnmark, Hedmark, Hordaland, More og Romsdal, Nordland, Nord-Trondelag, Oppland, Oslo, Ostfold, Rogaland, Sogn og Fjordane, Sor-Trondelag, Telemark, Troms, Vest-Agder, Vestfold |
| Dependent areas: | Bouvet Island, Jan Mayen, Svalbard |
| Independence: | 7 June 1905 (declared the union with Sweden dissolved); 26 October 1905 (Sweden agreed to the repeal of the union) |
| National holiday: | Constitution Day, 17 May (1814) |
| Constitution: | history: drafted spring 1814, adopted 16 May 1814, signed by Constituent Assembly 17 May 1814 |
| Constitution: | amendments: proposals submitted by members of Parliament or by the government within the first three years of Parliament's four-year term; passage requires two-thirds majority vote of a two-thirds quorum in the next elected Parliament; amended over 400 times, last in 2015 (2016) |
| Legal system: | mixed legal system of civil, common, and customary law; Supreme Court can advise on legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Norway |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 7 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King HARALD V (since 17 January 1991); Heir Apparent Crown Prince HAAKON MAGNUS, son of the monarch (born 20 July 1973) |
| Executive branch: | head of government: Prime Minister Erna SOLBERG (since 16 October 2013) |
| Executive branch: | cabinet: State Council appointed by the monarch, approved by Parliament |
| Executive branch: | elections/appointments: the monarchy is hereditary; following parliamentary elections, the leader of the majority party or majority coalition usually appointed prime minister by the monarch with the approval of the parliament |
| Legislative branch: | description: unicameral Parliament or Storting (169 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 11 September 2017 (next to be held in September 2021) |
