| Government | Norway |
| --- | --- |
| Country name: | conventional long form: Kingdom of Norway |
| Country name: | conventional short form: Norway |
| Country name: | local long form: Kongeriket Norge |
| Country name: | local short form: Norge |
| Government type: | constitutional monarchy |
| Capital: | name: Oslo |
| Capital: | geographic coordinates: 59 55 N, 10 45 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 19 counties (fylker, singular - fylke); Akershus, Aust-Agder, Buskerud, Finnmark, Hedmark, Hordaland, More og Romsdal, Nordland, Nord-Trondelag, Oppland, Oslo, Ostfold, Rogaland, Sogn og Fjordane, Sor-Trondelag, Telemark, Troms, Vest-Agder, Vestfold |
| Dependent areas: | Bouvet Island, Jan Mayen, Svalbard |
| Independence: | 7 June 1905 (Norway declared the union with Sweden dissolved); 26 October 1905 (Sweden agreed to the repeal of the union) |
| National holiday: | Constitution Day, 17 May (1814) |
| Constitution: | drafted spring 1814, adopted 16 May 1814, signed by Constituent Assembly 17 May 1814; amended many times, last in 2012 (2012) |
| Legal system: | mixed legal system of civil, common, and customary law; Supreme Court can advise on legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: King HARALD V (since 17 January 1991); Heir Apparent Crown Prince HAAKON MAGNUS, son of the monarch (born 20 July 1973) |
| Executive branch: | head of government: Prime Minister Erna SOLBERG (since 9 September 2013) |
| Executive branch: | cabinet: State Council appointed by the monarch with the approval of parliament |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; following parliamentary elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the monarch with the approval of the parliament |
| Legislative branch: | modified unicameral Parliament or Storting (169 seats; members elected by popular vote by proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held on 9 September 2013 (next to be held in September 2017) |
| Legislative branch: | election results: percent of vote by party - Ap 30.8%, H 26.3%, FrP 16.3%, KrF 5.6%, Sp 5.5%, V 5.2%, SV 4.1%, MDG 2.8, other 2.7%; seats by party - Ap 55, H 48, FrP 29, Sp 10, KrF 10, V 9, SV 7, MDG 1 |
| Judicial branch: | highest court(s): Supreme Court or Hoyesterett (consists of the chief justice and 18 associate justices) |
