| Government | Iceland |
| --- | --- |
| Country name: | conventional long form: Republic of Iceland |
| Country name: | conventional short form: Iceland |
| Country name: | local long form: Lydhveldidh Island |
| Country name: | local short form: Island |
| Government type: | constitutional republic |
| Capital: | Reykjavik |
| Administrative divisions: | 8 regions; Austurland, Hofudhborgarsvaedhi, Nordhurland Eystra, Nordhurland Vestra, Sudhurland, Sudhurnes, Vestfirdhir, Vesturland |
| Independence: | 1 December 1918 (became a sovereign state under the Danish Crown); 17 June 1944 (from Denmark) |
| National holiday: | Independence Day, 17 June (1944) |
| Constitution: | 16 June 1944, effective 17 June 1944; amended many times |
| Legal system: | civil law system based on Danish law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Olafur Ragnar GRIMSSON (since 1 August 1996) |
| Executive branch: | head of government: Prime Minister Halldor ASGRIMSSON (since 15 September 2004); note - Former Prime Minister David ODDSSON switched positions with former Foreign Minister Halldor ASGRIMMSON |
| Executive branch: | cabinet: Cabinet appointed by the prime minister and approved by parliament |
| Executive branch: | elections: president, which is largely a ceremonial post, elected by popular vote for a four-year term; election last held 26 June 2004 (next to be held June 2008); following legislative elections, the leader of the majority party or the leader of the majority coalition is usually the prime minister |
| Executive branch: | election results: Olafur Ragnar GRIMSSON wins with 85.6% of the vote, Baldur AGUSTSSON 12.5%, Astthor MAGNUSSON 1.9% |
| Legislative branch: | unicameral Parliament or Althing (63 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 10 May 2003 (next to be held by May 2007) |
| Legislative branch: | election results: percent of vote by party - Independence Party 33.7%, Social Democratic Alliance 31.0%, Progressive Party 17.7%, Left-Green Alliance 8.8%, Liberal Party 7.4%; seats by party - Independence Party 22, Social Democratic Alliance 20, Progressive Party 12, Left-Green Alliance 5, Liberal Party 4 |
| Judicial branch: | Supreme Court or Haestirettur (justices are appointed for life by the Minister of Justice); eight district courts (justices are appointed for life by the Minister of Justice) |
| Political parties and leaders: | Independence Party or IP [David ODDSSON]; Left-Green Alliance or LGP [Steingrimur SIGFUSSON]; Liberal Party or LP [Gudjon KRISTJANSSON]; Progressive Party or PP [Halldor ASGRIMSSON]; Social Democratic Alliance (includes People's Alliance or PA, Social Democratic Party or SDP, Women's List) or SDA [Ingibjorg Solrun GISLADOTTIR] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Australia Group, BIS, CBSS, CE, EAPC, EBRD, EFTA, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, MIGA, NATO, NC, NEA, NIB, OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UPU, WCO, WEU (associate), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Helgi AGUSTSSON |
| Diplomatic representation in the US: | chancery: Suite 1200, 1156 15th Street NW, Washington, DC 20005-1704 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-6653 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-6656 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James I. GADSDEN |
| Diplomatic representation from the US: | embassy: Laufasvegur 21, 101 Reykjavik |
| Diplomatic representation from the US: | mailing address: US Embassy, PSC 1003, Box 40, FPO AE 09728-0340 |
| Diplomatic representation from the US: | telephone: [354] 562-9100 |
| Diplomatic representation from the US: | FAX: [354] 562-9118 |
| Flag description: | blue with a red cross outlined in white extending to the edges of the flag; the vertical part of the cross is shifted to the hoist side in the style of the Dannebrog (Danish flag) |
