| Government | European Union |
| --- | --- |
| Union name: | conventional long form: European Union |
| Union name: | abbreviation: EU |
| Political structure: | a hybrid intergovernmental and supranational organization |
| Capital: | name: Brussels (Belgium), Strasbourg (France), Luxembourg |
| Capital: | geographic coordinates: 50 50 N, 4 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: the Council of the European Union meets in Brussels, Belgium; the European Parliament meets in Brussels and Strasbourg, France; the Court of Justice of the European Communities meets in Luxembourg |
| Member states: | 27 countries: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, UK; note - candidate countries: Croatia, Iceland, Macedonia, Montenegro, Turkey |
| Independence: | 7 February 1992 (Maastricht Treaty signed establishing the EU); 1 November 1993 (Maastricht Treaty entered into force) |
| National holiday: | Europe Day 9 May (1950); note - a Union-wide holiday, the day that Robert SCHUMAN proposed the creation of the European Coal and Steel Community to achieve an organized Europe |
| Constitution: | none |
| Constitution: | note: based on a series of treaties: the Treaty of Paris, which set up the European Coal and Steel Community (ECSC) in 1951; the Treaties of Rome, which set up the European Economic Community (EEC) and the European Atomic Energy Community (Euratom) in 1957; the Single European Act in 1986; the Treaty on European Union (Maastricht) in 1992; the Treaty of Amsterdam in 1997; and the Treaty of Nice in 2003; note - a new draft Constitutional Treaty, signed on 29 October 2004 in Rome, gave member states two years for ratification either by parliamentary vote or national referendum before it was scheduled to take effect on 1 November 2006; defeat in French and Dutch referenda in May-June 2005 dealt a severe setback to the ratification process; in June 2007, the European Council agreed on a clear and concise mandate for an Intergovernmental Conference to form a political agreement and put it into legal form; this agreement, known as the Reform Treaty, would have served as a constitution and was presented to the European Council in October 2007 for individual country ratification; it was rejected by Irish voters in June 2008, again stalling the ratification process; the Reform Treaty, more recently known as the Treaty of Lisbon, was again circulated for ratification, and by November 2009 was approved by all 27 countries; it came into effect on 1 December 2009 |
| Legal system: | comparable to the legal systems of member states; first supranational law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of union: President of the European Commission Jose Manuel BARROSO (since 2004) |
| Executive branch: | cabinet: European Commission (composed of 27 members, one from each member country; each commissioner responsible for one or more policy areas) |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the president of the European Commission designated by member governments and confirmed by the European Parliament; working from member state recommendations, the Commission president then assembles a "college" of Commission members; the European Parliament confirms the entire Commission for a five-year term; the next confirmation process will likely be held in January 2015 |
| Executive branch: | note: the European Council brings together heads of state and government and the president of the European Commission and meets at least four times a year; its aim is to provide the impetus for the major political issues relating to European integration and to issue general policy guidelines; leaders of the EU member states appointed then Belgian Prime Minister Herman VAN ROMPUY to be the first full-time president of the European Council in November 2009; he took office on 1 December 2009 and will serve a two-and-one-half-year term, renewable once; his core responsibilities include chairing the four summits each year and providing continuity beyond the rotating, six-month presidencies of the Council of the EU |
| Legislative branch: | two legislative bodies consisting of the Council of the European Union (27 member-state ministers having 345 votes; the number of votes is roughly proportional to member-states' population) and the European Parliament (736 seats; seats allocated among member states in proportion to population; members elected by direct universal suffrage for a five-year term); note - the Council is the main decision-making body of the EU; leaders of the EU member states appointed UK Baroness Catherine Ashton to be the first High Representative of the Union for Foreign Affairs and Security Policy; Ashton took office on 1 December 2009; her concurrent appointment as Vice President of the European Commission - both of which are subject to confirmation by the European Parliament - endows her position with the policymaking influence of the Council of the EU and the budgetary influence of the European Commission |
| Legislative branch: | elections: last held on 4-7 June 2009 (next to be held in June 2014) |
| Legislative branch: | election results: percent of vote - EPP 36%, S&D 25%, ALDE 11.4%, Greens/EFA 7.5%, ECR 7.3%, GUE/NGL 4.8%, EFD 4.3%, independents 3.7%; seats by party - EPP 265, S&D 184, ALDE 84, Greens/EFA 55, ECR 54, GUE/NGL 35, EFD 32, independents 27 |
| Judicial branch: | Court of Justice of the European Communities (ensures that the treaties are interpreted and applied uniformly throughout the EU; resolve constitutional issues among the EU institutions) - 27 justices (one from each member state) appointed for a six-year term; note - for the sake of efficiency, the court can sit with 13 justices known as the "Grand Chamber"; Court of First Instance - 27 justices appointed for a six-year term |
| Political parties and leaders: | Confederal Group of the European United Left-Nordic Green Left or GUE/NGL [Lothar BISKY]; Europe of Freedom and Democracy Group or EFD [Nigel FARAGE and Francesco SPERONI]; European Conservatives and Reformists Group or ECR [Michael KAMINSKI]; Group of Greens/European Free Alliance or Greens/EFA [Rebecca HARMS and Daniel COHN-BENDIT]; Group of the Alliance of Liberals and Democrats for Europe or ALDE [Guy VERHOFSTADT]; Group of the European People's Party or EPP [Joseph DAUL]; Group of the Progressive Alliance of Socialists and Democrats in the European Parliament or S&D [Martin SCHULZ] |
| International organization participation: | European Union: ARF (dialogue member), ASEAN (dialogue member), FAO, G-8, G-20, IDA, OAS (observer), PIF (partner), SAARC (observer), UN (observer), WTO |
| International organization participation: | European Commission: Australian Group, CBSS, CERN, EBRD, FATF, G-10, IEA, LAIA WTO, ZC (observer) |
| International organization participation: | European Central Bank: BIS |
| International organization participation: | European Investment Bank: EBRD |
| Diplomatic representation in the US: | chief of mission: Ambassador Joao P. Castanheira do VALE DE ALMEIDA |
| Diplomatic representation in the US: | chancery: 2300 M Street, NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-9500 |
| Diplomatic representation in the US: | FAX: [1] (202) 429-1766 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Christopher MURRAY |
| Diplomatic representation from the US: | embassy: 13 Zinnerstraat/Rue Zinner, B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: same as above |
| Diplomatic representation from the US: | telephone: [32] (2) 508-2111 |
| Diplomatic representation from the US: | FAX: [32] (2) 508-2063 |
| Flag description: | a blue field with 12 five-pointed gold stars arranged in a circle in the center; blue represents the sky of the Western world, the stars are the peoples of Europe in a circle, a symbol of unity; the number of stars is fixed |
| National anthem: | name: "Ode to Joy"" |
| National anthem: | lyrics/music: none/Ludwig VON BEETHOVEN, arranged by Herbert VON KARAJAN |
| National anthem: | note: adopted 1972, not in use until 1986; according to the European Union, the song is meant to represent all of Europe rather than just the organization; the song also serves as the anthem for the Council of Europe |
