| Government | European Union |
| --- | --- |
| Union name: | conventional long form: European Union |
| Union name: | abbreviation: EU |
| Political structure: | a hybrid and unique intergovernmental and supranational organization |
| Capital: | name: Brussels (Belgium), Strasbourg (France), Luxembourg |
| Capital: | geographic coordinates: (Brussels) 50 50 N, 4 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: the European Council and the Council of the European Union meet in Brussels, Belgium; the European Parliament meets in Brussels and Strasbourg, France, and has administrative offices in Luxembourg; the Court of Justice of the European Union meets in Luxembourg |
| Member states: | 27 countries: Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, UK; note - candidate countries: Croatia, Iceland, Macedonia, Montenegro, Serbia, Turkey |
| Independence: | 7 February 1992 (Maastricht Treaty signed establishing the European Union); 1 November 1993 (Maastricht Treaty entered into force) |
| Independence: | note: the Treaties of Rome, signed on 25 March 1957 and subsequently entered into force on 1 January 1958, created the European Economic Community and the European Atomic Energy Community; a series of subsequent treaties have been adopted to increase efficiency and transparency, to prepare for new member states, and to introduce new areas of cooperation - such as single currency; the Treaty of Lisbon, signed on 13 December 2007 and entered into force on 1 December 2009 is the most recent of these treaties and is intended to make the EU more democratic, more efficient, and better able to address global problems with one voice |
| National holiday: | Europe Day 9 May (1950); note - the day in 1950 that Robert SCHUMAN proposed the creation of what became the European Coal and Steel Community, the progenitor of today's European Union, with the aim of achieving a united Europe |
| Constitution: | none |
| Constitution: | note: the EU legal order, although based on a series of treaties, has often been described as "constitutional" in nature; the Treaty on European Union (TEU), as modified by the Lisbon Treaty, states in Article 1 that "the HIGH CONTRACTING PARTIES establish among themselves a EUROPEAN UNION ... on which the Member States confer competences to attain objectives they have in common"; Article 1 of the TEU states further that the EU is "founded on the present Treaty and on the Treaty on the Functioning of the European Union (hereinafter referred to as 'the Treaties')," both possessing the same legal value; Article 6 of the TEU provides that a separately adopted Charter of Fundamental Rights of the European Union "shall have the same legal value as the Treaties" |
| Legal system: | unique supranational law system in which, according to an interpretive declaration of member-state governments appended to the Treaty of Lisbon, "the Treaties and the law adopted by the Union on the basis of the Treaties have primacy over the law of Member States" under conditions laid down in the case law of the Court of Justice; key principles of EU law include fundamental rights as guaranteed by the Charter of Fundamental Rights and as resulting from constitutional traditions common to the EU's states; EU law is divided into 'primary' and 'secondary' legislation; the treaties (primary legislation) are the basis for all EU action; secondary legislation - which includes regulations, directives and decisions - are derived from the principles and objectives set out in the treaties |
| Suffrage: | 18 years of age; universal; voting for the European Parliament is permitted in each member state |
| Executive branch: | under the EU treaties there are three distinct institutions, each of which conducts functions that may be regarded as executive in nature: |
| Executive branch: | the European Council: brings together heads of state and government, along with the president of the European Commission, and meets at least four times a year; its aim is to provide the impetus for the development of the Union and to issue general policy guidelines; leaders of the EU member states appointed former Belgian Prime Minister Herman VAN ROMPUY to be the first full-time president of the European Council in November 2009; he took office on 1 December 2009 for a two-and-one-half-year term, renewable once; EU member state leaders confirmed VAN ROMPUY for a second and final two-and-one-half-year term in March 2012; his core responsibilities include chairing the EU summits and providing policy and organizational continuity |
| Executive branch: | the Council of the European Union: consists of ministers of each EU member state and meets regularly in different configurations depending on the subject matter; it carries out policy-making and coordinating functions (as well as legislative functions); ministers of EU member states chair meetings of the Council of the EU based on a six-month rotating presidency |
| Executive branch: | the European Commission: is headed by a College of Commissioners comprised of 27 members, one from each member country; each commissioner is responsible for one or more policy areas; the Commission's responsibilities include the sole right to initiate EU legislation (except for foreign and defense policy), promoting the general interest of the EU, acting as "guardian of the Treaties," executing the budget and managing programs, ensuring the Union's external representation, and additional duties; its president is Jose Manuel BARROSO (since 2004); the president of the European Commission is designated by member state governments and confirmed by the European Parliament; working from member state recommendations, the Commission president then assembles the "college" of Commission members; the European Parliament confirms the entire Commission for a five-year term; the next confirmation process will likely be held in January 2015 |
| Executive branch: | note: for external representation and foreign policy making, leaders of the EU member states appointed Catherine ASHTON of the United Kingdom to be the first High Representative of the Union for Foreign Affairs and Security Policy; ASHTON took office on 1 December 2009; her concurrent appointment as Vice President of the European Commission endows her position with the policymaking influence of the Council of the EU and the budgetary influence of the European Commission; the High Representative helps develop and implement the EU's Common Foreign and Security Policy (CFSP) and Common Security and Defense Policy (CSDP), chairs the Foreign Affairs Council, represents and acts for the Union in many international contexts, and oversees the European External Action Service (EEAS), the diplomatic corps of the EU, established on 1 December 2010 |
| Legislative branch: | two legislative bodies consisting of the Council of the European Union (27 member-state ministers having 345 votes; the number of votes is roughly proportional to member-states' population, and 255 votes plus a majority of member states forms a "qualified majority" to pass a measure) and the European Parliament (754 seats; seats allocated among member states in proportion to population; members elected by direct universal suffrage for a five-year term); note - the European Parliament President is elected by a majority of fellow members of the European Parliament (MEP), and represents the Parliament with the EU and internationally; German MEP Martin SCHULZ from the Group of the Progressive Alliance of Socialists and Democrats (S&D) was elected in January 2012; the Council of the EU is the main decision-making body of the EU, although the European Parliament must also approve almost all EU legislation; the Parliament does not have the right to initiate legislation |
| Legislative branch: | elections: last held on 4-7 June 2009 (next to be held in June 2014) |
| Legislative branch: | election results: percent of vote - EPP 36%, S&D 25%, ALDE 11.4%, Greens/EFA 7.5%, ECR 7.3%, GUE/NGL 4.8%, EFD 4.3%, independents 3.7%; seats by party - EPP 265, S&D 184, ALDE 84, Greens/EFA 55, ECR 54, GUE/NGL 35, EFD 32, nonaffiliated 27, plus 18 "observers"; note - current seats by party as of December 2012 - EPP 270, S&D 189, ALDE 85, Greens/EFA 59, ECR 53, GUE/NGL 34, EFD 34, nonaffiliated 30 |
| Judicial branch: | Court of Justice of the European Union (ensures that the treaties are interpreted and applied uniformly throughout the EU, resolves disputed issues among the EU institutions, issues opinions on questions of EU law referred by member state courts) - 27 judges (one from each member state) appointed for a six-year term; note - the court can sit in chambers, in a "Grand Chamber" of 13 judges, or as the full court; General Court (a court below the Court of Justice) - 27 judges appointed for a six-year term; Civil Service Tribunal - 7 judges appointed for a three-year term |
| Political parties and leaders: | Confederal Group of the European United Left-Nordic Green Left or GUE/NGL [Gabriele ZIMMER]; Europe of Freedom and Democracy Group or EFD [Nigel FARAGE and Francesco SPERONI]; European Conservatives and Reformists Group or ECR [Martin CALLANAN]; Group of Greens/European Free Alliance or Greens/EFA [Rebecca HARMS and Daniel COHN-BENDIT]; Group of the Alliance of Liberals and Democrats for Europe or ALDE [Guy VERHOFSTADT]; Group of the European People's Party or EPP [Joseph DAUL]; Group of the Progressive Alliance of Socialists and Democrats or S&D [Hannes SWOBODA] |
