| Government | Equatorial Guinea |
| --- | --- |
| Country name: | conventional long form: Republic of Equatorial Guinea |
| Country name: | conventional short form: Equatorial Guinea |
| Country name: | local long form: Republica de Guinea Ecuatorial/Republique de Guinee equatoriale |
| Country name: | local short form: Guinea Ecuatorial/Guinee equatoriale |
| Country name: | former: Spanish Guinea |
| Government type: | republic |
| Capital: | name: Malabo |
| Capital: | geographic coordinates: 3 45 N, 8 47 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces (provincias, singular - provincia); Annobon, Bioko Norte, Bioko Sur, Centro Sur, Kie-Ntem, Litoral, Wele-Nzas |
| Independence: | 12 October 1968 (from Spain) |
| National holiday: | Independence Day, 12 October (1968) |
| Constitution: | approved by national referendum 17 November 1991; amended January 1995 |
| Legal system: | partly based on Spanish civil law and tribal custom |
| Suffrage: | 18 years of age; universal adult |
| Executive branch: | chief of state: President Brig. Gen. (Ret.) Teodoro OBIANG NGUEMA MBASOGO (since 3 August 1979 when he seized power in a military coup) |
| Executive branch: | head of government: Prime Minister Ricardo Mangue Obama NFUBEA (since 14 August 2006); First Deputy Prime Minister Mercelino Oyono NTUTUMU (since 15 June 2004) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a seven-year term (no term limits); election last held 15 December 2002 (next to be held December 2009); prime minister and deputy prime ministers appointed by the president |
| Executive branch: | election results: Teodoro OBIANG NGUEMA MBASOGO reelected president; percent of vote - Teodoro OBIANG NGUEMA MBASOGO 97.1%, Celestino Bonifacio BACALE 2.2%; elections marred by widespread fraud |
| Legislative branch: | unicameral House of People's Representatives or Camara de Representantes del Pueblo (100 seats; members directly elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 25 April 2004 (next to be held in 2009) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PDGE 98, CPDS 2 |
| Legislative branch: | note: Parliament has little power since the constitution vests all executive authority in the president |
| Judicial branch: | Supreme Tribunal |
| Political parties and leaders: | Convergence Party for Social Democracy or CPDS [Placido MIKO Abogo]; Democratic Party for Equatorial Guinea or PDGE [Teodoro OBIANG NGUEMA MBASOGO] (ruling party); Party for Progress of Equatorial Guinea or PPGE [Severo MOTO]; Popular Action of Equatorial Guinea or APGE [Miguel Esono EMAN]; Popular Union or UP [Andres Moises Bda ADA]; Progressive Democratic Alliance or ADP [Victorino Bolekia BONAY]; Union of Independent Democrats of UDI [Daniel OYONO] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, MIGA, NAM, OAS (observer), OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Purificacion ANGUE ONDO |
| Diplomatic representation in the US: | chancery: 2020 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 518-5700 |
| Diplomatic representation in the US: | FAX: [1] (202) 518-5252 |
| Diplomatic representation from the US: | chief of mission: the US ambassador to Cameroon is accredited to Equatorial Guinea |
| Diplomatic representation from the US: | embassy: adjacent to the golf course at the base of Mont Febe; note - relocated embassy is opened for limited functions; inquiries should continue to be directed to the US Embassy in Yaounde, Cameroon |
| Diplomatic representation from the US: | mailing address: B.P. 817, Yaounde, Cameroon; US Embassy Yaounde, US Department of State, Washington, DC 20521-2520 |
| Diplomatic representation from the US: | telephone: [237] 220 15 00 |
| Diplomatic representation from the US: | FAX: [237] 220 16 20 |
| Flag description: | three equal horizontal bands of green (top), white, and red with a blue isosceles triangle based on the hoist side and the coat of arms centered in the white band; the coat of arms has six yellow six-pointed stars (representing the mainland and five offshore islands) above a gray shield bearing a silk-cotton tree and below which is a scroll with the motto UNIDAD, PAZ, JUSTICIA (Unity, Peace, Justice) |
