| Government | EQUATORIAL GUINEA |
| --- | --- |
| Country name: | conventional long form: Republic of Equatorial Guinea |
| Country name: | conventional short form: Equatorial Guinea |
| Country name: | local long form: Republica de Guinea Ecuatorial/Republique de Guinee Equatoriale |
| Country name: | local short form: Guinea Ecuatorial/Guinee Equatoriale |
| Country name: | former: Spanish Guinea |
| Country name: | etymology: the country is named after the Guinea region of West Africa that lies along the Gulf of Guinea and stretches north to the Sahel; the "equatorial" refers to the fact that the country lies just north of the equator |
| Government type: | republic |
| Capital: | name: Malabo |
| Capital: | geographic coordinates: 3 45 N, 8 47 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 7 provinces (provincias, singular - provincia); Annobon, Bioko Norte, Bioko Sur, Centro Sur, Kie-Ntem, Litoral, Wele-Nzas |
| Independence: | 12 October 1968 (from Spain) |
| National holiday: | Independence Day, 12 October (1968) |
| Constitution: | approved by referendum 17 November 1991; amended several times, last in 2012 (2015) |
| Legal system: | mixed system of civil and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Equatorial Guinea |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Brig. Gen. (Ret.) Teodoro Obiang NGUEMA MGASOGO (since 3 August 1979 when he seized power in a military coup) |
| Executive branch: | head of government: Prime Minister Vicente EHATE TOMI (since 22 May 2012); First Deputy Prime Minister Clemente ENGONG NGUEMA ONGUENE; Second Deputy Prime Minister Francisco Pascual OBAMA ASUE; Third Deputy Prime Minister Alfonso NSUE MOKUY |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 7-year term (eligible for a second term); election last held on 29 November 2009 (next to be held in 2016); prime minister and deputy prime ministers appointed by the president |
| Executive branch: | election results: Teodoro Obiang NGUEMA MBASOGO reelected president; percent of vote - Teodoro Obiang NGUEMA MBASOGO (PDGE) 95.8%, Placido MICO Abogo (CPDS) 3.6%, other 0.6% |
| Legislative branch: | description: bicameral National Assembly or Asemblea Nacional, formerly the unicameral Parliament, consists of the Senate or Senado (70 seats; 55 members directly elected by simple majority vote and 15 appointed by the president) and the House of People's Representatives or Camara de Representantes del Pueblo (100 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms); note - the constitutional referendum of 2011 established the Senate and was implemented at the time of the May 2013 elections |
| Legislative branch: | elections: last held on 26 May 2013 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PDGE 54, CPDS 1; Chamber of Deputies - percent of vote by party - NA; seats by party - PDGE 99, CPDS 1 |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of the chief justice - who is also chief of state - and 9 judges); Constitutional Court (consists of the court president and 4 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president for 5-year terms; Constitutional Court members appointed by the president, 2 of which are nominated by the Chamber of Deputies |
| Judicial branch: | subordinate courts: Court of Guarantees; military courts; Courts of Appeal; first instance tribunals; district and county tribunals |
| Political parties and leaders: | Convergence Party for Social Democracy or CPDS [Andres ESONO ONDO] |
| Political parties and leaders: | Democratic Party for Equatorial Guinea or PDGE [Jeronimo OSA OSA ECORO] (ruling party) |
| Political parties and leaders: | Electoral Coalition or EC |
| Political parties and leaders: | Popular Action of Equatorial Guinea or APGE [Carmelo MBA BACALE] |
| Political parties and leaders: | Popular Union or UP [Daniel MARTINEZ AYECABA] |
| Political parties and leaders: | not officially registered parties: Democratic Republican Force or FDR [Guillermo NGUEMA ELA] |
| Political parties and leaders: | Independent Candidacy or CI [Gabriel NSE OBIANG OBONO] |
| Political parties and leaders: | Party for Progress of Equatorial Guinea or PPGE [Severo MOTO] |
| Political parties and leaders: | Union for the Center Right or UDC [Avelino MOCACHE MEAENGA] |
| Political parties and leaders: | note: in November 2014, the government hosted a National Dialogue process to engage with the political opposition; the opposition particiapated with limited attendance and engagement; on March 18, 2015, the CPDS, FDR, and UP formed a coalition called the Front of Democratic Opposition or FOD |
| Political pressure groups and leaders: | ASODEGUE (Madrid-based pressure group for democratic reform) |
| Political pressure groups and leaders: | Coalicion CEIBA (group formed by diverse, exiled political parties) |
| Political pressure groups and leaders: | C.O.R.E.D. (originally led by Raimundo Ela Nsang; based in Paris) |
| Political pressure groups and leaders: | EG Justice (US-based anti-corruption group) |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, CPLP (associate), FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IPU, ITSO, ITU, MIGA, NAM, OAS (observer), OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WHO, WIPO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Miguel Ntutumu EVUNA ANDEME (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 2020 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 518-5700 |
| Diplomatic representation in the US: | FAX: [1] (202) 518-5252 |
| Diplomatic representation in the US: | consul general(s): Houston |
| Diplomatic representation from the US: | chief of mission: Ambassador Mark L. ASQUINO (since 4 October 2012) |
| Diplomatic representation from the US: | embassy: Carretera Malabo II, Malabo, Guinea Ecuatorial |
| Diplomatic representation from the US: | mailing address: US Embassy Malabo, US Department of State, Washington, DC 20521-2520 |
| Diplomatic representation from the US: | telephone: [240] 333 09 57 41 |
| Flag description: | three equal horizontal bands of green (top), white, and red, with a blue isosceles triangle based on the hoist side and the coat of arms centered in the white band; the coat of arms has six yellow six-pointed stars (representing the mainland and five offshore islands) above a gray shield bearing a silk-cotton tree and below which is a scroll with the motto UNIDAD, PAZ, JUSTICIA (Unity, Peace, Justice); green symbolizes the jungle and natural resources, blue represents the sea that connects the mainland to the islands, white stands for peace, and red recalls the fight for independence |
| National symbol(s): | silk cotton tree; national colors: green, white, red, blue |
| National anthem: | name: "Caminemos pisando la senda" (Let Us Tread the Path) |
| National anthem: | lyrics/music: Atanasio Ndongo MIYONO/Atanasio Ndongo MIYONO or Ramiro Sanchez LOPEZ (disputed) |
| National anthem: | note: adopted 1968 |
