| Government | Equatorial Guinea |
| --- | --- |
| Country name: | conventional long form: Republic of Equatorial Guinea |
| Country name: | conventional short form: Equatorial Guinea |
| Country name: | local long form: Republica de Guinea Ecuatorial/Republique de Guinee equatoriale |
| Country name: | local short form: Guinea Ecuatorial/Guinee equatoriale |
| Country name: | former: Spanish Guinea |
| Government type: | republic |
| Capital: | name: Malabo |
| Capital: | geographic coordinates: 3 45 N, 8 47 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces (provincias, singular - provincia); Annobon, Bioko Norte, Bioko Sur, Centro Sur, Kie-Ntem, Litoral, Wele-Nzas |
| Independence: | 12 October 1968 (from Spain) |
| National holiday: | Independence Day, 12 October (1968) |
| Constitution: | approved by referendum 17 November 1991; amended several times, last in 2012 (2012) |
| Legal system: | mixed system of civil and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Brig. Gen. (Ret.) Teodoro OBIANG Nguema Mbasogo (since 3 August 1979 when he seized power in a military coup) |
| Executive branch: | head of government: Prime Minister Vicente Ehate TOMI (since 22 May 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a seven-year term (two term limits); election last held on 29 November 2009 (next to be held in 2015); prime minister and deputy prime ministers appointed by the president; note - according to the constitutional referendum on November 2011, elections are to be held in 2015 and the presidency is limited to two terms |
| Executive branch: | election results: Teodoro OBIANG Nguema Mbasogo reelected president; percent of vote - Teodoro OBIANG Nguema Mbasogo 95.8%, Placido Mico ABOGO 3.6%, other 0.6% |
| Legislative branch: | bicameral Parliament consists of the Senate (70 seats; 55 seats directly elected and 15 appointed by the president) and the House of People's Representatives or Camara de Representantes del Pueblo (100 seats; members directly elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 26 May 2013 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PDGE 54, CPDS 1; House of People's Representatives - percent of vote by party - NA; seats by party - PDGE 99, CPDS 1 |
| Legislative branch: | note: note - Parliament has little power since the constitution vests all executive authority in the president; the constitutional referendum of 2011 established a bicameral legislature formed following the May 2013 elections; the newly formed Senate consists of elected and appointed (by the President) members |
| Judicial branch: | highest court(s): Supreme Court of Justice (consists of the chief justice and NA judges); Constitutional Court (consists of the court president and 4 members) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the president for 5-year terms; Constitutional Court members appointed by the president |
| Judicial branch: | subordinate courts: Court of Guarantees; military courts; Courts of Appeal; first instance tribunals; district and county tribunals |
| Political parties and leaders: | Convergence Party for Social Democracy or CPDS [Placido MICO Abogo] |
| Political parties and leaders: | Democratic Party for Equatorial Guinea or PDGE [Teodoro OBIANG Nguema Mbasogo] (ruling party) |
| Political parties and leaders: | Electoral Coalition or EC |
| Political parties and leaders: | Party for Progress of Equatorial Guinea or PPGE [Severo MOTO] |
| Political parties and leaders: | Popular Action of Equatorial Guinea or APGE [Avelino MOCACHE] |
| Political parties and leaders: | Popular Union or UP [Daniel MARTINEZ Ayecaba] |
| Political pressure groups and leaders: | ASODEGUE (Madrid-based pressure group for democratic reform) |
| Political pressure groups and leaders: | EG Justice (US-based anti-corruption group) |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, CPLP (associate), FAO, FZ, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IPU, ITSO, ITU, MIGA, NAM, OAS (observer), OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WHO, WIPO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ruben Maye Nsue MANGUE (since 10 September 2013) |
| Diplomatic representation in the US: | chancery: 2020 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 518-5700 |
| Diplomatic representation in the US: | FAX: [1] (202) 518-5252 |
| Diplomatic representation in the US: | consul general(s): Houston |
| Diplomatic representation from the US: | chief of mission: Ambassador Mark L. ASQUINO (since 29 June 2012) |
| Diplomatic representation from the US: | embassy: K-3, Carretera de Aeropuerto, Al lado de Restaurante El Paraiso, Malabo |
| Diplomatic representation from the US: | mailing address: B.P. 817, Yaounde, Cameroon; US Embassy Yaounde, US Department of State, Washington, DC 20521-2520 |
| Diplomatic representation from the US: | telephone: [240] 333 09 88 95 |
| Flag description: | three equal horizontal bands of green (top), white, and red, with a blue isosceles triangle based on the hoist side and the coat of arms centered in the white band; the coat of arms has six yellow six-pointed stars (representing the mainland and five offshore islands) above a gray shield bearing a silk-cotton tree and below which is a scroll with the motto UNIDAD, PAZ, JUSTICIA (Unity, Peace, Justice); green symbolizes the jungle and natural resources, blue represents the sea that connects the mainland to the islands, white stands for peace, and red recalls the fight for independence |
| National symbol(s): | silk cotton tree |
| National anthem: | name: "Caminemos pisando la senda" (Let Us Tread the Path) |
| National anthem: | lyrics/music: Atanasio Ndongo MIYONO/Atanasio Ndongo MIYONO or Ramiro Sanchez LOPEZ (disputed) |
| National anthem: | note: adopted 1968 |
