| Government | Germany |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Germany |
| Country name: | conventional short form: Germany |
| Country name: | local long form: Bundesrepublik Deutschland |
| Country name: | local short form: Deutschland |
| Country name: | former: German Empire, German Republic, German Reich |
| Government type: | federal republic |
| Capital: | name: Berlin |
| Capital: | geographic coordinates: 52 31 N, 13 24 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 16 states (Laender, singular - Land); Baden-Wuerttemberg, Bayern (Bavaria), Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern (Mecklenburg-Western Pomerania), Niedersachsen (Lower Saxony), Nordrhein-Westfalen (North Rhine-Westphalia), Rheinland-Pfalz (Rhineland-Palatinate), Saarland, Sachsen (Saxony), Sachsen-Anhalt (Saxony-Anhalt), Schleswig-Holstein, Thueringen (Thuringia); note - Bayern, Sachsen, and Thueringen refer to themselves as free states (Freistaaten, singular - Freistaat) |
| Independence: | 18 January 1871 (German Empire unification); divided into four zones of occupation (UK, US, USSR, and later, France) in 1945 following World War II; Federal Republic of Germany (FRG or West Germany) proclaimed 23 May 1949 and included the former UK, US, and French zones; German Democratic Republic (GDR or East Germany) proclaimed 7 October 1949 and included the former USSR zone; unification of West Germany and East Germany took place 3 October 1990; all four powers formally relinquished rights 15 March 1991 |
| National holiday: | Unity Day, 3 October (1990) |
| Constitution: | 23 May 1949, known as Basic Law; became constitution of the united Germany 3 October 1990 |
| Legal system: | civil law system with indigenous concepts; judicial review of legislative acts in the Federal Constitutional Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Horst KOEHLER (since 1 July 2004) |
| Executive branch: | head of government: Chancellor Angela MERKEL (since 22 November 2005) |
| Executive branch: | cabinet: Cabinet or Bundesminister (Federal Ministers) appointed by the president on the recommendation of the chancellor |
