| Government | Mozambique |
| --- | --- |
| Country name: | conventional long form: Republic of Mozambique |
| Country name: | conventional short form: Mozambique |
| Country name: | local long form: Republica de Mocambique |
| Country name: | local short form: Mocambique |
| Country name: | former: Portuguese East Africa |
| Government type: | republic |
| Capital: | name: Maputo |
| Capital: | geographic coordinates: 25 57 S, 32 35 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 provinces (provincias, singular - provincia), 1 city (cidade)*; Cabo Delgado, Gaza, Inhambane, Manica, Maputo, Cidade de Maputo*, Nampula, Niassa, Sofala, Tete, Zambezia |
| Independence: | 25 June 1975 (from Portugal) |
| National holiday: | Independence Day, 25 June (1975) |
| Constitution: | 30 November 1990 |
| Legal system: | based on Portuguese civil law system and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Armando GUEBUZA (since 2 February 2005) |
| Executive branch: | head of government: Prime Minister Aires Bonifacio ALI (since 16 January 2010) |
| Executive branch: | cabinet: Cabinet |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 28 October 2009 (next to be held in 2014); prime minister appointed by the president |
| Executive branch: | election results: Armando GUEBUZA reelected president; percent of vote - Armando GUEBUZA 76.3%, Afonso DHLAKAMA 14.9%, Daviz SIMANGO 8.8% |
| Legislative branch: | unicameral Assembly of the Republic or Assembleia da Republica (250 seats; members directly elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 28 October 2009 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - FRELIMO 74.7%, RENAMO 17.7%, MDM 3.9%, other 3.7%; seats by party - FRELIMO 191, RENAMO 51, MDM 8 |
| Judicial branch: | Supreme Court (the court of final appeal; some of its professional judges are appointed by the president, and some are elected by the Assembly); other courts include an Administrative Court, Constitutional Court, customs courts, maritime courts, courts marshal, labor courts |
| Political parties and leaders: | Democratic Movement of Mozambique (Movimento Democratico de Mocambique) or MDM [Daviz SIMANGO]; Front for the Liberation of Mozambique (Frente de Liberatacao de Mocambique) or FRELIMO [Armando Emilio GUEBUZA]; Mozambique National Resistance (Resistencia Nacional Mocambicana) or RENAMO [Afonso DHLAKAMA] |
| Political pressure groups and leaders: | Mozambican League of Human Rights (Liga Mocambicana dos Direitos Humanos) or LDH [Alice MABOTE, president] |
| International organization participation: | ACP, AfDB, AU, C, CPLP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, MONUSCO, NAM, OIC, OIF (observer), OPCW, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Amelia Matos SUMBANA |
| Diplomatic representation in the US: | chancery: 1525 New Hampshire Avenue, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 293-7146 |
| Diplomatic representation in the US: | FAX: [1] (202) 835-0245 |
| Diplomatic representation from the US: | chief of mission: Ambassador Leslie V. ROWE |
| Diplomatic representation from the US: | embassy: Avenida Kenneth Kuanda 193, Maputo |
| Diplomatic representation from the US: | mailing address: P. O. Box 783, Maputo |
| Diplomatic representation from the US: | telephone: [258] (21) 492797 |
| Diplomatic representation from the US: | FAX: [258] (21) 490114 |
| Flag description: | three equal horizontal bands of green (top), black, and yellow with a red isosceles triangle based on the hoist side; the black band is edged in white; centered in the triangle is a yellow five-pointed star bearing a crossed rifle and hoe in black superimposed on an open white book; green represents the riches of the land, white peace, black the African continent, yellow the country's minerals, and red the struggle for independence; the rifle symbolizes defense and vigilance, the hoe refers to the country's agriculture, the open book stresses the importance of education, and the star represents Marxism and internationalism |
| National anthem: | name: "Patria Amada" (Lovely Fatherland) |
| National anthem: | lyrics/music: Salomao J. MANHICA/unknown |
| National anthem: | note: adopted 2002 |
