| Government | Colombia |
| --- | --- |
| Country name: | conventional long form: Republic of Colombia |
| Country name: | conventional short form: Colombia |
| Country name: | local long form: Republica de Colombia |
| Country name: | local short form: Colombia |
| Government type: | republic; executive branch dominates government structure |
| Capital: | name: Bogota |
| Capital: | geographic coordinates: 4 36 N, 74 05 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Administrative divisions: | 32 departments (departamentos, singular - departamento) and 1 capital district* (distrito capital); Amazonas, Antioquia, Arauca, Atlantico, Bogota*, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cordoba, Cundinamarca, Guainia, Guaviare, Huila, La Guajira, Magdalena, Meta, Narino, Norte de Santander, Putumayo, Quindio, Risaralda, San Andres y Providencia, Santander, Sucre, Tolima, Valle del Cauca, Vaupes, Vichada |
| Independence: | 20 July 1810 (from Spain) |
| National holiday: | Independence Day, 20 July (1810) |
| Constitution: | 5 July 1991 |
| Legal system: | based on Spanish law; a new criminal code modeled after US procedures was enacted into law in 2004 and is gradually being implemented; judicial review of executive and legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alvaro URIBE Velez (since 7 August 2002); Vice President Francisco SANTOS (since 7 August 2002); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Alvaro URIBE Velez (since 7 August 2002); Vice President Francisco SANTOS (since 7 August 2002) |
| Executive branch: | cabinet: Cabinet consists of a coalition of the two dominant parties - the PL and PSC - and independents |
| Executive branch: | elections: president and vice president elected by popular vote for a four-year term (eligible for a second term); election last held 28 May 2006 (next to be held in May 2010) |
| Executive branch: | election results: President Alvaro URIBE Velez reelected president; percent of vote - Alvaro URIBE Velez 62%, Carlos GAVIRIA Diaz 22%, Horacio SERPA Uribe 12%, other 4% |
| Legislative branch: | bicameral Congress or Congreso consists of the Senate or Senado (102 seats; members are elected by popular vote to serve four-year terms) and the House of Representatives or Camara de Representantes (166 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 12 March 2006 (next to be held in March 2010); House of Representatives - last held 12 March 2006 (next to be held in March 2010) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PSUN 20, PC 18, PL 17, CR 15, PDI 11, other parties 21; House of Representatives - percent of vote by party - NA; seats by party - PL 36, PSUN 30, PC 29, CR 20, PDA 42, other parties 42 |
| Judicial branch: | four roughly coequal, supreme judicial organs; Supreme Court of Justice or Corte Suprema de Justicia (highest court of criminal law; judges are selected by their peers from the nominees of the Superior Judicial Council for eight-year terms); Council of State (highest court of administrative law; judges are selected from the nominees of the Superior Judicial Council for eight-year terms); Constitutional Court (guards integrity and supremacy of the constitution; rules on constitutionality of laws, amendments to the constitution, and international treaties); Superior Judicial Council (administers and disciplines the civilian judiciary; resolves jurisdictional conflicts arising between other courts; members are elected by three sister courts and Congress for eight-year terms) |
| Political parties and leaders: | Clandestine Communist Party of Colombia or PCC [Jaime CAICEDO]; Colombian Conservative Party or PC [Carlos HOLGUIN Sardi]; Alternative Democratic Pole or PDA [Samuel MORENO Rojas]; Liberal Party or PL [Cesar GAVIRIA]; Social National Unity Party or PSUN [Juan Manuel SANTOS] |
| Political parties and leaders: | note: Colombia has about 60 formally recognized political parties, most of which do not have a presence in either house of Congress |
| Political pressure groups and leaders: | two largest insurgent groups active in Colombia - Revolutionary Armed Forces of Colombia or FARC and National Liberation Army or ELN; largest illegal paramilitary group, a roughly organized umbrella group of disparate paramilitary forces, is United Self-Defense Groups of Colombia or AUC |
| International organization participation: | BCIE, CAN, CDB, CSN, FAO, G-3, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, LAES, LAIA, Mercosur (associate), MIGA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Carolina BARCO Isakson |
| Diplomatic representation in the US: | chancery: 2118 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-8338 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-8643 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New York, San Francisco, San Juan (Puerto Rico), Washington, DC |
| Diplomatic representation from the US: | chief of mission: Ambassador William B. WOOD |
| Diplomatic representation from the US: | embassy: Calle 22D-BIS, numbers 47-51, Apartado Aereo 3831 |
| Diplomatic representation from the US: | mailing address: Carrera 45 #22D-45, Bogota, D.C., APO AA 34038 |
| Diplomatic representation from the US: | telephone: [57] (1) 315-0811 |
| Diplomatic representation from the US: | FAX: [57] (1) 315-2197 |
| Flag description: | three horizontal bands of yellow (top, double-width), blue, and red; similar to the flag of Ecuador, which is longer and bears the Ecuadorian coat of arms superimposed in the center |
