| Government | Malaysia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Malaysia |
| Country name: | local long form: none |
| Country name: | local short form: Malaysia |
| Country name: | former: Federation of Malaysia |
| Government type: | constitutional monarchy |
| Government type: | note: nominally headed by paramount ruler and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; all Peninsular Malaysian states have hereditary rulers except Melaka and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls); Sabah holds 25 seats in House of Representatives; Sarawak holds 28 seats in House of Representatives |
| Capital: | name: Kuala Lumpur |
| Capital: | geographic coordinates: 3 10 N, 101 42 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Putrajaya is referred to as administrative center not capital; Parliament meets in Kuala Lumpur |
| Administrative divisions: | 13 states (negeri-negeri, singular - negeri) Johor, Kedah, Kelantan, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Sabah, Sarawak, Selangor, and Terengganu; and one federal territory (wilayah persekutuan) with three components, city of Kuala Lumpur, Labuan, and Putrajaya |
| Independence: | 31 August 1957 (from UK) |
| National holiday: | Independence Day/Malaysia Day, 31 August (1957) |
| Constitution: | 31 August 1957; amended 16 September 1963 |
| Legal system: | based on English common law; judicial review of legislative acts in the Supreme Court at request of supreme head of the federation; has not accepted compulsory ICJ jurisdiction; Islamic law is applied to Muslims in matters of family law |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: Paramount Ruler Sultan MIZAN Zainal Abidin (since 13 December 2006) |
| Executive branch: | head of government: Prime Minister ABDULLAH bin Ahmad Badawi (since 31 October 2003); Deputy Prime Minister Mohamed NAJIB bin Abdul Razak (since 7 January 2004) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among the members of Parliament with consent of the paramount ruler |
| Executive branch: | elections: paramount ruler elected by and from the hereditary rulers of nine of the states for five-year terms; election last held 3 November 2006 (next to be held in 2011); prime minister designated from among the members of the House of Representatives; following legislative elections, the leader of the party that wins a plurality of seats in the House of Representatives becomes prime minister |
| Executive branch: | election results: Sultan MIZAN Zainal Abidin elected paramount ruler |
| Legislative branch: | bicameral Parliament or Parlimen consists of the Senate or Dewan Negara (70 seats; 44 appointed by the paramount ruler, 26 appointed by the state legislatures) and the House of Representatives or Dewan Rakyat (219 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: House of Representatives - last held 21 March 2004 (next must be held by 2009) |
| Legislative branch: | election results: House of Representatives - percent of vote by party - BN 91%, DAP 5%, PAS 3%, other 1%; seats by party - BN 199, DAP 12, PAS 6, PKR 1, independent 1 |
| Judicial branch: | Federal Court (judges appointed by the paramount ruler on the advice of the prime minister) |
| Political parties and leaders: | ruling-coalition National Front (Barisan Nasional) or BN, consisting of the following parties: Gerakan Rakyat Malaysia Party or PGRM [LIM Keng Yaik]; Liberal Democratic Party (Parti Liberal Demokratik - Sabah) or LDP [LIEW Vui Keong]; Malaysian Chinese Association (Persatuan China Malaysia) or MCA [ONG Ka Ting]; Malaysian Indian Congress (Kongresi India Malaysia) or MIC [S. Samy VELLU]; Parti Bersatu Pakyat Sabah or PBRS [Joseph KURUP]; Parti Bersatu Sabah or PBS [Joseph PAIRIN Kitingan]; Parti Pesaka Bumiputra Bersatu or PBB [Patinggi Haji Abdul TAIB Mahmud]; Parti Rakyat Sarawak or PRS [James MASING]; Sabah Progressive Party (Parti Progresif Sabah) or SAPP [YONG Teck Lee]; Sarawak United People's Party (Parti Bersatu Rakyat Sarawak) or SUPP [George CHAN Hong Nam]; United Malays National Organization or UMNO [ABDULLAH bin Ahmad Badawi]; United Pasokmomogun Kadazandusun Murut Organization (Pertubuhan Pasko Momogun Kadazan Dusun Bersatu) or UPKO [Bernard DOMPOK]; People's Progressive Party (Parti Progresif Penduduk Malaysia) or PPP [M.Keyveas]; Sarawak Progressive Democratic Party or SPDP [William MAWANI]; opposition parties: Democratic Action Party (Parti Tindakan Demokratik) or DAP [KARPAL Singh]; Islamic Party of Malaysia (Parti Islam se Malaysia) or PAS [Abdul HADI Awang]; People's Justice Party (Parti Keadilan Rakyat) or PKR [WAN AZIZAH Wan Ismael]; Sarawak National Party or SNAP [Edwin DUNDANG]; opposition coalition Alternative Front (Barisan Alternatif) or BA - consists of PAS and PKR |
| Political pressure groups and leaders: | NA |
