| Government | MALAYSIA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Malaysia |
| Country name: | local long form: none |
| Country name: | local short form: Malaysia |
| Country name: | former: Federation of Malaya |
| Country name: | etymology: the name means "Land of the Malays" |
| Government type: | federal constitutional monarchy |
| Government type: | note: nominally headed by paramount ruler (commonly referred to as the king) and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka (Malacca) and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls) |
| Capital: | name: Kuala Lumpur; note - nearby Putrajaya is referred to as a federal government administrative center but not the capital; Parliament meets in Kuala Lumpur |
| Capital: | geographic coordinates: 3 10 N, 101 42 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 13 states (negeri-negeri, singular - negeri); Johor, Kedah, Kelantan, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Sabah, Sarawak, Selangor, Terengganu; and 1 federal territory (Wilayah Persekutuan) with 3 components, Kuala Lumpur, Labuan, and Putrajaya |
| Independence: | 31 August 1957 (from the UK) |
| National holiday: | Independence Day 31 August (1957) (independence of Malaya); Malaysia Day 16 September (1963) (formation of Malaysia) |
| Constitution: | previous 1948; latest drafted 21 February 1957, effective 27 August 1957; amended many times, last in 2010 (2016) |
| Legal system: | mixed legal system of English common law, Islamic law, and customary law; judicial review of legislative acts in the Federal Court at request of supreme head of the federation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Malaysia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 out 12 years preceding application |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: King MUHAMMAD V (formerly known as Tuanku Muhammad Faris Petra) (selected on 14 October 2016; installed on 13 December 2016); the position of the king is primarily ceremonial but he is the final arbiter on the appointment of the prime minister |
| Executive branch: | head of government: Prime Minister Mohamed NAJIB bin Abdul Najib Razak (since 3 April 2009); Deputy Prime Minister Ahmad ZAHID Hamidi (since 29 July 2015) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among members of Parliament with the consent of the king |
| Executive branch: | elections/appointments: king elected by and from the hereditary rulers of 9 states for a 5-year term; election is on a rotational basis among rulers of the 9 states; election last held on 14 October 2016 (next to be held in 2021); prime minister designated from among members of the House of Representatives; following legislative elections, the leader who commands support of the majority of members in the House becomes prime minister |
| Executive branch: | election results: Mohamed NAJIB bin Abdul Najib Razak (UMNO) sworn in as prime minister for second term on 3 April 2009 |
| Legislative branch: | description: bicameral Parliament or Parlimen consists of the Senate or Dewan Negara (70 seats; 44 members appointed by the king and 26 indirectly elected by 13 state legislatures; members serve 3-year terms) and the House of Representatives or Dewan Rakyat (222 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: House of Representatives - last held on 5 May 2013 (next to be held by May 2018) |
| Legislative branch: | election results: House of Representatives - percent of vote by party/coalition - BN 47.4%, People's Alliance (DAP, PAS, PKR) 50.9%, other 1.7%; seats by party/coalition - BN 133, People's Alliance (DAP, PAS, PKR) 89 |
| Legislative branch: | note: seats by party/coalition as of October 2016 - BN 132, PH 72 (DAP 37, PKR 28, AMANAH 6, PPBM 1), PAS 14, WARISAN 2, PSM 1, independent 1 |
| Judicial branch: | highest court(s): Federal Court (consists of the chief justice, president of the Court of Appeal, chief justice of the High Court of Malaya, chief judge of the High Court of Sabah and Sarawak and 7 judges); note - Malaysia has a dual judicial hierarchy of civil and religious (sharia) courts |
| Judicial branch: | judge selection and term of office: Federal Court justices appointed by the monarch on advice of the prime minister; judges serve until mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Sessions Court; Magistrates' Court |
| Political parties and leaders: | National Front (Barisan Nasional) or BN:: |
| Political parties and leaders: | Gerakan Rakyat Malaysia Party or GERAKAN [MAH Siew Keong] |
| Political parties and leaders: | Liberal Democratic Party (Parti Liberal Demokratik - Sabah) or LDP [TEO Chee Kang] |
| Political parties and leaders: | Malaysian Chinese Association (Persatuan China Malaysia) or MCA [LIOW Tiong Lai] |
| Political parties and leaders: | Malaysian Indian Congress (Kongres India Malaysia) or MIC [S. SUBRAMANIAM] |
| Political parties and leaders: | Parti Bersatu Rakyat Sabah or PBRS [Joseph KURUP] |
| Political parties and leaders: | Parti Bersatu Sabah or PBS [Joseph PAIRIN Kitingan] |
| Political parties and leaders: | Parti Pesaka Bumiputera Bersatu or PBB [Adenan SATEM] |
