| Government | Malaysia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Malaysia |
| Country name: | local long form: none |
| Country name: | local short form: Malaysia |
| Country name: | former: Federation of Malaya |
| Government type: | constitutional monarchy |
| Government type: | note: nominally headed by paramount ruler (commonly referred to as the king) and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka (Malacca) and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls) |
| Capital: | name: Kuala Lumpur; note - Putrajaya is referred to as an administrative center not the capital; Parliament meets in Kuala Lumpur |
| Capital: | geographic coordinates: 3 10 N, 101 42 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 13 states (negeri-negeri, singular - negeri); Johor, Kedah, Kelantan, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Sabah, Sarawak, Selangor, Terengganu; and 1 federal territory (Wilayah Persekutuan) with 3 components, Kuala Lumpur, Labuan, and Putrajaya |
| Independence: | 31 August 1957 (from the UK) |
| National holiday: | Independence Day 31 August (1957) (independence of Malaya); Malaysia Day 16 September (1963) (formation of Malaysia) |
| Constitution: | previous 1948; latest drafted 21 February 1957, effective 27 August 1957; amended many times, last in 2007 (2010) |
| Legal system: | mixed legal system of English common law, Islamic law, and customary law; judicial review of legislative acts in the Supreme Court at request of supreme head of the federation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: King Tuanku ABDUL HALIM Mu'adzam Shah (selected on 13 December 2011; installed on 11 April 2012); the position of the king is primarily ceremonial |
| Executive branch: | head of government: Prime Minister Mohamed NAJIB bin Abdul Najib Razak (since 3 April 2009); Deputy Prime Minister MUHYIDDIN bin Mohamed Yassin (since 9 April 2009) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among the members of Parliament with consent of the king |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: kings are elected by and from the hereditary rulers of nine of the states for five-year terms; selection is based on the principle of rotation among rulers of states; elections were last held on 14 October 2011 (next to be held in 2016); prime ministers are designated from among the members of the House of Representatives; following legislative elections, the leader who commands the support of the majority of members in the House becomes prime minister (since independence this has been the leader of the UMNO party) |
| Executive branch: | election results: Tuanku ABDUL HALIM Mu'adzam Shah elected king by fellow hereditary rulers of nine states; Mohamed NAJIB bin Abdul Najib Razak was sworn in as prime minister the day after his National Front (BN) coalition won a majority of seats during the 5 May 2013 national election; NAJIB was re-elected uncontested as UMNO president on 19 October 2013 |
| Legislative branch: | bicameral Parliament or Parlimen consists of Senate or Dewan Negara (70 seats; 44 members appointed by the king, 26 elected by 13 state legislatures to serve three-year terms with a two term limit) and House of Representatives or Dewan Rakyat (222 seats; members elected in 222 constituencies in a first-pass-the-post system to serve up to five-year terms) |
| Legislative branch: | elections: House of Representatives - last held on 5 May 2013 (next to be held by May 2018) |
| Legislative branch: | election results: House of Representatives - percent of vote - BN coalition 47.4%, opposition parties 50.9%, others 1.7%; seats - BN coalition 133, opposition parties 89 |
| Judicial branch: | highest court(s): Federal Court (consists of the chief justice and 4 judges) |
| Judicial branch: | note - Malaysia has a dual judicial hierarchy of civil and religious (sharia) courts |
| Judicial branch: | judge selection and term of office: Federal Court justices appointed by the monarch on advice of the prime minister; judges serve till age 65 |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Sessions Court; Magistrates' Court |
| Political parties and leaders: | National Front (Barisan Nasional) or BN (ruling coalition) consists of the following parties: |
| Political parties and leaders: | Gerakan Rakyat Malaysia Party or GERAKAN [KOH Tsu Koon] |
| Political parties and leaders: | Liberal Democratic Party (Parti Liberal Demokratik - Sabah) or LDP [LIEW Vui Keong] |
| Political parties and leaders: | Malaysian Chinese Association (Persatuan China Malaysia) or MCA [CHUA Soi Lek] |
| Political parties and leaders: | Malaysian Indian Congress (Kongres India Malaysia) or MIC [Govindasamy PALANIVEL] |
| Political parties and leaders: | Parti Bersatu Rakyat Sabah or PBRS [Joseph KURUP] |
| Political parties and leaders: | Parti Bersatu Sabah or PBS [Joseph PAIRIN Kitingan] |
| Political parties and leaders: | Parti Pesaka Bumiputera Bersatu or PBB [Abdul TAIB Mahmud] |
| Political parties and leaders: | Parti Rakyat Sarawak or PRS [James MASING] |
| Political parties and leaders: | Sarawak Progressive Democratic Party or SPDP [Tan Sri William MAKAN Ikom] |
| Political parties and leaders: | Sarawak United People's Party (Parti Bersatu Rakyat Sarawak) or SUPP [Peter CHIN Fah Kui] |
| Political parties and leaders: | United Malays National Organization or UMNO [NAJIB bin Abdul Razak] |
