| Government | Malaysia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Malaysia |
| Country name: | former: Federation of Malaysia |
| Government type: | constitutional monarchy |
| Government type: | note: Malaya (what is now Peninsular Malaysia) formed 31 August 1957; Federation of Malaysia (Malaya, Sabah, Sarawak, and Singapore) formed 9 July 1963 (Singapore left the federation on 9 August 1965); nominally headed by the paramount ruler and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; Peninsular Malaysian states - hereditary rulers in all but Melaka, George Town (Penang), Sabah, and Sarawak, where governors are appointed by the Malaysian Government; powers of state governments are limited by the federal constitution; under terms of the federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., the right to maintain their own immigration controls); Sabah - holds 20 seats in House of Representatives, with foreign affairs, defense, internal security, and other powers delegated to federal government; Sarawak - holds 28 seats in House of Representatives, with foreign affairs, defense, internal security, and other powers delegated to federal government |
| Capital: | Kuala Lumpur |
| Administrative divisions: | 13 states (negeri-negeri, singular - negeri) and 3 federal territories* (wilayah-wilayah persekutuan, singular - wilayah persekutuan); Johor, Kedah, Kelantan, Labuan*, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Putrajaya*, Sabah, Sarawak, Selangor, Terengganu, Wilayah Persekutuan* |
| Administrative divisions: | note: the city of Kuala Lumpur is within the federal territory of Wilayah Persekutuan; the terms therefore are not interchangeable; |
| Independence: | 31 August 1957 (from UK) |
| National holiday: | Independence Day/Malaysia Day, 31 August (1957) |
| Constitution: | 31 August 1957, amended 16 September 1963 |
| Legal system: | based on English common law; judicial review of legislative acts in the Supreme Court at request of supreme head of the federation; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: Paramount Ruler Tuanku SYED SIRAJUDDIN ibni Almarhum Tuanku Syed Putra Jamalullail, the Raja of Perlis (since 12 December 2001) |
| Executive branch: | head of government: Prime Minister ABDULLAH bin Ahmad Badawi (since 31 October 2003); Deputy Prime Minister NA (since 31 October 2003) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among the members of Parliament with consent of the paramount ruler |
| Executive branch: | election results: Tuanku SYED SIRAJUDDIN ibni Almarhum Tuanku Syed Putra Jamalullail elected paramount ruler |
| Executive branch: | elections: paramount ruler elected by and from the hereditary rulers of nine of the states for five-year terms; election last held 12 December 2001 (next to be held NA 2006); prime minister designated from among the members of the House of Representatives; following legislative elections, the leader of the party that wins a plurality of seats in the House of Representatives becomes prime minister |
| Legislative branch: | bicameral Parliament or Parlimen consists of the Senate or Dewan Negara (69 seats; 43 appointed by the paramount ruler, 26 appointed by the state legislatures) and the House of Representatives or Dewan Rakyat (193 seats; members elected by popular vote weighted toward the rural Malay population to serve five-year terms) |
| Legislative branch: | election results: House of Representatives - percent of vote by party - BN 56%, other 44%; seats by party - BN 148, PAS 27, DAP 10, Keadilan 5, PBS 3 |
| Legislative branch: | elections: House of Representatives - last held 29 November 1999 (next must be held by November 2004) |
| Judicial branch: | Federal Court (judges appointed by the paramount ruler on the advice of the prime minister) |
| Political parties and leaders: | ruling coalition parties: Gerakan Rakyat Malaysia Party or PGRM [LIM Kheng Yaik]; Liberal Democratic Party (Parti Liberal Demokratik - Sabah) or LDP [CHONG Kah Kiat]; Malaysian Chinese Association (Persatuan China Malaysia) or MCA [LING Ong Ka Ting]; Malaysian Indian Congress (Kongresi India Malaysia) or MIC [S. Samy VELLU]; Parti Bangsa Dayak Sarawak or PBDS [Leo MOGGIE]; Parti Bersatu Sabah or PBS [Joseph PAIRIN Kitingan]; Parti Pesaka Bumiputra Bersatu or PBB [Patinggi Haji Abdul TAIB Mahmud]; Sabah Progressive Party (Parti Progresif Sabah) or SAPP [YONG Teck Lee]; Sarawak United People's Party (Parti Bersatu Rakyat Sarawak) or SUPP [WONG Soon Kah]; United Malays National Organization or UMNO [ABDULLAH Ahmad Badawi]; United Pasokmomogun Kadazandusun Murut Organization (Pertubuhan Pasko Momogun Kadazan Dusun Bersatu) or UPKO [leader NA]; opposition parties: Democratic Action Party (Parti Tindakan Demokratik) or DAP [KERK Kim Hock]; Islamic Party of Malaysia (Parti Islam se Malaysia) or PAS [Abdul HADI Awang]; National Justice Party (Parti Keadilan Nasional) or Keadilan [WAN AZIZAH Wan Ismael]; National Front (Barisan Nasional) or BN (the ruling coalition dominated by the UMNO and includes MCA, MIC, PGRM, PBDS, SUPP, PBB, PBS, LDP, SAPP, UPKO) [ABDULLAH Ahmad Badawi] |
| Political pressure groups and leaders: | NA |
