| Government | Malaysia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Malaysia |
| Country name: | former: Federation of Malaysia |
| Government type: | constitutional monarchy |
| Government type: | note: Malaya (what is now Peninsular Malaysia) formed 31 August 1957; Federation of Malaysia (Malaya, Sabah, Sarawak, and Singapore) formed 9 July 1963 (Singapore left the federation on 9 August 1965); nominally headed by the paramount ruler and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; Peninsular Malaysian states - hereditary rulers in all but Melaka, Penang, Sabah, and Sarawak, where governors are appointed by the Malaysian Government; powers of state governments are limited by the federal constitution; under terms of the federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., the right to maintain their own immigration controls); Sabah - holds 20 seats in House of Representatives, with foreign affairs, defense, internal security, and other powers delegated to federal government; Sarawak - holds 28 seats in House of Representatives, with foreign affairs, defense, internal security, and other powers delegated to federal government |
| Capital: | Kuala Lumpur |
| Administrative divisions: | 13 states (negeri-negeri, singular - negeri) and 2 federal territories* (wilayah-wilayah persekutuan, singular - wilayah persekutuan); Johor, Kedah, Kelantan, Labuan*, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Sabah, Sarawak, Selangor, Terengganu, Wilayah Persekutuan* |
| Administrative divisions: | note: the city of Kuala Lumpur is located within the federal territory of Wilayah Persekutuan; the terms therefore are not interchangeable; there is a new federal territory named Putrajaya, but this change has not yet been approved by the US Board on Geographic Names (BGN) |
| Independence: | 31 August 1957 (from UK) |
| National holiday: | Independence Day/Malaysia Day, 31 August (1957) |
| Constitution: | 31 August 1957, amended 16 September 1963 |
| Legal system: | based on English common law; judicial review of legislative acts in the Supreme Court at request of supreme head of the federation; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: Paramount Ruler Tuanku SYED SIRAJUDDIN ibni Almarhum Tuanku Syed Putra Jamalullail, the Raja of Perlis (since 12 December 2001); replaced Paramount Ruler Sultan TUNKU SALAHUDDIN Abdul Aziz Shah Ibni Al-Marhum Sultan Hissammuddin Alam Shah who died in office 21 November 2001 |
| Executive branch: | head of government: Prime Minister MAHATHIR bin Mohamad (since 16 July 1981); Deputy Prime Minister ABDULLAH bin Ahmad Badawi (since 8 January 1999) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among the members of Parliament with consent of the paramount ruler |
| Executive branch: | election results: Tuanku SYED SIRAJUDDIN ibni Almarhum Tuanku Syed Putra Jamalullail elected paramount ruler following the death of TUNKU SALAHUDDIN Abdul Aziz Shah Ibni Al-Marhum Sultan Hisammuddin Alam Shah |
| Executive branch: | elections: paramount ruler elected by and from the hereditary rulers of nine of the states for five-year terms; election last held 12 December 2001 (next to be held NA 2006); prime minister designated from among the members of the House of Representatives; following legislative elections, the leader of the party that wins a plurality of seats in the House of Representatives becomes prime minister |
| Legislative branch: | bicameral Parliament or Parlimen consists of the Senate or Dewan Negara (69 seats; 43 appointed by the paramount ruler, 26 appointed by the state legislatures) and the House of Representatives or Dewan Rakyat (193 seats; members elected by popular vote weighted toward the rural Malay population to serve five-year terms) |
| Legislative branch: | election results: House of Representatives - percent of vote by party - NF 56%, other 44%; seats by party - NF 148, PAS 27, DAP 10, NJP 5, PBS 3 |
| Legislative branch: | elections: House of Representatives - last held 29 November 1999 (next must be held by 20 December 2004) |
| Judicial branch: | Federal Court (judges appointed by the paramount ruler on the advice of the prime minister) |
| Political parties and leaders: | Alternative Coalition or Barisan Alternatif-BA (includes the following parties: Party Islam Se-Malaysia or PAS [FADZIL Mohamad Noor], National Justice Party or NJP [WAN AZIZAH Wan Ismail], and Malaysian People's Party or PRM [SYED HUSIN]); National Front or NF (ruling coalition dominated by the United Malays National Organization or UMNO [MAHATHIR bin Mohamad], includes the following parties: Malaysian Indian Congress or MIC [S. Samy VELLU], Malaysian Chinese Association or MCA [LING Liong Sik], Gerakan Rakyat Malaysia or Gerakan [LIM Keng Yaik], Parti Pesaka Bumiputra Bersatu or PBB [Patinggi Haji Abdul TAIB Mahmud], Parti Angkatan Keadilan Rakyat Bersatu or Akar [PANDIKAR Amin Mulia], Parti Bangsa Dayak Sarawak or PBDS [Leo MOGGIE], Parti Bersatu Sabah or PBS [Joseph PAIRIN Kitingan], Sabah United People's Party or SUPP [Jeffrey KITINGAN], Liberal Democratic Party or LDP [CHONG Kah Kiat], Sabah Progressive Party or SAPP [YONG Teck Lee], People's Progressive Party or PPP [M. KAYVEAS], Parti Bersatu Rakyat Sabah or PBRS [Joseph KURUP], Sarawak National Party or SNAP [Amar James WONG], Parti Demokratik Sabah or PDS [leader NA], and United Pasok Momogun Kadazan Organization or UPKO (state level only) [Bernard DOMPOK]); Parti Bersekutu [HARRIS Salleh]; State Reform Party of Sarawak or STAR [PATAU Rubis]; Democratic Action Party or DAP [LIM Kit Siang] |
| Political pressure groups and leaders: | NA |
