| Government | HAITI |
| --- | --- |
| Country name: | conventional long form: Republic of Haiti |
| Country name: | conventional short form: Haiti |
| Country name: | local long form: Republique d'Haiti/Repiblik d Ayiti |
| Country name: | local short form: Haiti/Ayiti |
| Government type: | republic |
| Capital: | name: Port-au-Prince |
| Capital: | geographic coordinates: 18 32 N, 72 20 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | 10 departments (departements, singular - departement); Artibonite, Centre, Grand'Anse, Nippes, Nord, Nord-Est, Nord-Ouest, Ouest, Sud, Sud-Est |
| Independence: | 1 January 1804 (from France) |
| National holiday: | Independence Day, 1 January (1804) |
| Constitution: | many previous (23 total); latest adopted 10 March 1987; amended 2012 (2015) |
| Legal system: | civil law system strongly influenced by Napoleonic Code |
| International law organization participation: | accepts compulsory ICJ jurisdiction; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a native-born citizen of Haiti |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Michel MARTELLY (since 14 May 2011) |
| Executive branch: | head of government: Prime Minister Evans PAUL (since 16 January 2015) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a single non-consecutive term); election last held on 25 November 2015 with a runoff on 27 December 2015 (next tentatively scheduled for late 2020); prime minister chosen by the president from among members of the majority party in the National Assembly |
| Executive branch: | election results: 2010 election - Michel MARTELLY elected president in runoff; percent of vote - Michel MARTELLY (Peasant's Response) 68%, Mirlande MANIGAT (RDNP) 32%; 2015 election - results are pending |
| Legislative branch: | description: bicameral legislature or "le Corps Legislatif ou parlement" consists of le Senat or Senate (30 seats; members directly elected in multi-seat constituencies by absolute majority vote in two rounds if needed; members serve 6-year terms with one-third of the membership renewed every 2 years) and la Chambre de deputes or Chamber of Deputies (118 seats; members directly elected in single-seat constituencies by absolute majority vote in two rounds if needed; members serve 4-year terms); note - when the two chambers meet collectively it is known as L'Assemblee Nationale or the National Assembly that is convened for specific purposes spelled out in the constitution |
| Legislative branch: | elections: Senate - last held on 9 August 2015 with run-off election on 25 October 2015 (next possible election in 2017); Chamber of Deputies - last held on 9 August 2015 with run-off election on 25 October 2015 (next regular election may be held in 2017) |
| Legislative branch: | election results: 2015 Senate - percent of vote by party - NA; seats by party - NA; 2015 Chamber of Deputies - percent of vote by party - NA; seats by party - NA; note - official results pending |
| Judicial branch: | highest court(s): Supreme Court or Cour de Cassation (consists of a chief judge and other judges); note - Haiti is a member of the Caribbean Court of Justice |
| Judicial branch: | judge selection and term of office: judges appointed by the president from candidate lists submitted by the Senate of the National Assembly; note - Article 174 of the Haiti Constitution states "Judges of the Supreme Court.... are appointed for 10 years." whereas Article 177 states "Judges of the Supreme Court..... are appointed for life." |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; magistrates' courts; special courts |
| Political parties and leaders: | Assembly of Progressive National Democrats or RDNP [Mirlande MANIGAT] |
| Political parties and leaders: | Christian and Citizen For Haiti's Reconstruction or ACCRHA [Chavannes JEUNE] |
| Political parties and leaders: | Christian Movement for a New Haiti or MCNH [Luc MESADIEU] |
| Political parties and leaders: | Convention for Democratic Unity or KID [Evans PAUL] |
| Political parties and leaders: | Cooperative Action to Rebuild Haiti or KONBA [Jean William JEANTY] |
| Political parties and leaders: | December 16 Platform or Platfom 16 Desanm [Dr. Gerard BLOT] |
| Political parties and leaders: | Democratic Alliance or ALYANS [Evans PAUL] (coalition composed of KID and PPRH) |
| Political parties and leaders: | Democratic Centers's National Council or CONACED [Osner FEVRY] |
| Political parties and leaders: | Democratic Movement for the Liberation of Haiti-Revolutionary Party of Haiti or MODELH-PRDH |
| Political parties and leaders: | Effort and Solidarity to Create an Alternative for the People or ESKAMP [Joseph JASME] |
| Political parties and leaders: | Fanmi Lavalas or FL [Jean-Bertrand ARISTIDE] |
| Political parties and leaders: | For Us All or PONT [Jean-Marie CHERESTAL] |
| Political parties and leaders: | Fusion of Haitian Social Democrats or FHSD [Edmonde Supplice BEAUZILE] |
| Political parties and leaders: | Grouping of Citizens for Hope or RESPE [Charles-Henri BAKER] |
| Political parties and leaders: | Haiti in Action or AAA [Youri LATORTUE] |
| Political parties and leaders: | Haitian Tet Kale Party or PHTK [Ann Valerie Timothee MILFORT] |
| Political parties and leaders: | Haitians for Haiti [Yvon NEPTUNE] |
| Political parties and leaders: | Independent Movement for National Reconstruction or MIRN [Luc FLEURINORD] |
| Political parties and leaders: | Konbit Pou refe Ayiti or KONBIT |
| Political parties and leaders: | Lavni Organization or LAVNI [Yves CRISTALIN] |
| Political parties and leaders: | Liberal Party of Haiti or PLH [Jean Andre VICTOR] |
| Political parties and leaders: | Liberation Platform or PLATFORME LIBERATION |
| Political parties and leaders: | Love Haiti or Renmen Ayiti [Jean-Henry CEANT and Camille LEBLANC] |
