| Government | Haiti |
| --- | --- |
| Country name: | conventional long form: Republic of Haiti |
| Country name: | conventional short form: Haiti |
| Country name: | local long form: Republique d'Haiti/Repiblik d'Ayiti |
| Country name: | local short form: Haiti/Ayiti |
| Government type: | republic |
| Capital: | name: Port-au-Prince |
| Capital: | geographic coordinates: 18 32 N, 72 20 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | 10 departments (departements, singular - departement); Artibonite, Centre, Grand'Anse, Nippes, Nord, Nord-Est, Nord-Ouest, Ouest, Sud, Sud-Est |
| Independence: | 1 January 1804 (from France) |
| National holiday: | Independence Day, 1 January (1804) |
| Constitution: | many previous (23 total); latest adopted 10 March 1987; amended 2012 (2013) |
| Legal system: | civil law system strongly influenced by Napoleonic Code |
| International law organization participation: | accepts compulsory ICJ jurisdiction; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Michel MARTELLY (since 14 May 2011) |
| Executive branch: | head of government: Prime Minister Laurent LAMOTHE (since 16 May 2012) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (may not serve consecutive terms); election last held on 28 November 2010; runoff on 20 March 2011 (next to be held in 2015); prime minister appointed by the president, ratified by the National Assembly |
| Executive branch: | election results: Michel MARTELLY elected president in runoff with 67.6% of the vote against Mirlande MANIGAT with 31.7% |
| Legislative branch: | bicameral National Assembly or Assemblee Nationale consists of the Senate (30 seats; members elected by popular vote to serve six-year terms; one-third elected every two years) and the Chamber of Deputies (99 seats; members elected by popular vote to serve four-year terms); |
| Legislative branch: | elections: Senate - last held on 28 November 2010 with run-off elections on 20 March 2011 (next regular election, for one third of seats, scheduled for 2012 but delayed); Chamber of Deputies - last held on 28 November 2010 with run-off elections on 20 March 2011 (next regular election to be held in 2014) |
| Legislative branch: | election results: 2010 Senate - percent of vote by party - NA; seats by party - Inite 6, ALTENATIV 4, LAVNI 1; 2010 Chamber of Deputies- percent of vote by party - NA; seats by party - Inite 32, Altenativ 11, Ansanm Nou Fo 10, AAA 8, LAVNI 7, RASANBLE 4, KONBIT 3, MOCHRENA 3, Platforme Liberation 3, PONT 3, Repons Peyizan 3, Independent 2, MAS 2, MODELH-PRDH 1, PLAPH 1, RESPE 1, Veye Yo 1, vacant 4 |
| Judicial branch: | highest court(s): Supreme Court or Cour de Cassation (consists of a chief judge and other judges) |
| Judicial branch: | note - Haiti is a member of the Caribbean Court of Justice |
| Judicial branch: | judge selection and term of office: judges appointed by the president from candidate lists submitted by the Senate of the National Assembly; note - Article 174 of the Haiti Constitution states "Judges of the Supreme Court.... are appointed for 10 years." whereas Article 177 states "Judges of the Supreme Court..... are appointed for life." |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; magistrates' courts; special courts |
| Political parties and leaders: | Assembly of Progressive National Democrats or RDNP [Mirlande MANIGAT] |
| Political parties and leaders: | Christian and Citizen For Haiti's Reconstruction or ACCRHA [Chavannes JEUNE] |
| Political parties and leaders: | Convention for Democratic Unity or KID [Evans PAUL] |
| Political parties and leaders: | Cooperative Action to Rebuild Haiti or KONBA [Jean William JEANTY] |
| Political parties and leaders: | December 16 Platform or Platfom 16 Desanm [Dr. Gerard BLOT] |
| Political parties and leaders: | Democratic Alliance or ALYANS [Evans PAUL] (coalition composed of KID and PPRH) |
| Political parties and leaders: | Democratic Centers's National Council or CONACED [Osner FEVRY] |
| Political parties and leaders: | Democratic Movement for the Liberation of Haiti-Revolutionary Party of Haiti or MODELH-PRDH |
| Political parties and leaders: | Effort and Solidarity to Create an Alternative for the People or ESKAMP [Joseph JASME] |
| Political parties and leaders: | Fanmi Lavalas or FL [Jean-Bertrand ARISTIDE] |
| Political parties and leaders: | For Us All or PONT [Jean-Marie CHERESTAL] |
| Political parties and leaders: | Grouping of Citizens for Hope or RESPE [Charles-Henri BAKER] |
| Political parties and leaders: | Haiti in Action or AAA [Youri LATORTUE] |
| Political parties and leaders: | Haitians for Haiti [Yvon NEPTUNE] |
| Political parties and leaders: | Independent Movement for National Reconstruction or MIRN [Luc FLEURINORD] |
| Political parties and leaders: | Konbit Pou refe Ayiti or KONBIT |
| Political parties and leaders: | Lavni Organization or LAVNI [Yves CRISTALIN] |
| Political parties and leaders: | Liberal Party of Haiti or PLH [Jean Andre VICTOR] |
| Political parties and leaders: | Liberation Platform or PLATFORME LIBERATION |
| Political parties and leaders: | Love Haiti or Renmen Ayiti [Jean-Henry CEANT and Camille LEBLANC] |
| Political parties and leaders: | Merging of Haitian Social Democratics or FUSION [Edmonde Supplice BEAUZILE] (coalition of Ayiti Capable, Haitian National Revolutionary Party, and National Congress of Democratic Movements) |
| Political parties and leaders: | Mobilization for National Development or MDN [Hubert de RONCERAY] |
| Political parties and leaders: | National Front for the Reconstruction of Haiti or FRN [Guy PHILIPPE] |
| Political parties and leaders: | New Christian Movement for a New Haiti or MOCHRENA [Luc MESADIEU] |
