| Government | Israel |
| --- | --- |
| Country name: | conventional long form: State of Israel |
| Country name: | conventional short form: Israel |
| Country name: | local long form: Medinat Yisra'el |
| Country name: | local short form: Yisra'el |
| Government type: | parliamentary democracy |
| Capital: | name: Jerusalem |
| Capital: | geographic coordinates: 31 46 N, 35 14 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins Friday before the last Sunday in March; ends the first Sunday in October; note - if the end of DST falls on Rosh Hashanah, then the end of DST will fall on the first Monday after 1 October |
| Capital: | note: Israel proclaimed Jerusalem as its capital in 1950, but the US, like all other countries, maintains its Embassy in Tel Aviv |
| Administrative divisions: | 6 districts (mehozot, singular - mehoz); Central, Haifa, Jerusalem, Northern, Southern, Tel Aviv |
| Independence: | 14 May 1948 (from League of Nations mandate under British administration) |
| National holiday: | Independence Day, 14 May (1948); note - Israel declared independence on 14 May 1948, but the Jewish calendar is lunar and the holiday may occur in April or May |
| Constitution: | no formal constitution; some functions of a constitution are filled by the Declaration of Establishment (1948), the Basic Laws of the Parliament (Knesset), and the Israeli citizenship law; note - in mid-2013, a prominent Israeli law professor was appointed to draft a constitutional proposal (2013) |
| Legal system: | mixed legal system of English common law, British Mandate regulations, and Jewish, Christian, and Muslim religious laws |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; withdrew acceptance of ICCt jurisdiction in 2002 |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Shimon PERES (since 15 July 2007) |
| Executive branch: | head of government: Prime Minister Binyamin NETANYAHU (since 31 March 2009) |
| Executive branch: | cabinet: Cabinet selected by prime minister and approved by the Knesset |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president largely a ceremonial role and is elected by the Knesset for a seven-year term (one-term limit); election last held 13 June 2007 (next to be held in 2014 but can be called earlier); following legislative elections, the president, in consultation with party leaders, assigns the task of forming a governing coalition to a Knesset member whom he or she determines is most likely to accomplish that task |
| Executive branch: | election results: Shimon PERES elected president; number of votes in first round - Shimon PERES 58, Reuven RIVLIN 37, Colette AVITAL 21; PERES elected president in second round with 86 votes (unopposed) |
| Legislative branch: | unicameral Knesset (120 seats; political parties are elected by popular vote and assigned seats for members on a proportional basis; members serve four-year terms) |
| Legislative branch: | elections: last held on 22 January 2013 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - Likud-Ahi 23.3%, Yesh Atid 14.3%, Labor 11.4%, The Jewish Home 9.1%, SHAS 8.7%, United Torah Judaism 5.2%, The Movement 5%, Meretz 4.5%, United Arab List 3.6%, HADASH 3%, Balad 2.6%, Kadima 2.1%; other 7.2%; seats by party - Likud-Ahi 31, Yesh Atid 19, Labor 15, The Jewish Home 12, SHAS 11, United Torah Judaism 7, The Movement 6, Meretz 6, United Arab List 4, HADASH 4, Balad 3, Kadima 2 |
| note: | Ehud BARAK and four others on 17 January 2011 split from the Labor Party and formed the Atzmaut (Independence) Party; the Labor Party holds 8 seats in the Knesset and the Independence Party holds 5 seats; Aztmaut did not submit a candidate list for the election on 22 January 2013 |
| Judicial branch: | highest court(s): Supreme Court ( consists of the chief justice and 14 judges) |
| Judicial branch: | judge selection and term of office: judges selected by the Judicial Selection Committee, made up of all three branches of the government and chaired by the Minister of Justice; judges can serve up to mandatory retirement age of 70 |
| Judicial branch: | subordinate courts: district and magistrate courts; national and regional labor courts; special and religious courts |
| Political parties and leaders: | Atzmaut (Independence) Party [Ehud BARAK] |
| Political parties and leaders: | Balad [Jamal ZAHALKA] |
| Political parties and leaders: | Democratic Front for Peace and Equality (HADASH) [Muhammad BARAKEH] |
| Political parties and leaders: | Kadima [Shaul MOFAZ] |
| Political parties and leaders: | Labor Party [Shelly YECHIMOVICH] |
| Political parties and leaders: | Likud-Ahi [Binyamin NETANYAHU] |
| Political parties and leaders: | National Union Uri ARIEL] |
| Political parties and leaders: | SHAS [Eliyahu YISHAI] |
| Political parties and leaders: | The Jewish Home (HaBayit HaYehudi) [Naftali BENNETT] |
| Political parties and leaders: | The Movement (Hatnuah) [Tzipora "Tzipi" LIVNI] |
| Political parties and leaders: | The New Movement-Meretz [Haim ORON] |
| Political parties and leaders: | United Arab List-Ta'al [Ibrahim SARSUR] |
| Political parties and leaders: | United Torah Judaism or UTJ [Yaakov LITZMAN] |
| Political parties and leaders: | Yesh Atid [Yair LAPID] |
| Political parties and leaders: | Yisrael Beiteinu or YB [Avigdor LIEBERMAN] |
| Political pressure groups and leaders: | B'Tselem [Jessica MONTELL, Executive Director] monitors human rights abuses |
| Political pressure groups and leaders: | Peace Now [Yariv OPPENHEIMER, Secretary General] supports territorial concessions in the West Bank and Gaza Strip |
| Political pressure groups and leaders: | YESHA Council of Settlements [Danny DAYAN, Chairman] promotes settler interests and opposes territorial compromise |
| Political pressure groups and leaders: | Breaking the Silence [Yehuda SHAUL, Executive Director] collects testimonies from soldiers who served in the West Bank and Gaza Strip |
| International organization participation: | BIS, BSEC (observer), CE (observer), CICA, EBRD, FAO, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, OAS (observer), OECD, OPCW (signatory), OSCE (partner), Paris Club (associate), PCA, SELEC (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ron DERMER (since 3 December 2013) |
| Diplomatic representation in the US: | chancery: 3514 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-5500 |
| Diplomatic representation in the US: | FAX: [1] (202) 364-5647 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Houston, Los Angeles, Miami, New York, Philadelphia, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel B. SHAPIRO (since 8 July 2011) |
| Diplomatic representation from the US: | embassy: 71 Hayarkon Street, Tel Aviv 63903 |
| Diplomatic representation from the US: | telephone: [972] (3) 519-7475 |
| Diplomatic representation from the US: | FAX: [972] (3) 516-4390 |
| Diplomatic representation from the US: | consulate(s) general: Jerusalem; note - an independent US mission, established in 1928, whose members are not accredited to a foreign government |
| Flag description: | white with a blue hexagram (six-pointed linear star) known as the Magen David (Shield of David) centered between two equal horizontal blue bands near the top and bottom edges of the flag; the basic design resembles a Jewish prayer shawl (tallit), which is white with blue stripes; the hexagram as a Jewish symbol dates back to medieval times |
| National symbol(s): | Star of David |
| National anthem: | name: "Hatikvah" (The Hope) |
