| Government | Ethiopia |
| --- | --- |
| Country name: | conventional long form: Federal Democratic Republic of Ethiopia |
| Country name: | conventional short form: Ethiopia |
| Country name: | local long form: Ityop'iya Federalawi Demokrasiyawi Ripeblik |
| Country name: | local short form: Ityop'iya |
| Country name: | former: Abyssinia, Italian East Africa |
| Country name: | abbreviation: FDRE |
| Government type: | federal republic |
| Capital: | name: Addis Ababa |
| Capital: | geographic coordinates: 9 02 N, 38 42 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 ethnically-based states (kililoch, singular - kilil) and 2 self-governing administrations* (astedaderoch, singular - astedader); Adis Abeba* (Addis Ababa), Afar, Amara (Amhara), Binshangul Gumuz, Dire Dawa*, Gambela Hizboch (Gambela Peoples), Hareri Hizb (Harari People), Oromiya (Oromia), Sumale (Somali), Tigray, Ye Debub Biheroch Bihereseboch na Hizboch (Southern Nations, Nationalities and Peoples) |
| Independence: | oldest independent country in Africa and one of the oldest in the world - at least 2,000 years |
| National holiday: | National Day (defeat of MENGISTU regime), 28 May (1991) |
| Constitution: | ratified 8 December 1994, effective 22 August 1995 |
| Legal system: | based on civil law; currently transitional mix of national and regional courts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President GIRMA Woldegiorgis (since 8 October 2001) |
| Executive branch: | head of government: Prime Minister MELES Zenawi (since August 1995) |
| Executive branch: | cabinet: Council of Ministers as provided for in the December 1994 constitution; ministers are selected by the prime minister and approved by the House of People's Representatives |
| Executive branch: | elections: president elected by the House of People's Representatives for a six-year term (eligible for a second term); election last held 15 May 2005 (next to be held in October 2010); prime minister designated by the party in power following legislative elections |
| Executive branch: | election results: GIRMA Woldegiorgis elected president; percent of vote by the House of People's Representatives - 100% |
| Legislative branch: | bicameral Parliament consists of the House of Federation (or upper chamber) (108 seats; members are chosen by state assemblies to serve five-year terms) and the House of People's Representatives (or lower chamber) (547 seats; members are directly elected by popular vote from single-member districts to serve five-year terms) |
| Legislative branch: | elections: last held 15 May 2005 (next to be held in 2010) |
| Legislative branch: | election results: percent of vote - NA; seats by party - EPRDF 327, CUD 109, UEDF 52, SPDP 23, OFDM 11, BGPDUF 8, ANDP 8, independent 1, others 6, undeclared 2 |
| Legislative branch: | note: irregularities at some polling stations necessitated the rescheduling of voting in certain constituencies |
| Judicial branch: | Federal Supreme Court (the president and vice president of the Federal Supreme Court are recommended by the prime minister and appointed by the House of People's Representatives; for other federal judges, the prime minister submits to the House of People's Representatives for appointment candidates selected by the Federal Judicial Administrative Council) |
| Political parties and leaders: | Afar National Democratic Party or ANDP; Benishangul Gumuz People's Democratic Unity Front or BGPDUF [Mulualem BESSE]; Coalition for Unity and Democratic Party or CUDP [TEMESGEN Zewdie] (contains elements of the former CUD); Ethiopian People's Revolutionary Democratic Front or EPRDF [MELES Zenawi] (an alliance of Amhara National Democratic Movement or ANDM, Oromo People's Democratic Organization or OPDO, the South Ethiopian People's Democratic Front or SEPDF, and Tigrayan Peoples' Liberation Front or TPLF); Gurage Nationalities' Democratic Movement or GNDM; Oromo Federalist Democratic Movement or OFDM [BULCHA Demeksa]; Somali People's Democratic Party or SPDP; United Ethiopian Democratic Forces or UEDF [BEYENE Petros]; dozens of small parties |
| Political pressure groups and leaders: | Ethiopian People's Patriotic Front or EPPF; Ogaden National Liberation Front or ONLF; Oromo Liberation Front or OLF [DAOUD Ibsa] |
| International organization participation: | ACP, AfDB, AU, COMESA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM, ONUB, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Samuel ASSEFA |
| Diplomatic representation in the US: | chancery: 3506 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-1200 |
| Diplomatic representation in the US: | FAX: [1] (202) 587-0195 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald Y. YAMAMOTO |
| Diplomatic representation from the US: | embassy: Entoto Street, Addis Ababa |
| Diplomatic representation from the US: | mailing address: P. O. Box 1014, Addis Ababa |
| Diplomatic representation from the US: | telephone: [251] 11-517-40-00 |
| Diplomatic representation from the US: | FAX: [251] 11-517-40-01 |
| Flag description: | three equal horizontal bands of green (top), yellow, and red with a yellow pentagram and single yellow rays emanating from the angles between the points on a light blue disk centered on the three bands; Ethiopia is the oldest independent country in Africa, and the three main colors of her flag were so often adopted by other African countries upon independence that they became known as the pan-African colors |
