| Government | Ethiopia |
| --- | --- |
| Country name: | conventional long form: Federal Democratic Republic of Ethiopia |
| Country name: | conventional short form: Ethiopia |
| Country name: | local short form: Ityop'iya |
| Country name: | former: Abyssinia, Italian East Africa |
| Country name: | local long form: Ityop'iya Federalawi Demokrasiyawi Ripeblik |
| Country name: | abbreviation: FDRE |
| Government type: | federal republic |
| Capital: | Addis Ababa |
| Administrative divisions: | 9 ethnically-based states (kililoch, singular - kilil) and 2 self-governing administrations* (astedaderoch, singular - astedader); Adis Abeba* (Addis Ababa), Afar, Amara (Amhara), Binshangul Gumuz, Dire Dawa*, Gambela Hizboch (Gambela Peoples), Hareri Hizb (Harari People), Oromiya (Oromia), Sumale (Somali), Tigray, Ye Debub Biheroch Bihereseboch na Hizboch (Southern Nations, Nationalities and Peoples) |
| Independence: | oldest independent country in Africa and one of the oldest in the world - at least 2,000 years |
| National holiday: | National Day (defeat of MENGISTU regime), 28 May (1991) |
| Constitution: | ratified December 1994; effective 22 August 1995 |
| Legal system: | currently transitional mix of national and regional courts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President GIRMA Woldegiorgis (since 8 October 2001) |
| Executive branch: | head of government: Prime Minister MELES Zenawi (since NA August 1995) |
| Executive branch: | cabinet: Council of Ministers as provided for in the December 1994 constitution; ministers are selected by the prime minister and approved by the House of People's Representatives |
| Executive branch: | elections: president elected by the House of People's Representatives for a six-year term; election last held 8 October 2001 (next to be held NA October 2007); prime minister designated by the party in power following legislative elections |
| Executive branch: | election results: GIRMA Woldegiorgis elected president; percent of vote by the House of People's Representatives - 100% |
| Legislative branch: | bicameral Parliament consists of the House of Federation or upper chamber (108 seats; members are chosen by state assemblies to serve five-year terms) and the House of People's Representatives or lower chamber (548 seats; members are directly elected by popular vote from single-member districts to serve five-year terms) |
| Legislative branch: | elections: last held 14 May 2000 (next to be held NA May 2005) |
| Legislative branch: | note: irregularities and violence at some polling stations necessitated the rescheduling of voting in certain constituencies; voting postponed in Somali regional state because of severe drought |
| Legislative branch: | election results: percent of vote - NA; seats by party - OPDO 177, ANDM 134, TPLF 38, WGGPDO 27, EPRDF 19, SPDO 18, GNDM 15, KSPDO 10, ANDP 8, GPRDF 7, SOPDM 7, BGPDUF 6, BMPDO 5, KAT 4, other regional political groupings 22, independents 8; note - 43 seats unconfirmed |
| Judicial branch: | Federal Supreme Court (the president and vice president of the Federal Supreme Court are recommended by the prime minister and appointed by the House of People's Representatives; for other federal judges, the prime minister submits to the House of People's Representatives for appointment candidates selected by the Federal Judicial Administrative Council) |
| Political parties and leaders: | Afar National Democratic Party or ANDP [leader NA]; Amhara National Democratic Movement or ANDM [ADDISU Legesse]; Bench Madji People's Democratic Organization or BMPDO [leader NA]; Benishangul Gumuz People's Democratic Unity Front or BGPDUF [leader NA]; Ethiopian People's Revolutionary Democratic Front or EPRDF [MELES Zenawi] (an alliance of ANDM, OPDO, SEPDF, and TPLF); Gedeyo People's Revolutionary Democratic Front or GPRDF [leader NA]; Gurage Nationalities' Democratic Movement or GNDM [leader NA]; Kafa Shaka People's Democratic Organization or KSPDO [leader NA]; Kembata, Alabaa and Tembaro or KAT [leader NA]; Oromo People's Democratic Organization or OPDO [JUNEDI Sado]; Sidamo People's Democratic Organization or SPDO [leader NA]; South Omo People's Democratic Movement or SOPDM [leader NA]; Tigrayan People's Liberation Front or TPLF [MELES Zenawi]; Walayta, Gamo, Gofa, Dawro, and Konta People's Democratic Organization or WGGPDO [leader NA]; dozens of small parties |
| Political pressure groups and leaders: | Afar Revolutionary Democratic Union Front or ARDUF [leader NA]; Council of Alternative Forces for Peace and Democracy in Ethiopia or CAFPDE [BEYANE Petros]; Southern Ethiopia People's Democratic Coalition or SEPDC [BEYANE Petros] |
| International organization participation: | ACP, AfDB, AU, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, MIGA, NAM, ONUB, OPCW, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador KASSAHUN Ayele |
| Diplomatic representation in the US: | chancery: 3506 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation in the US: | FAX: [1] (202) 686-9551 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-1200 |
| Diplomatic representation from the US: | chief of mission: Ambassador Aurelia A. BRAZEAL |
| Diplomatic representation from the US: | embassy: Entoto Street, Addis Ababa |
| Diplomatic representation from the US: | mailing address: P. O. Box 1014, Addis Ababa |
| Diplomatic representation from the US: | telephone: [251] (1) 550666 |
| Diplomatic representation from the US: | FAX: [251] (1) 551328 |
| Flag description: | three equal horizontal bands of green (top), yellow, and red with a yellow pentagram and single yellow rays emanating from the angles between the points on a light blue disk centered on the three bands; Ethiopia is the oldest independent country in Africa, and the three main colors of her flag were so often adopted by other African countries upon independence that they became known as the pan-African colors |
