| Government | United Kingdom |
| --- | --- |
| Country name: | conventional long form: United Kingdom of Great Britain and Northern Ireland; note - Great Britain includes England, Scotland, and Wales |
| Country name: | conventional short form: United Kingdom |
| Country name: | abbreviation: UK |
| Government type: | constitutional monarchy and Commonwealth realm |
| Capital: | name: London |
| Capital: | geographic coordinates: 51 30 N, 0 10 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | note: applies to the United Kingdom proper, not to its overseas dependencies or territories |
| Administrative divisions: | England: 34 two-tier counties, 32 London boroughs and 1 City of London or Greater London, 36 metropolitan counties, 46 unitary authorities |
| Administrative divisions: | two-tier counties: Bedfordshire, Buckinghamshire, Cambridgeshire, Cheshire, Cornwall and Isles of Scilly, Cumbria, Derbyshire, Devon, Dorset, Durham, East Sussex, Essex, Gloucestershire, Hampshire, Hertfordshire, Kent, Lancashire, Leicestershire, Lincolnshire, Norfolk, North Yorkshire, Northamptonshire, Northumberland, Nottinghamshire, Oxfordshire, Shropshire, Somerset, Staffordshire, Suffolk, Surrey, Warwickshire, West Sussex, Wiltshire, Worcestershire |
| Administrative divisions: | London boroughs and City of London or Greater London: Barking and Dagenham, Barnet, Bexley, Brent, Bromley, Camden, Croydon, Ealing, Enfield, Greenwich, Hackney, Hammersmith and Fulham, Haringey, Harrow, Havering, Hillingdon, Hounslow, Islington, Kensington and Chelsea, Kingston upon Thames, Lambeth, Lewisham, City of London, Merton, Newham, Redbridge, Richmond upon Thames, Southwark, Sutton, Tower Hamlets, Waltham Forest, Wandsworth, Westminster |
| Administrative divisions: | metropolitan counties: Barnsley, Birmingham, Bolton, Bradford, Bury, Calderdale, Coventry, Doncaster, Dudley, Gateshead, Kirklees, Knowlsey, Leeds, Liverpool, Manchester, Newcastle upon Tyne, North Tyneside, Oldham, Rochdale, Rotherham, Salford, Sandwell, Sefton, Sheffield, Solihull, South Tyneside, St. Helens, Stockport, Sunderland, Tameside, Trafford, Wakefield, Walsall, Wigan, Wirral, Wolverhampton |
| Administrative divisions: | unitary authorities: Bath and North East Somerset, Blackburn with Darwen, Blackpool, Bournemouth, Bracknell Forest, Brighton and Hove, City of Bristol, Darlington, Derby, East Riding of Yorkshire, Halton, Hartlepool, County of Herefordshire, Isle of Wight, City of Kingston upon Hull, Leicester, Luton, Medway, Middlesbrough, Milton Keynes, North East Lincolnshire, North Lincolnshire, North Somerset, Nottingham, Peterborough, Plymouth, Poole, Portsmouth, Reading, Redcar and Cleveland, Rutland, Slough, South Gloucestershire, Southampton, Southend-on-Sea, Stockton-on-Tees, Stoke-on-Trent, Swindon, Telford and Wrekin, Thurrock, Torbay, Warrington, West Berkshire, Windsor and Maidenhead, Wokingham, York |
| Administrative divisions: | Northern Ireland: 26 district council areas |
