| Government | Papua New Guinea |
| --- | --- |
| Country name: | conventional long form: Independent State of Papua New Guinea |
| Country name: | conventional short form: Papua New Guinea |
| Country name: | local short form: Papuaniugini |
| Country name: | former: Territory of Papua and New Guinea |
| Country name: | abbreviation: PNG |
| Government type: | constitutional parliamentary democracy and a Commonwealth realm |
| Capital: | name: Port Moresby |
| Capital: | geographic coordinates: 9 27 S, 147 11 E |
| Capital: | time difference: UTC+10 (15 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 20 provinces, 1 autonomous region*, and 1 district**; Bougainville*, Central, Chimbu, Eastern Highlands, East New Britain, East Sepik, Enga, Gulf, Hela, Jiwaka, Madang, Manus, Milne Bay, Morobe, National Capital**, New Ireland, Northern, Southern Highlands, Western, Western Highlands, West New Britain, West Sepik |
| Independence: | 16 September 1975 (from the Australian-administered UN trusteeship) |
| National holiday: | Independence Day, 16 September (1975) |
| Constitution: | adopted 15 August 1975, effective at independence 16 September 1975; amended many times, last in 2003 (2013) |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Michael OGIO (since 25 February 2011) |
| Executive branch: | head of government: Prime Minister Peter Paire O'NEILL (since 2 August 2011); Deputy Prime Minister Leo DION (since 9 August 2012) |
| Executive branch: | cabinet: National Executive Council appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary; the governor general nominated by parliament and appointed by the chief of state; following legislative elections, the leader of the majority party or leader of the majority coalition usually appointed prime minister by the governor general acting in accordance with a decision of the parliament; Peter Paire O'NEILL elected prime minister by parliament on 3 August 2012 by a vote of 94 to 12 |
| Legislative branch: | unicameral National Parliament (111 seats, 89 filled from open electorates and 20 from provinces and national capital district; members elected by popular vote to serve five-year terms); constitution allows up to 126 seats |
| Legislative branch: | elections: last held from 23 June 2012 to 27 July 2012 (next to be held in June 2017) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - People's National Congress Party 27, Triumph Heritage Empowerment Party 12, PNG Party 8, National Alliance Party 7, United Resources Party 7, People's Party 6, People's Progess Party 6, other parties 22, independents 16 |
| Legislative branch: | note: 14 other parties won 3 or fewer seats; association with political parties is fluid |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice, deputy chief justice, and 28 other judges); National Courts (10 courts located in the province capitals, with a total of 16 resident judges ) |
| Judicial branch: | judge selection and term of office: chief justice appointed by the governor-general upon advice of the National Executive Council (cabinet) after consultation with the National Justice Administration Minister; deputy chief justice and other justices appointed by the Judicial and Legal Services Commission, a 5-member body to include the Supreme Court chief and deputy chief justices, the chief ombudsman, and a member of the National Parliament; citizen judges appointed for 10-year renewable terms; non-citizen judges appointed for 3-year renewable terms; appointment and tenure of National Court resident judges NA |
| Judicial branch: | subordinate courts: district, village, and juvenile courts |
| Political parties and leaders: | National Alliance Party or NA [Patrick PRUAITCHI] |
| Political parties and leaders: | Papua New Guinea Party or PNGP [Beldan NEMAH] |
| Political parties and leaders: | People's National Congress Party or PNC [Peter Paire O'NEILL] |
| Political parties and leaders: | People's Party or PP |
| Political parties and leaders: | People's Progress Party or PPP |
| Political parties and leaders: | Triumph Heritage Empowerment Party or THE [Don POYLE] |
| Political parties and leaders: | United Resources Party or URP [William DUMA] |
| Political parties and leaders: | note: as of 13 March 2012, 41 political parties were registered |
| Political pressure groups and leaders: | Centre for Environment Law and Community Rights or Celcor [Damien ASE] |
| Political pressure groups and leaders: | Community Coalition Against Corruption |
| Political pressure groups and leaders: | National Council of Women |
| Political pressure groups and leaders: | Transparency International PNG |
| International organization participation: | ACP, ADB, AOSIS, APEC, ARF, ASEAN (observer), C, CD, CP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IOM (observer), IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Elias Rahuromo WOHENGU |
| Diplomatic representation in the US: | chancery: 1779 Massachusetts Avenue NW, Suite 805, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-3680 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-3679 |
| Diplomatic representation from the US: | chief of mission: Ambassador Walter E. NORTH (since 7 November 2012); note - also accredited to the Solomon Islands and Vanuatu |
| Diplomatic representation from the US: | embassy: Douglas Street, Port Moresby, N.C.D. |
| Diplomatic representation from the US: | mailing address: 4240 Port Moresby Place, US Department of State, Washington DC 20521-4240 |
| Diplomatic representation from the US: | telephone: [675] 321-1455 |
| Diplomatic representation from the US: | FAX: [675] 321-3423 |
| Flag description: | divided diagonally from upper hoist-side corner; the upper triangle is red with a soaring yellow bird of paradise centered; the lower triangle is black with five, white, five-pointed stars of the Southern Cross constellation centered; red, black, and yellow are traditional colors of Papua New Guinea; the bird of paradise - endemic to the island of New Guinea - is an emblem of regional tribal culture and represents the emergence of Papua New Guinea as a nation; the Southern Cross, visible in the night sky, symbolizes Papua New Guinea's connection with Australia and several other countries in the South Pacific |
| National symbol(s): | bird of paradise |
| National anthem: | name: "O Arise All You Sons" |
| National anthem: | lyrics/music: Thomas SHACKLADY |
| National anthem: | note: adopted 1975 |
