| Government | Bermuda |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bermuda |
| Country name: | former: Somers Islands |
| Country name: | etymology: the islands making up Bermuda are named after Juan de BERMUDEZ, an early 16th century Spanish sea captain and the first European explorer of the archipelago |
| Dependency status: | overseas territory of the UK |
| Government type: | parliamentary democracy (Parliament); self-governing overseas territory of the UK |
| Capital: | name: Hamilton |
| Capital: | geographic coordinates: 32 17 N, 64 47 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | 9 parishes and 2 municipalities*; Devonshire, Hamilton, Hamilton*, Paget, Pembroke, Saint George*, Saint George's, Sandys, Smith's, Southampton, Warwick |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Bermuda Day, 24 May; note - formerly known as Victoria Day, Empire Day, and Commonwealth Day |
| Constitution: | history: several previous (dating to 1684); latest entered into force 8 June 1968 (Bermuda Constitution Order 1968) (2018) |
| Constitution: | amendments: proposal procedure - NA; passage by an Order in Council in the UK; amended several times, last in 2012 (2018) |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the UK |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Court of Appeal (consists of the court president and at least 2 justices); Supreme Court (consists of the chief justice, 4 puisne judges, and 1 associate justice); note - the Judicial Committee of the Privy Council in London is the court of final appeal |
| Judicial branch: | judge selection and term of office: Court of Appeal justice appointed by the governor; justice tenure by individual appointment; Supreme Court judges nominated by the Judicial and Legal Services Commission and appointed by the governor; judge tenure based on terms of appointment |
| Judicial branch: | subordinate courts: commercial court (began in 2006); magistrates' courts |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor John RANKIN (since 5 December 2016) |
| Executive branch: | head of government: Premier David BURT (since 19 July 2017) |
| Executive branch: | cabinet: Cabinet nominated by the premier, appointed by the governor |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor appointed by the monarch; following legislative elections, the leader of the majority party or majority coalition usually appointed premier by the governor |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate (11 seats; 3 members appointed by the governor, 5 by the premier, and 3 by the opposition party; members serve 5-year terms) and the House of Assembly (36 seats; members directly elected in single-seat constituencies by simple majority vote to serve up to 5-year terms) |
| Legislative branch: | House of Assembly (36 seats; members directly elected in single-seat constituencies by simple majority vote to serve up to 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | House of Assembly - last held on 18 July 2017 (next to be held not later than 2022) |
| Legislative branch: | election results: |
| Legislative branch: | percent of vote by party - PLP 58.9%, OBA 40.6%, other 0.5%; seats by party - PLP 24, OBA 12 |
| Political parties and leaders: | One Bermuda Alliance or OBA (vacant) |
| Political parties and leaders: | Progressive Labor Party or PLP [E. David BURT] |
| International organization participation: | Caricom (associate), ICC (NGOs), Interpol (subbureau), IOC, ITUC (NGOs), UPU, WCO |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | chief of mission: Consul General Mary Ellen KOENIG (since 28 November 2015) |
| Diplomatic representation from the US: | mailing address: P. O. Box HM325, Hamilton HMBX; American Consulate General Hamilton, US Department of State, 5300 Hamilton Place, Washington, DC 20520-5300 |
| Diplomatic representation from the US: | telephone: [1] (441) 295-1342 |
| Diplomatic representation from the US: | FAX: [1] (441) 295-1592, 296-9233 |
| Diplomatic representation from the US: | consulate(s) general: Crown Hill, 16 Middle Road, Devonshire DVO3 |
| Flag description: | red, with the flag of the UK in the upper hoist-side quadrant and the Bermudian coat of arms (a white shield with a red lion standing on a green grassy field holding a scrolled shield showing the sinking of the ship Sea Venture off Bermuda in 1609) centered on the outer half of the flag; it was the shipwreck of the vessel, filled with English colonists originally bound for Virginia, that led to the settling of Bermuda |
| Flag description: | note: the flag is unusual in that it is only British overseas territory that uses a red ensign, all others use blue |
| National symbol(s): | red lion |
| National anthem: | name: Hail to Bermuda |
| National anthem: | lyrics/music: Bette JOHNS |
| National anthem: | note: serves as a local anthem; as a territory of the United Kingdom, "God Save the Queen" is official (see United Kingdom) |
