| Government | Bermuda |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bermuda |
| Country name: | former: Somers Islands |
| Dependency status: | overseas territory of the UK |
| Government type: | parliamentary British overseas territory with internal self-government |
| Capital: | Hamilton |
| Administrative divisions: | 9 parishes and 2 municipalities*; Devonshire, Hamilton, Hamilton*, Paget, Pembroke, Saint George*, Saint George's, Sandys, Smith's, Southampton, Warwick |
| Independence: | none (overseas territory of the UK) |
| National holiday: | Bermuda Day, 24 May |
| Constitution: | 8 June 1968; amended 1989 and 2003 |
| Legal system: | English law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor Sir John VEREKER (since 11 April 2002) |
| Executive branch: | head of government: Premier William Alexander SCOTT (since 24 July 2003); Deputy Premier Ewart BROWN |
| Executive branch: | cabinet: Cabinet nominated by the premier, appointed by the governor |
| Executive branch: | elections: none; the monarch is hereditary; governor appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed premier by the governor |
| Legislative branch: | bicameral Parliament consists of the Senate (an 11-member body appointed by the governor, the premier, and the opposition) and the House of Assembly (36 seats; members are elected by popular vote to serve up to five-year terms) |
| Legislative branch: | elections: last general election held 24 July 2003 (next to be held July 2008) |
| Legislative branch: | election results: percent of vote by party - PLP 51.7%, UBP 48%; seats by party - PLP 22, UBP 14 |
| Judicial branch: | Supreme Court; Court of Appeal; Magistrate Courts |
| Political parties and leaders: | Progressive Labor Party or PLP [William Alexander SCOTT]; United Bermuda Party or UBP [Grant GIBBONS] |
| Political pressure groups and leaders: | Bermuda Employer's Union [Eddie SAINTS]; Bermuda Industrial Union or BIU [Derrick BURGESS]; Bermuda Public Services Union or BPSU [Ed BALL]; Bermuda Union of Teachers [Michael CHARLES] |
| International organization participation: | Caricom (associate), ICFTU, Interpol (subbureau), IOC, UPU, WCO, Egmont Group, Caribbean Financial Action Task Force |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | chief of mission: Deputy Chief of Mission Antoinette BOECKER |
| Diplomatic representation from the US: | consulate(s) general: Crown Hill, 16 Middle Road, Devonshire DVO3 |
| Diplomatic representation from the US: | mailing address: P. O. Box HM325, Hamilton HMBX; American Consulate General Hamilton, Department of State, 5300 Hamilton Place, Washington, DC 20520-5300 |
| Diplomatic representation from the US: | telephone: [1] (441) 295-1342 |
| Diplomatic representation from the US: | FAX: [1] (441) 295-1592, [1] (441) 296-9233 |
| Flag description: | red, with the flag of the UK in the upper hoist-side quadrant and the Bermudian coat of arms (white and green shield with a red lion holding a scrolled shield showing the sinking of the ship Sea Venture off Bermuda in 1609) centered on the outer half of the flag |
