| Government | Turkey |
| --- | --- |
| Country name: | conventional long form: Republic of Turkey |
| Country name: | conventional short form: Turkey |
| Country name: | local long form: Turkiye Cumhuriyeti |
| Country name: | local short form: Turkiye |
| Government type: | republican parliamentary democracy |
| Capital: | name: Ankara |
| Capital: | geographic coordinates: 39 56 N, 32 52 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Monday in March; ends last Sunday in October |
| Administrative divisions: | 81 provinces (iller, singular - ili); Adana, Adiyaman, Afyonkarahisar, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Duzce, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Igdir, Isparta, Istanbul, Izmir (Smyrna), Kahramanmaras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mersin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon (Trebizond), Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak |
| Independence: | 29 October 1923 (successor state to the Ottoman Empire) |
| National holiday: | Republic Day, 29 October (1923) |
| Constitution: | 7 November 1982; amended several times; note - amendment passed by referendum 21 October 2007 concerning presidential elections |
| Legal system: | civil law system based on various European legal systems notably the Swiss civil code; note - member of the European Court of Human Rights (ECHR), although Turkey claims limited derogations on the ratified European Convention on Human Rights |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abdullah GUL (since 28 August 2007) |
| Executive branch: | head of government: Prime Minister Recep Tayyip ERDOGAN (since 14 March 2003) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the nomination of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected directly for a five-year term (eligible for a second term); prime minister appointed by the president from among members of parliament |
| Executive branch: | election results: on 28 August 2007 the National Assembly elected Abdullah GUL president on the third ballot; National Assembly vote - 339 |
| Executive branch: | note: in October 2007 Turkish voters approved a referendum package of constitutional amendments including a provision for direct presidential elections |
| Legislative branch: | unicameral Grand National Assembly of Turkey or Turkiye Buyuk Millet Meclisi (550 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 12 June 2011 (next to be held by June 2015) |
| Legislative branch: | election results: percent of vote by party - AKP 49.8%, CHP 25.9%, MHP 13%, independents 6.6%, other 4.7%; seats by party - AKP 326, CHP 135, MHP 53, independents 36; note - only parties surpassing the 10% threshold are entitled to parliamentary seats |
| Judicial branch: | Constitutional Court; High Court of Appeals (Yargitay); Council of State (Danistay); Court of Accounts (Sayistay); Military High Court of Appeals; Military High Administrative Court |
| Political parties and leaders: | Democratic Left Party or DSP [Masum TURKER]; Democratic Party or DP [Namik Kemal ZEYBEK]; Equality and Democracy Party or EDP [Ziva HALIS]; Felicity Party or SP [Mustafa KAMALAK] (sometimes translated as Contentment Party); Freedom and Solidarity Party or ODP [Alper TAS]; Grand Unity Party or BBP [Yalcin TOPCU]; Justice and Development Party or AKP [Recep Tayyip ERDOGAN]; Nationalist Movement Party or MHP [Devlet BAHCELI]; Peace and Democracy Party or BDP [Selahattin DEMIRTAS]; Republican People's Party or CHP [Kemal KILICDAROGLU]; Turkey Party or TP [Abdullatif SENER] |
| Political parties and leaders: | note: the parties listed above are some of the more significant of the 61 parties that Turkey had according to the Ministry of Interior statistics current as of May 2009 |
| Political pressure groups and leaders: | Confederation of Businessmen and Industrialists of Turkey or TUSKON [Rizanur MERAL]; Confederation of Public Sector Unions or KESK [Lami OZGEN]; Confederation of Revolutionary Workers Unions or DISK [Tayfun GORGUN]; Independent Industrialists' and Businessmen's Association or MUSIAD [Omer Cihad VARDAN]; Moral Rights Workers Union or Hak-Is [Mahmut ARSLAN]; Turkish Confederation of Employers' Unions or TISK [Tugrul KUDATGOBILIK]; Turkish Confederation of Labor or Turk-Is [Mustafa KUMLU]; Turkish Confederation of Tradesmen and Craftsmen or TESK [Bendevi PALANDOKEN]; Turkish Industrialists' and Businessmen's Association or TUSIAD [Umit BOYNER]; Turkish Union of Chambers of Commerce and Commodity Exchanges or TOBB [M. Rifat HISARCIKLIOGLU] |
| International organization participation: | ADB (nonregional member), Australia Group, BIS, BSEC, CD, CE, CERN (observer), CICA, D-8, EAPC, EBRD, ECO, EU (candidate country), FAO, FATF, G-20, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NATO, NEA, NSG, OAS (observer), OECD, OIC, OPCW, OSCE, Paris Club (associate), PCA, SELEC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Namik TAN |
| Diplomatic representation in the US: | chancery: 2525 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 612-6700 |
| Diplomatic representation in the US: | FAX: [1] (202) 612-6744 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Francis J. RICCIARDONE, Jr. |
| Diplomatic representation from the US: | embassy: 110 Ataturk Boulevard, Kavaklidere, 06100 Ankara |
| Diplomatic representation from the US: | mailing address: PSC 93, Box 5000, APO AE 09823 |
| Diplomatic representation from the US: | telephone: [90] (312) 455-5555 |
| Diplomatic representation from the US: | FAX: [90] (312) 467-0019 |
| Diplomatic representation from the US: | consulate(s) general: Istanbul |
| Diplomatic representation from the US: | consulate(s): Adana; note - there is a Consular Agent in Izmir |
| Flag description: | red with a vertical white crescent moon (the closed portion is toward the hoist side) and white five-pointed star centered just outside the crescent opening; the flag colors and designs closely resemble those on the banner of Ottoman Empire, which preceded modern-day Turkey; the crescent moon and star serve as insignia for the Turks, as well as being traditional symbols of Islam; according to legend, the flag represents the reflection of the moon and a star in a pool of blood of Turkish warriors |
| National symbol(s): | star and crescent |
| National anthem: | name: "Istiklal Marsi" (Independence March) |
| National anthem: | lyrics/music: Mehmet Akif ERSOY/Zeki UNGOR |
| National anthem: | note: lyrics adopted 1921, music adopted 1932; the anthem's original music was adopted in 1924; a new composition was agreed upon in 1932 |
