| Government | China |
| --- | --- |
| Country name: | conventional long form: People's Republic of China |
| Country name: | conventional short form: China |
| Country name: | local long form: Zhonghua Renmin Gongheguo |
| Country name: | local short form: Zhongguo |
| Country name: | abbreviation: PRC |
| Government type: | Communist state |
| Capital: | name: Beijing |
| Capital: | geographic coordinates: 39 55 N, 116 23 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: despite its size, all of China falls within one time zone |
| Administrative divisions: | 23 provinces (sheng, singular and plural), 5 autonomous regions (zizhiqu, singular and plural), and 4 municipalities (shi, singular and plural) |
| Administrative divisions: | provinces: Anhui, Fujian, Gansu, Guangdong, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang; (see note on Taiwan) |
| Administrative divisions: | autonomous regions: Guangxi, Nei Mongol, Ningxia, Xinjiang Uygur, Xizang (Tibet) |
| Administrative divisions: | municipalities: Beijing, Chongqing, Shanghai, Tianjin |
| Administrative divisions: | note: China considers Taiwan its 23rd province; see separate entries for the special administrative regions of Hong Kong and Macau |
| Independence: | 221 BC (unification under the Qin or Ch'in Dynasty); 1 January 1912 (Manchu Dynasty replaced by a Republic); 1 October 1949 (People's Republic established) |
| National holiday: | Anniversary of the Founding of the People's Republic of China, 1 October (1949) |
| Constitution: | most recent promulgation 4 December 1982 |
| Legal system: | based on civil law system; derived from Soviet and continental civil code legal principles; legislature retains power to interpret statutes; constitution ambiguous on judicial review of legislation; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President HU Jintao (since 15 March 2003); Vice President ZENG Qinghong (since 15 March 2003) |
| Executive branch: | head of government: Premier WEN Jiabao (since 16 March 2003); Vice Premier WU Yi (17 March 2003), Vice Premier ZENG Peiyan (since 17 March 2003), and Vice Premier HUI Liangyu (since 17 March 2003) |
| Executive branch: | cabinet: State Council appointed by the National People's Congress (NPC) |
| Executive branch: | elections: president and vice president elected by the National People's Congress for a five-year term (eligible for a second term); elections last held 15-17 March 2003 (next to be held in mid-March 2008); premier nominated by the president, confirmed by the National People's Congress |
| Executive branch: | election results: HU Jintao elected president by the 10th National People's Congress with a total of 2,937 votes (4 delegates voted against him, 4 abstained, and 38 did not vote); ZENG Qinghong elected vice president by the 10th National People's Congress with a total of 2,578 votes (177 delegates voted against him, 190 abstained, and 38 did not vote); 2 seats were vacant |
| Legislative branch: | unicameral National People's Congress or Quanguo Renmin Daibiao Dahui (2,985 seats; members elected by municipal, regional, and provincial people's congresses to serve five-year terms) |
| Legislative branch: | elections: last held December 2002-February 2003 (next to be held in late 2007-February 2008) |
| Legislative branch: | election results: percent of vote - NA; seats - NA |
| Judicial branch: | Supreme People's Court (judges appointed by the National People's Congress); Local People's Courts (comprise higher, intermediate, and local courts); Special People's Courts (primarily military, maritime, and railway transport courts) |
| Political parties and leaders: | Chinese Communist Party or CCP [HU Jintao]; eight registered small parties controlled by CCP |
| Political pressure groups and leaders: | no substantial political opposition groups exist, although the government has identified the Falungong spiritual movement and the China Democracy Party as subversive groups |
| International organization participation: | AfDB, APEC, APT, ARF, AsDB, ASEAN (dialogue partner), BCIE, BIS, CDB, EAS, FAO, G-24 (observer), G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAIA (observer), MIGA, MINURSO, MONUC, NAM (observer), NSG, OAS (observer), OPCW, PCA, PIF (partner), SAARC (observer), SCO, UN, UN Security Council, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNMEE, UNMIL, UNMIS, UNMOVIC, UNOCI, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador ZHOU Wenzhong |
| Diplomatic representation in the US: | chancery: 2300 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-2500 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2582 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Clark T. RANDT, Jr. |
| Diplomatic representation from the US: | embassy: Xiu Shui Bei Jie 3, 100600 Beijing |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 50, FPO AP 96521-0002 |
| Diplomatic representation from the US: | telephone: [86] (10) 6532-3831 |
| Diplomatic representation from the US: | FAX: [86] (10) 6532-3178 |
| Diplomatic representation from the US: | consulate(s) general: Chengdu, Guangzhou, Hong Kong and Macau, Shanghai, Shenyang |
| Flag description: | red with a large yellow five-pointed star and four smaller yellow five-pointed stars (arranged in a vertical arc toward the middle of the flag) in the upper hoist-side corner |
