| Government | China |
| --- | --- |
| Country name: | conventional long form: People's Republic of China |
| Country name: | conventional short form: China |
| Country name: | local long form: Zhonghua Renmin Gongheguo |
| Country name: | local short form: Zhongguo |
| Country name: | abbreviation: PRC |
| Government type: | Communist state |
| Capital: | name: Beijing |
| Capital: | geographic coordinates: 39 55 N, 116 23 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: despite its size, all of China falls within one time zone; many people in Xinjiang Province observe an unofficial "Xinjiang timezone" of UTC+6, two hours behind Beijing |
| Administrative divisions: | 23 provinces (sheng, singular and plural), 5 autonomous regions (zizhiqu, singular and plural), and 4 municipalities (shi, singular and plural) |
| Administrative divisions: | provinces: Anhui, Fujian, Gansu, Guangdong, Guizhou, Hainan, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang; (see note on Taiwan) |
| Administrative divisions: | autonomous regions: Guangxi, Nei Mongol, Ningxia, Xinjiang Uygur, Xizang (Tibet) |
| Administrative divisions: | municipalities: Beijing, Chongqing, Shanghai, Tianjin |
| Administrative divisions: | note: China considers Taiwan its 23rd province; see separate entries for the special administrative regions of Hong Kong and Macau |
| Independence: | 1 October 1949 (People's Republic of China established); notable earlier dates: 221 BC (unification under the Qin Dynasty); 1 January 1912 (Qing Dynasty replaced by the Republic of China) |
| National holiday: | Anniversary of the founding of the People's Republic of China, 1 October (1949) |
| Constitution: | most recent promulgation 4 December 1982 with amendments in 1988, 1993, 1999, 2004 |
| Legal system: | based on civil law system; derived from Soviet and continental civil code legal principles; legislature retains power to interpret statutes; constitution ambiguous on judicial review of legislation; party organs exercise authority over judiciary; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President HU Jintao (since 15 March 2003); Vice President XI Jinping (since 15 March 2008) |
| Executive branch: | head of government: Premier WEN Jiabao (since 16 March 2003); Executive Vice Premier LI Keqiang (17 March 2008), Vice Premier HUI Liangyu (since 17 March 2003), Vice Premier ZHANG Dejiang (since 17 March 2008), and Vice Premier WANG Qishan (since 17 March 2008) |
| Executive branch: | cabinet: State Council appointed by National People's Congress |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected by National People's Congress for a five-year term (eligible for a second term); elections last held on 15-17 March 2008 (next to be held in mid-March 2013); premier nominated by president, confirmed by National People's Congress |
| Executive branch: | election results: HU Jintao elected president by National People's Congress with a total of 2,963 votes; XI Jinping elected vice president with a total of 2,919 votes |
| Legislative branch: | unicameral National People's Congress or Quanguo Renmin Daibiao Dahui (2,987 seats; members elected by municipal, regional, and provincial people's congresses, and People's Liberation Army to serve five-year terms) |
| Legislative branch: | elections: last held in December 2007-February 2008 (date of next election to be held in late 2012 to early 2013) |
| Legislative branch: | election results: percent of vote - NA; seats - 2,987 |
| Legislative branch: | note: only members of the CCP, its eight allied parties, and sympathetic independent candidates are elected |
| Judicial branch: | Supreme People's Court (judges appointed by the National People's Congress); Local People's Courts (comprise higher, intermediate, and basic courts); Special People's Courts (primarily military, maritime, railway transportation, and forestry courts) |
| Political parties and leaders: | Chinese Communist Party or CCP [HU Jintao]; eight registered small parties controlled by CCP |
| Political pressure groups and leaders: | no substantial political opposition groups exist |
| International organization participation: | ADB, AfDB (nonregional member), APEC, ARF, ASEAN (dialogue partner), BIS, CDB, CICA, EAS, FAO, FATF, G-20, G-24 (observer), G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAIA (observer), MIGA, MINURSO, MONUSCO, NAM (observer), NSG, OAS (observer), OPCW, PCA, PIF (partner), SAARC (observer), SCO, SICA (observer), UN, UN Security Council, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNITAR, UNMIL, UNMIS, UNMIT, UNOCI, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador ZHANG Yesui |
| Diplomatic representation in the US: | chancery: 3505 International Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 495-2266 |
| Diplomatic representation in the US: | FAX: [1] (202) 495-2190 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, New York, San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Jon M. HUNTSMAN, Jr. |
| Diplomatic representation from the US: | embassy: 55 An Jia Lou Lu, 100600 Beijing |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 50, FPO AP 96521-0002 |
| Diplomatic representation from the US: | telephone: [86] (10) 8531-3000 |
| Diplomatic representation from the US: | FAX: [86] (10) 8531-3300 |
| Diplomatic representation from the US: | consulate(s) general: Chengdu, Guangzhou, Shanghai, Shenyang, Wuhan |
| Flag description: | red with a large yellow five-pointed star and four smaller yellow five-pointed stars (arranged in a vertical arc toward the middle of the flag) in the upper hoist-side corner; the color red represents revolution, while the stars symbolize the four social classes - the working class, the peasantry, the urban petty bourgeoisie, and the national bourgeoisie (capitalists) - united under the Communist Party of China |
| National anthem: | name: "Yiyonggjun Jinxingqu" (The March of the Volunteers) |
| National anthem: | lyrics/music: TIAN Han/NIE Er |
| National anthem: | note: adopted 1949; the anthem, though banned during the Cultural Revolution, is more commonly known as "Zhongguo Guoge" (Chinese National Song); it was originally the theme song to the 1935 Chinese movie, "Sons and Daughters in a Time of Storm" |
