| Government | Tunisia |
| --- | --- |
| Country name: | conventional long form: Republic of Tunisia |
| Country name: | conventional short form: Tunisia |
| Country name: | local long form: Al Jumhuriyah at Tunisiyah |
| Country name: | local short form: Tunis |
| Country name: | etymology: the country name derives from the capital city of Tunis |
| Government type: | parliamentary republic |
| Capital: | name: Tunis |
| Capital: | geographic coordinates: 36 48 N, 10 11 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: three possibilities exist for the derivation of the name; originally a Berber settlement (earliest reference 4th century B.C.), the strategic site fell to the Carthaginians (Phoenicians) and the city could be named after the Punic goddess Tanit, since many ancient cities were named after patron deities; alternatively, the Berber root word "ens," which means "to lie down" or "to pass the night," may indicate that the site was originally a camp or rest stop; finally, the name may be the same as the city of Tynes, mentioned in the writings of some ancient authors |
| Administrative divisions: | 24 governorates (wilayat, singular - wilayah); Beja (Bajah), Ben Arous (Bin 'Arus), Bizerte (Banzart), Gabes (Qabis), Gafsa (Qafsah), Jendouba (Jundubah), Kairouan (Al Qayrawan), Kasserine (Al Qasrayn), Kebili (Qibili), Kef (Al Kaf), L'Ariana (Aryanah), Mahdia (Al Mahdiyah), Manouba (Manubah), Medenine (Madanin), Monastir (Al Munastir), Nabeul (Nabul), Sfax (Safaqis), Sidi Bouzid (Sidi Bu Zayd), Siliana (Silyanah), Sousse (Susah), Tataouine (Tatawin), Tozeur (Tawzar), Tunis, Zaghouan (Zaghwan) |
| Independence: | 20 March 1956 (from France) |
| National holiday: | Independence Day, 20 March (1956); Revolution and Youth Day, 14 January (2011) |
| Constitution: | history: several previous; latest approved by Constituent Assembly 26 January 2014, signed by the president, prime minister, and Constituent Assembly speaker 27 January 2014 |
| Constitution: | amendments: proposed by the president of the republic or by one third of the Assembly of the Representatives of the People membership; following review by the Constitutional Court, approval to proceed requires an absolute majority vote by the Assembly and final passage requires a two-thirds majority vote by the Assembly; the president can opt to submit an amendment to a referendum, which requires an absolute majority of votes cast for passage (2017) |
| Legal system: | mixed legal system of civil law, based on the French civil code and Islamic (sharia) law; some judicial review of legislative acts in the Supreme Court in joint session |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Tunisia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal except for active government security forces (including the police and the military), people with mental disabilities, people who have served more than three months in prison (criminal cases only), and people given a suspended sentence of more than six months |
| Executive branch: | chief of state: President Kais SAIED (elected 13 October, sworn in 23 October 2019) |
| Executive branch: | head of government: Prime Minister Youssef CHAHED (since 27 August 2016); on 15 November 2019, President SAIED asks Habib JEMLI to form a government |
| Executive branch: | cabinet: selected by the prime minister and approved by the Assembly of the Representatives of the People |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); last held on 15 September 2019 with a runoff on 13 October 2019 (next to beÂ held in 2024); following legislative elections, the prime minister is selected by the majority party or majority coalition and appointed by the president |
| Executive branch: | election results: |
