| Government | TUNISIA |
| --- | --- |
| Country name: | conventional long form: Republic of Tunisia |
| Country name: | conventional short form: Tunisia |
| Country name: | local long form: Al Jumhuriyah at Tunisiyah |
| Country name: | local short form: Tunis |
| Country name: | note: the country name derives from the capital city of Tunis |
| Government type: | parliamentary republic |
| Capital: | name: Tunis |
| Capital: | geographic coordinates: 36 48 N, 10 11 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 24 governorates (wilayat, singular - wilayah); Beja (Bajah), Ben Arous (Bin 'Arus), Bizerte (Banzart), Gabes (Qabis), Gafsa (Qafsah), Jendouba (Jundubah), Kairouan (Al Qayrawan), Kasserine (Al Qasrayn), Kebili (Qibili), Kef (Al Kaf), L'Ariana (Aryanah), Mahdia (Al Mahdiyah), Manouba (Manubah), Medenine (Madanin), Monastir (Al Munastir), Nabeul (Nabul), Sfax (Safaqis), Sidi Bouzid (Sidi Bu Zayd), Siliana (Silyanah), Sousse (Susah), Tataouine (Tatawin), Tozeur (Tawzar), Tunis, Zaghouan (Zaghwan) |
| Independence: | 20 March 1956 (from France) |
| National holiday: | Independence Day, 20 March (1956); Revolution and Youth Day, 14 January (2011) |
| Constitution: | several previous; latest approved by Constituent Assembly 26 January 2014, signed by president on 27 January 2014 (2016) |
| Legal system: | mixed legal system of civil law, based on the French civil code, and Islamic law; some judicial review of legislative acts in the Supreme Court in joint session |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Tunisia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal except for active government security forces (including the police and the military), people with mental disabilities, people who have served more than three months in prison (criminal cases only), and people given a suspended sentence of more than six months |
| Executive branch: | chief of state: President Beji CAID ESSEBSI (since 31 December 2014) |
| Executive branch: | head of government: Prime Minister Youssef CHAHED (since 27 August 2016) |
| Executive branch: | cabinet: selected by the prime minister and approved by the Constituent Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 23 November and 21 December 2014 (next to be held in 2019); following legislative elections, the prime minister is selected by the majority party or majority coalition and appointed by the president |
| Executive branch: | election results: Beji CAID ESSEBSI elected president; percent of vote in runoff - Beji CAID ESSEBSI (Tunisia's Call) 55.7%, Moncef MARZOUKI (CPR) 44.3% |
| Legislative branch: | description: unicameral Chamber of the People's Deputies (217 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: initial election held on 26 October 2014 (next to be held in 2019) |
| Legislative branch: | election results: percent of vote by party - Tunisia's Call 39.6%, al-Nahda 31.8%, UPL 7.4%, Popular Front 6.9%, Afek Tounes 3.7%, CPR 1.8%, other 8.8%; seats by party - Tunisia's Call 86, al-Nahda 69, UPL 16, Popular Front 15, Afek Tounes 8, CPR 4, other 17, independent 2 |
| Judicial branch: | highest court(s): Court of Cassation or Cour de Cassation (organized into 1 civil and 3 criminal chambers); Constitutional Court (consists of 12 members) |
