| Government | Tunisia |
| --- | --- |
| Country name: | conventional long form: Tunisian Republic |
| Country name: | conventional short form: Tunisia |
| Country name: | local long form: Al Jumhuriyah at Tunisiyah |
| Country name: | local short form: Tunis |
| Government type: | republic |
| Capital: | name: Tunis |
| Capital: | geographic coordinates: 36 48 N, 10 11 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 24 governorates (wilayat, singular - wilayah); Beja (Bajah), Ben Arous (Bin 'Arus), Bizerte (Banzart), Gabes (Qabis), Gafsa (Qafsah), Jendouba (Jundubah), Kairouan (Al Qayrawan), Kasserine (Al Qasrayn), Kebili (Qibili), Kef (Al Kaf), L'Ariana (Aryanah), Mahdia (Al Mahdiyah), Manouba (Manubah), Medenine (Madanin), Monastir (Al Munastir), Nabeul (Nabul), Sfax (Safaqis), Sidi Bouzid (Sidi Bu Zayd), Siliana (Silyanah), Sousse (Susah), Tataouine (Tatawin), Tozeur (Tawzar), Tunis, Zaghouan (Zaghwan) |
| Independence: | 20 March 1956 (from France) |
| National holiday: | Independence Day, 20 March (1956); Revolution and Youth Day, 14 January (2011) |
| Constitution: | several previous; latest approved by Constituent Assembly 26 January 2014 (2014) |
| Legal system: | mixed legal system of civil law, based on the French civil code, and Islamic law; some judicial review of legislative acts in the Supreme Court in joint session |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal except for active government security forces (including the police and the military), people with mental disabilities, people who have served more than three months in prison (criminal cases only), and people given a suspended sentence of more than six months |
| Executive branch: | note: |
| Executive branch: | the interim government remains in power pending a general election slated for late 2014 |
| Executive branch: | chief of state: President Moncef MARZOUKI (since 12 December 2011) |
| Executive branch: | head of government: Prime Minister Mehdi JOMAA (since 29 January 2014) |
| Executive branch: | cabinet: selected by the prime minister and approved by the Constituent Assembly |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by Constituent Assembly; election last held on 12 December 2011 (next to be held NA); prime minister appointed by the president |
| Executive branch: | election results: President MARZOUKI re-elected president; Constituent Assembly vote - 153 of 156 |
| Legislative branch: | unicameral Constituent Assembly (217 seats); note - the legislative role of the Constituent Assembly remains unclear |
| Legislative branch: | elections: initial election of 217 Constituent Assembly members held on 23 October 2011 (next to be held NA) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - al-Nahda 89, CPR 29, Popular Petition 26, FDTL 20, PDP 16, PDM 5, The Initiative 5, Afek Tounes 4, PCOT 3, other minor parties each with fewer than three seats 20 |
| Judicial branch: | highest court(s): Court of Cassation or Cour de Cassation (organized into civil and criminal chambers and consists of NA judges) |
| Judicial branch: | judge selection and term of office: judges nominated by the Higher Magistracy Council (also called the Superior Council of the Judiciary), a 7-member body of judges and prosecutors; judges appointed by presidential decree; judge tenure NA |
| Judicial branch: | subordinate courts: Administrative Court; Courts of Appeal; Housing Court; courts of first instance; lower district courts; military courts |
| Political parties and leaders: | Afek Tounes [Emna MINF] |
| Political parties and leaders: | Alliance for Tunisia (a coalition of Tunisia's Call [Beji Caid ESSEBSI], Republican Party [Maya JRIBI and Najib CHBBI],Democratic Path [Ahmed BRAHIM]) |
| Political parties and leaders: | al-Nahda (The Renaissance) [Rachid GHANNOUCHI] |
| Political parties and leaders: | Congress Party for the Republic or CPR [Moncef MARZOUKI] |
| Political parties and leaders: | Democratic Forum for Labor and Liberties or FDTL (Ettakatol) [Mustapha Ben JAAFAR] |
| Political parties and leaders: | Democratic Modernist Pole or PDM (a coalition) |
| Political parties and leaders: | Democratic Socialist Movement or MDS |
| Political parties and leaders: | Et-Tajdid Movement [Ahmed IBRAHIM] |
| Political parties and leaders: | Green Party for Progress or PVP [Mongi KHAMASSI] |
| Political parties and leaders: | Liberal Social Party or PSL [Mondher THABET] |
| Political parties and leaders: | Movement of Socialist Democrats or MDS [Ismail BOULAHYA] |
| Political parties and leaders: | Popular Petition (Aridha Chaabia) [Hachemi HAMDI] |
| Political parties and leaders: | Popular Unity Party or PUP [Mohamed BOUCHIHA] |
| Political parties and leaders: | Progressive Democratic Party or PDP [Maya JERIBI] |
| Political parties and leaders: | The Initiative [Kamel MORJANE] (formerly the Constitutional Democratic Rally or RCD) |
| Political parties and leaders: | Tunisian Workers' Communist Party or PCOT [Hamma HAMMAMI] |
| Political parties and leaders: | Unionist Democratic Union or UDU [Ahmed INOUBLI] |
| Political pressure groups and leaders: | 18 October Group [collective leadership]; Tunisian League for Human Rights or LTDH [Mokhtar TRIFI]; Tunisian General Labor Union or UGTT [Hassine ABASSI] |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BSEC (observer), CD, EBRD, FAO, G-11, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MONUSCO, NAM, OAPEC, OAS (observer), OIC, OIF, OPCW, OSCE (partner), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mhamed Ezzine CHELAIFA (since 10 March 2014) |
| Diplomatic representation in the US: | chancery: 1515 Massachusetts Avenue NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-1850 |
| Diplomatic representation in the US: | FAX: [1] (202) 862-1858 |
| Diplomatic representation from the US: | chief of mission: Ambassador Jake WALLES (since 24 July 2012) |
| Diplomatic representation from the US: | embassy: Zone Nord-Est des Berges du Lac Nord de Tunis 1053 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [216] 71 107-000 |
| Diplomatic representation from the US: | FAX: [216] 71 963-263 |
| Flag description: | red with a white disk in the center bearing a red crescent nearly encircling a red five-pointed star; resembles the Ottoman flag (red banner with white crescent and star) and recalls Tunisia's history as part of the Ottoman Empire; red represents the blood shed by martyrs in the struggle against oppression, white stands for peace; the crescent and star are traditional symbols of Islam |
| Flag description: | note: the flag is based on that of Turkey, itself a successor state to the Ottoman Empire |
| National symbol(s): | encircled red star and crescent |
| National anthem: | name: "Humat Al Hima" (Defenders of the Homeland) |
| National anthem: | lyrics/music: Mustafa Sadik AL-RAFII and Aboul-Qacem ECHEBBI/Mohamad Abdel WAHAB |
| National anthem: | note: adopted 1957, replaced 1958, restored 1987; Mohamad Abdel WAHAB also composed the music for the anthem of the United Arab Emirates |
