| Government | Japan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Japan |
| Country name: | local long form: Nihon-koku/Nippon-koku |
| Country name: | local short form: Nihon/Nippon |
| Country name: | etymology: the English word for Japan comes via the Chinese name for the country "Cipangu"; both Nihon and Nippon mean "where the sun originates" and are frequently translated as "Land of the Rising Sun" |
| Government type: | parliamentary constitutional monarchy |
| Capital: | name: Tokyo |
| Capital: | geographic coordinates: 35 41 N, 139 45 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: originally known as Edo, meaning "estuary" in Japanese, the name was changed to Tokyo, meaning "eastern capital," in 1868 |
| Administrative divisions: | 47 prefectures; Aichi, Akita, Aomori, Chiba, Ehime, Fukui, Fukuoka, Fukushima, Gifu, Gunma, Hiroshima, Hokkaido, Hyogo, Ibaraki, Ishikawa, Iwate, Kagawa, Kagoshima, Kanagawa, Kochi, Kumamoto, Kyoto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Oita, Okayama, Okinawa, Osaka, Saga, Saitama, Shiga, Shimane, Shizuoka, Tochigi, Tokushima, Tokyo, Tottori, Toyama, Wakayama, Yamagata, Yamaguchi, Yamanashi |
| Independence: | 3 May 1947 (current constitution adopted as amendment to Meiji Constitution); notable earlier dates: 11 February 660 B.C. (mythological date of the founding of the nation by Emperor JIMMU); 29 November 1890 (Meiji Constitution provides for constitutional monarchy) |
| National holiday: | Birthday of Emperor NARUHITO, 23 February (1960); note - celebrates the birthday of the current emperor |
| Constitution: | history: previous 1890; latest approved 6 October 1946, adopted 3 November 1946, effective 3 May 1947 |
| Constitution: | amendments: proposed by the Diet; passage requires approval by at least two-thirds majority of both houses of the Diet and approval by majority in a referendum; note - the constitution has not been amended since its enactment in 1947 (2017) |
| Legal system: | civil law system based on German model; system also reflects Anglo-American influence and Japanese traditions; judicial review of legislative acts in the Supreme Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Japan |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Emperor NARUHITO (since 1 May 2019); note - succeeds his father who abdicated on 30 April 2019 |
| Executive branch: | head of government: Prime Minister Shinzo ABE (since 26 December 2012); Deputy Prime Minister Taro ASO (since 26 December 2012) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; the leader of the majority party or majority coalition in the House of Representatives usually becomes prime minister |
| Legislative branch: | description: bicameral Diet or Kokkai consists of: |
| Legislative branch: | House of Councillors or Sangi-in (242 seats; 146 members directly elected in multi-seat districts by simple majority vote and 96 directly elected in a single national constituency by proportional representation vote; members serve 6-year terms with half the membership renewed every 3 years) |
| Legislative branch: | House of Representatives or Shugi-in (465 seats; 289 members directly elected in single-seat districts by simple majority vote and 176 directly elected in multi-seat districts by party-list proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | House of Councillors - last held on 10 July 2016 (next to be held in July 2019) |
| Legislative branch: | House of Representatives - last held on 22 October 2017 (next to be held by 21 October 2021) |
| Legislative branch: | election results: |
| Legislative branch: | House of Councillors - percent of vote by party - NA; seats by party - LDP 55, DP 32, Komeito 14, JCP 6, Osaka Ishin no Kai (Initiatives from Osaka) 7, PLPTYF 1, SDP 1, independent 5 |
| Legislative branch: | House of Representatives - percent of vote by party - NA; seats by party - LDP 284, CDP 55, Party of Hope 50, Komeito 29, JCP 12, JIP 11, SDP 2, independent 22 |
| Legislative branch: | note: the Diet in June 2017 redrew Japan's electoral district boundaries and reduced from 475 to 465 seats in the House of Representatives; the amended electoral law, which cuts 6 seats in single-seat districts and 4 in multi-seat districts, was reportedly intended to reduce voting disparities between densely and sparsely populated voting districts |
| Judicial branch: | highest courts: Supreme Court or Saiko saibansho (consists of the chief justice and 14 associate justices); note - the Supreme Court has jurisdiction in constitutional issues |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice designated by the Cabinet and appointed by the monarch; associate justices appointed by the Cabinet and confirmed by the monarch; all justices are reviewed in a popular referendum at the first general election of the House of Representatives following each judge's appointment and every 10 years afterward |
| Judicial branch: | subordinate courts: 8 High Courts (Koto-saiban-sho), each with a Family Court (Katei-saiban-sho); 50 District Courts (Chiho saibansho), with 203 additional branches; 438 Summary Courts (Kani saibansho) |
| Political parties and leaders: | Constitutional Democratic Party of Japan or CDP [Yukio EDANO] |
| Political parties and leaders: | Democratic Party of Japan or DPJ [Kohei OTSUKA] |
| Political parties and leaders: | Group of Reformists [Sakihito OZAWA] |
| Political parties and leaders: | Initiatives from Osaka (Osaka Ishin no kai) [Ichiro MATSUI] |
