| Government | Japan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Japan |
| Government type: | constitutional monarchy with a parliamentary government |
| Capital: | Tokyo |
| Administrative divisions: | 47 prefectures; Aichi, Akita, Aomori, Chiba, Ehime, Fukui, Fukuoka, Fukushima, Gifu, Gumma, Hiroshima, Hokkaido, Hyogo, Ibaraki, Ishikawa, Iwate, Kagawa, Kagoshima, Kanagawa, Kochi, Kumamoto, Kyoto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Oita, Okayama, Okinawa, Osaka, Saga, Saitama, Shiga, Shimane, Shizuoka, Tochigi, Tokushima, Tokyo, Tottori, Toyama, Wakayama, Yamagata, Yamaguchi, Yamanashi |
| Independence: | 660 BC (traditional founding by Emperor Jimmu) |
| National holiday: | Birthday of Emperor AKIHITO, 23 December (1933) |
| Constitution: | 3 May 1947 |
| Legal system: | modeled after European civil law system with English-American influence; judicial review of legislative acts in the Supreme Court; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: Emperor AKIHITO (since 7 January 1989) |
| Executive branch: | note: following the resignation of Prime Minister Yoshiro MORI, Junichiro KOIZUMI was elected as the new president of the majority Liberal Democratic Party, and soon thereafter designated by the Diet to become the next prime minister |
| Executive branch: | elections: none; the monarch is hereditary; the Diet designates the prime minister; the constitution requires that the prime minister must command a parliamentary majority, therefore, following legislative elections, the leader of the majority party or leader of a majority coalition in the House of Representatives usually becomes prime minister |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | head of government: Prime Minister Junichiro KOIZUMI (since 24 April 2001) |
| Legislative branch: | bicameral Diet or Kokkai consists of the House of Councillors or Sangi-in (247 seats - formerly 252; one-half of the members elected every three years - 73 seats of which are elected from the 47 multi-seat prefectural districts and 48 of which are elected from a single nationwide list; members elected by popular vote to serve six-year terms) and the House of Representatives or Shugi-in (480 seats - 180 of which are elected from 11 regional blocks on a proportional representation basis and 300 of which are elected from 300 single-seat districts; members elected by popular vote to serve four-year terms) |
| Legislative branch: | election results: House of Councillors - percent of vote by party - NA%; seats by party - LDP 110, DPJ 59, Komeito 23, JCP 20, SDP 8, Liberal Party 8, Conservative Party 5, independents 14; note - the distribution of seats as of January 2002 is: LDP 115, DPJ 60, Komeito 24, JCP 20, SDP 8, Liberal Party 8, independents 6, others 6; House of Representatives - percent of vote by party - NA%; seats by party - LDP 233, DPJ 127, Komeito 31, Liberal Party 22, JCP 20, SDP 19, other 28; note - the distribution of seats as of January 2002 is: LDP 242, DPJ 126, Komeito 31, Liberal Party 22, JCP 20, SDP 19, NCP 7, other 13 |
| Legislative branch: | elections: House of Councillors - last held 29 July 2001 (next to be held NA July 2004); House of Representatives - last held 25 June 2000 (next must be held by June 2004, but may occur sooner) |
| Judicial branch: | Supreme Court (chief justice is appointed by the monarch after designation by the cabinet; all other justices are appointed by the cabinet) |
| Political parties and leaders: | Democratic Party of Japan or DPJ [Yukio HATOYAMA, leader, Naoto KAN, secretary general]; Japan Communist Party or JCP [Tetsuzo FUWA, chairman, Tadayeshi ICHIDA, secretary general]; Komeito [Takenori KANZAKI, president, Tetsuzo FUYUSHIBA, secretary general]; Liberal Democratic Party or LDP [Junichiro KOIZUMI, president, Taku YAMASAKI, secretary general]; Liberal Party [Ichiro OZAWA, president, Hirohisa FUJII, secretary general]; New Conservative Party or NCP [Takeshi NODA, president, Toshihiro NIKAI, secretary general]; Social Democratic Party or SDP [Takako DOI, chairperson, Mizuho FUKUSHIMA, secretary general] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AfDB, APEC, ARF (dialogue partner), AsDB, ASEAN (dialogue partner), Australia Group, BIS, CCC, CE (observer), CERN (observer), CP, EBRD, ESCAP, FAO, G- 5, G- 7, G- 8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNITAR, UNMOVIC, UNRWA, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Ryozo KATO |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2187 |
| Diplomatic representation in the US: | consulate(s): Saipan (Northern Mariana Islands) |
| Diplomatic representation in the US: | consulate(s) general: Anchorage, Atlanta, Boston, Chicago, Denver, Detroit, Hagatna (Guam), Honolulu, Houston, Kansas City (Missouri), Los Angeles, Miami, New Orleans, New York, Portland (Oregon), San Francisco, and Seattle |
| Diplomatic representation in the US: | chancery: 2520 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6700 |
| Diplomatic representation from the US: | chief of mission: Ambassador Howard H. BAKER, Jr. |
| Diplomatic representation from the US: | embassy: 1-10-5 Akasaka, Minato-ku, Tokyo 107-8420 |
| Diplomatic representation from the US: | mailing address: Unit 45004, Box 205, APO AP 96337-5004 |
| Diplomatic representation from the US: | telephone: [81] (03) 3224-5000 |
| Diplomatic representation from the US: | FAX: [81] (03) 3505-1862 |
| Diplomatic representation from the US: | consulate(s) general: Naha (Okinawa), Osaka-Kobe, Sapporo |
| Diplomatic representation from the US: | consulate(s): Fukuoka, Nagoya |
| Flag description: | white with a large red disk (representing the sun without rays) in the center |
