| Government | Kiribati |
| --- | --- |
| Country name: | conventional long form: Republic of Kiribati |
| Country name: | conventional short form: Kiribati |
| Country name: | former: Gilbert Islands |
| Country name: | note: pronounced kir-ih-bahss |
| Government type: | republic |
| Capital: | Tarawa |
| Administrative divisions: | 3 units; Gilbert Islands, Line Islands, Phoenix Islands; note - in addition, there are 6 districts (Banaba, Central Gilberts, Line Islands, Northern Gilberts, Southern Gilberts, Tarawa) and 21 island councils - one for each of the inhabited islands (Abaiang, Abemama, Aranuka, Arorae, Banaba, Beru, Butaritari, Kanton, Kiritimati, Kuria, Maiana, Makin, Marakei, Nikunau, Nonouti, Onotoa, Tabiteuea, Tabuaeran, Tamana, Tarawa, Teraina) |
| Independence: | 12 July 1979 (from UK) |
| National holiday: | Independence Day, 12 July (1979) |
| Constitution: | 12 July 1979 |
| Legal system: | NA |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Teburoro TITO (since 1 October 1994); Vice President Beniamina TIINGA (since NA December 2000); note - the president is both the chief of state and head of government |
| Executive branch: | elections: the House of Parliament chooses the presidential candidates from among their members and then those candidates compete in a general election; president is elected by popular vote for a four-year term; election last held 25 February 2003 (next to be held by November 2007); vice president appointed by the president |
| Executive branch: | election results: Teburoro TITO reelected president; percent of vote - Teburoro TITO 50.4%, Taberannang TIMEON 48.4%, Bakeua Bakeua TEKITA 1.2% |
| Executive branch: | cabinet: 12-member Cabinet appointed by the president from among the members of the House of Parliament |
| Executive branch: | head of government: President Teburoro TITO (since 1 October 1994); Vice President Beniamina TIINGA (since NA December 2000); note - the president is both the chief of state and head of government |
| Legislative branch: | unicameral House of Parliament or Maneaba Ni Maungatabu (42 seats; 39 elected by popular vote, one ex officio member - the attorney general, one appointed to represent Banaba, and one other; members serve four-year terms) |
| Legislative branch: | elections: first round elections last held 29 November 2002; second round elections held 6 December 2002 (next to be held by November 2006) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - BTK 17, MTM 16, independents 7, other 2 (includes attorney general) |
| Judicial branch: | Court of Appeal; High Court; 26 Magistrates' courts; judges at all levels are appointed by the president |
| Political parties and leaders: | Boutokaan Te Koaua Party or BTK [Taberannang TIMEON]; Maneaban Te Mauri Party or MTM [Teburoro TITO]; National Progressive Party or NPP [Dr. Harry TONG] |
| Political parties and leaders: | note: there is no tradition of formally organized political parties in Kiribati; they more closely resemble factions or interest groups because they have no party headquarters, formal platforms, or party structures |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, C, ESCAP, FAO, IBRD, ICAO, ICFTU, ICRM, IDA, IFC, IFRCS, ILO, IMF, ITU, OPCW, Sparteca, SPC, SPF, UN, UNESCO, UPU, WHO, WTrO (applicant) |
| Diplomatic representation in the US: | Kiribati does not have an embassy in the US; there is an honorary consulate in Honolulu |
| Diplomatic representation from the US: | the US does not have an embassy in Kiribati; the ambassador to the Marshall Islands is accredited to Kiribati |
| Flag description: | the upper half is red with a yellow frigate bird flying over a yellow rising sun, and the lower half is blue with three horizontal wavy white stripes to represent the ocean |
