| Government | Latvia |
| --- | --- |
| Country name: | conventional long form: Republic of Latvia |
| Country name: | conventional short form: Latvia |
| Country name: | local long form: Latvijas Republika |
| Country name: | local short form: Latvija |
| Country name: | former: Latvian Soviet Socialist Republic |
| Government type: | parliamentary democracy |
| Capital: | name: Riga |
| Capital: | geographic coordinates: 56 57 N, 24 06 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 26 counties (singular - rajons) and 7 municipalities*: Aizkraukles Rajons, Aluksnes Rajons, Balvu Rajons, Bauskas Rajons, Cesu Rajons, Daugavpils*, Daugavpils Rajons, Dobeles Rajons, Gulbenes Rajons, Jekabpils Rajons, Jelgava*, Jelgavas Rajons, Jurmala*, Kraslavas Rajons, Kuldigas Rajons, Liepaja*, Liepajas Rajons, Limbazu Rajons, Ludzas Rajons, Madonas Rajons, Ogres Rajons, Preilu Rajons, Rezekne*, Rezeknes Rajons, Riga*, Rigas Rajons, Saldus Rajons, Talsu Rajons, Tukuma Rajons, Valkas Rajons, Valmieras Rajons, Ventspils*, Ventspils Rajons |
| Independence: | 21 August 1991 (from Soviet Union) |
| National holiday: | Independence Day, 18 November (1918); note - 18 November 1918 is the date Latvia declared itself independent from Soviet Russia; 4 May 1990 is when it declared the renewal of independence; 21 August 1991 is the date of de facto independence from the Soviet Union |
| Constitution: | 15 February 1922; an October 1998 amendment on Fundamental Human Rights replaced the 1991 Constitutional Law, which had supplemented the constitution |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal for Latvian citizens |
| Executive branch: | chief of state: President Vaira VIKE-FREIBERGA (since 8 July 1999) |
| Executive branch: | head of government: Prime Minister Aigars KALVITIS (since 2 December 2004) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister and appointed by the Parliament |
| Executive branch: | elections: president reelected by Parliament for a four-year term (no term limits); election last held 20 June 2003 (next to be held by June 2007); prime minister appointed by the president |
| Executive branch: | election results: Vaira VIKE-FREIBERGA reelected president; parliamentary vote - Vaira VIKE-FREIBERGA 88 of 94 votes cast |
| Legislative branch: | unicameral Parliament or Saeima (100 seats; members are elected by direct, popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 7 October 2006 (next to be held October 2010) |
| Legislative branch: | election results: percent of vote by party - TP 19.5%, ZZS 16.7%, JL 16.4%, SC 14.4%; LPP/LC 8.6%; TB/LNNK 7%; PCTVL 6%; seats by party - TP 23, ZZS 18, JL 18, SC 17, LPP/LC 10, TB/LNNK 8, PCTVL 6 |
| Judicial branch: | Supreme Court (judges' appointments are confirmed by Parliament) |
| Political parties and leaders: | First Party of Latvia or LPP [Juris LUJANS]; For Human Rights in a United Latvia or PCTVL [Tatjana ZDANOKA, Jakovs PLINERS]; For the Fatherland and Freedom/Latvian National Independence Movement or TB/LNNK [Janis STRAUME]; Harmony Center or SC [Sergejs DOLGOPOLOVS]; Latvian Green Party or ZZS [Indulis EMSIS, Viesturs SILENIEKS, Raimonds VEJONIS]; Latvian Farmer's Union or LZS [Augusts BRIGMANIS]; Latvian Social Democratic Workers Party (Social Democrats) or LSDSP [Juris BOJARS]; Latvian Socialist Party or LSP [Alfreds RUBIKS]; Latvia's Way or LC [Ivars GODMANIS]; New Democrats or JD [Maris GULBIS]; New Era Party or JL [Einars REPSE]; People's Harmony Party or TSP [Aivars DATAVS]; People's Party or TP [Atis SLAKTERIS]; Social Democratic Union or SDS [Egils BALDZENS] |
| Political pressure groups and leaders: | Headquarters for the Protection of Russian Schools (SHTAB) [Aleksandr KAZAKOV] |
| International organization participation: | Australia Group, BA, BIS, CBSS, CE, EAPC, EBRD, EIB, EU (new member), FAO, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, NATO, NIB, NSG, OAS (observer), OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UPU, WCO, WEU (associate partner), WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Maris RIEKSTINS |
| Diplomatic representation in the US: | chancery: 2306 Massachusetts Ave. NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-2840 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2860 |
| Diplomatic representation from the US: | chief of mission: Ambassador Catherine TODD BAILEY |
| Diplomatic representation from the US: | embassy: 7 Raina Boulevard, Riga LV-1510 |
| Diplomatic representation from the US: | mailing address: American Embassy Riga, PSC 78, Box Riga, APO AE 09723 |
| Diplomatic representation from the US: | telephone: [371] 703-6200 |
| Diplomatic representation from the US: | FAX: [371] 782-0047 |
| Flag description: | three horizontal bands of maroon (top), white (half-width), and maroon |
