| Government | Latvia |
| --- | --- |
| Country name: | conventional long form: Republic of Latvia |
| Country name: | conventional short form: Latvia |
| Country name: | local long form: Latvijas Republika |
| Country name: | local short form: Latvija |
| Country name: | former: Latvian Soviet Socialist Republic |
| Country name: | etymology: the name "Latvia" originates from the ancient Latgalians, one of four eastern Baltic tribes that formed the ethnic core of the Latvian people (ca. 8th-12th centuries A.D.) |
| Government type: | parliamentary republic |
| Capital: | name: Riga |
| Capital: | geographic coordinates: 56 57 N, 24 06 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: of the several theories explaining the name's origin, the one relating to the city's role in Baltic and North Sea commerce is the most probable; the name is likely related to the Latvian word "rija," meaning "warehouse," where the 'j' became a 'g' under the heavy German influence in the city from the late Middle Ages to the early 20th century |
| Administrative divisions: | 110 municipalities (novadi, singular - novads) and 9 cities |
| Administrative divisions: | municipalities: Adazu Novads, Aglonas Novads, Aizkraukles Novads, Aizputes Novads, Aknistes Novads, Alojas Novads, Alsungas Novads, Aluksnes Novads, Amatas Novads, Apes Novads, Auces Novads, Babites Novads, Baldones Novads, Baltinavas Novads, Balvu Novads, Bauskas Novads, Beverinas Novads, Brocenu Novads, Burtnieku Novads, Carnikavas Novads, Cesu Novads, Cesvaines Novads, Ciblas Novads, Dagdas Novads, Daugavpils Novads, Dobeles Novads, Dundagas Novads, Durbes Novads, Engures Novads, Erglu Novads, Garkalnes Novads, Grobinas Novads, Gulbenes Novads, Iecavas Novads, Ikskiles Novads, Ilukstes Novads, Incukalna Novads, Jaunjelgavas Novads, Jaunpiebalgas Novads, Jaunpils Novads, Jekabpils Novads, Jelgavas Novads, Kandavas Novads, Karsavas Novads, Keguma Novads, Kekavas Novads, Kocenu Novads, Kokneses Novads, Kraslavas Novads, Krimuldas Novads, Krustpils Novads, Kuldigas Novads, Lielvardes Novads, Ligatnes Novads, Limbazu Novads, Livanu Novads, Lubanas Novads, Ludzas Novads, Madonas Novads, Malpils Novads, Marupes Novads, Mazsalacas Novads, Mersraga Novads, Nauksenu Novads, Neretas Novads, Nicas Novads, Ogres Novads, Olaines Novads, Ozolnieku Novads, Pargaujas Novads, Pavilostas Novads, Plavinu Novads, Preilu Novads, Priekules Novads, Priekulu Novads, Raunas Novads, Rezeknes Novads, Riebinu Novads, Rojas Novads, Ropazu Novads, Rucavas Novads, Rugaju Novads, Rujienas Novads, Rundales Novads, Salacgrivas Novads, Salas Novads, Salaspils Novads, Saldus Novads, Saulkrastu Novads, Sejas Novads, Siguldas Novads, Skriveru Novads, Skrundas Novads, Smiltenes Novads, Stopinu Novads, Strencu Novads, Talsu Novads, Tervetes Novads, Tukuma Novads, Vainodes Novads, Valkas Novads, Varaklanu Novads, Varkavas Novads, Vecpiebalgas Novads, Vecumnieku Novads, Ventspils Novads, Viesites Novads, Vilakas Novads, Vilanu Novads, Zilupes Novads; |
| Administrative divisions: | cities: Daugavpils, Jekabpils, Jelgava, Jurmala, Liepaja, Rezekne, Riga, Valmiera, Ventspils |
| Independence: | 4 May 1990 (declared independence from the Soviet Union); 6 September 1991 (recognized by the Soviet Union) |
| National holiday: | Independence Day (Republic of Latvia Proclamation Day), 18 November (1918); note - 18 November 1918 was the date Latvia established its statehood and its concomitant independence from Soviet Russia; 4 May 1990 was the date it declared the restoration of Latvian statehood and its concomitant independence from the Soviet Union |
| Constitution: | history: several previous (pre-1991 independence); note - following the restoration of independence in 1991, parts of the 1922 constitution were reintroduced 4 May 1990 and fully reintroduced 6 July 1993 |
| Constitution: | amendments: proposed by two thirds of Parliament members or by petition of one tenth of qualified voters submitted through the president; passage requires at least two-thirds majority vote of Parliament in each of three readings; amendment of constitutional articles, including national sovereignty, language, the parliamentary electoral system, and constitutional amendment procedures, requires passage in a referendum by majority vote of at least one half of the electorate; amended several times, last in 2019 (2019) |
| Legal system: | civil law system with traces of socialist legal traditions and practices |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Latvia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Egils LEVITS (since 8 July 2019) |
| Executive branch: | head of government: Prime Minister Krisjanis KARINS (since 23 January 2019) |
| Executive branch: | cabinet: Cabinet of Ministers nominated by the prime minister, appointed by Parliament |
| Executive branch: | elections/appointments: president indirectly elected by Parliament for a 4-year term (eligible for a second term); election last held on 29 May 2019 (next to be held in 2023); prime minister appointed by the president, confirmed by Parliament |
| Executive branch: | election results: Egils LEVITS elected president; Parliament vote - Egils LEVITS 61 votes,Â Didzis SMITS 24, Juris JANSONS 8; Krisjanis KARINS confirmed prime minister 61-39 |
| Legislative branch: | description: unicameral Parliament or Saeima (100 seats; members directly elected in multi-seat constituencies by party list proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 6 October 2018 (next to be held in October 2022) |
| Legislative branch: | election results: percent of vote by party - SDPS 19.8%, KPV LV 14.3%, JKP 13.6%, AP! 12%, NA 11%, ZZS 9.9%, V 6.7%, other 12.7%; seats by party - SDPS 23, KPV LV 16, JKP 16, AP! 13, NA 13, ZZS 11, V 8; composition - men 69, women 31, percent of women 31% |
| Legislative branch: | note: since the October 2018 elections, several efforts to form a government around a new prime minister have proved unsuccessful |
| Judicial branch: | highest courts: Supreme Court (consists of the Senate with 36 judges); Constitutional Court (consists of 7 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by chief justice and confirmed by the Saeima; judges serve until age 70, but term can be extended 2 years; Constitutional Court judges - 3 nominated by Saeima members, 2 by Cabinet ministers, and 2 by plenum of Supreme Court; all judges confirmed by Saeima majority vote; Constitutional Court president and vice president serve in their positions for 3 years; all judges serve 10-year terms; mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: district (city) and regional courts |
| Political parties and leaders: | Development/For! or AP! [Daniels PAVLUTS, Juris PUCE] |
| Political parties and leaders: | National Alliance "All For Latvia!"-"For Fatherland and Freedom/LNNK" or NA [Raivis DZINTARS] New Conservative Party or JKP [Janis BORDANS] |
| Political parties and leaders: | Social Democratic Party "Harmony" or SDPS [Nils USAKOVS] Union of Greens and Farmers or ZZS [Armands KRAUZE] Unity or V [Arvils ASERADENS] |
| Political parties and leaders: | Who Owns the State? or KPV LV [Artuss KAIMINS] |
| International organization participation: | Australia Group, BA, BIS, CBSS, CD, CE, EAPC, EBRD, ECB, EIB, EMU, ESA (cooperating state), EU, FAO, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, NATO, NIB, NSG, OAS (observer), OIF (observer), OPCW, OSCE, PCA, Schengen Convention, UN, UNCTAD, UNESCO, UNHCR, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Andris TEIKMANIS (since 16 September 2016) |
| Diplomatic representation in the US: | chancery: 2306 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-2840 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2860 |
| Diplomatic representation from the US: | chief of mission: Ambassador John Leslie CARWILE (since 5 November 2019) |
| Diplomatic representation from the US: | telephone: [371] 6710-7000 |
| Diplomatic representation from the US: | embassy: 1 Samnera Velsa St, Riga LV-1510 |
| Diplomatic representation from the US: | mailing address: Embassy of the United States of America, 1 Samnera Velsa St, Riga, LV-1510, Latvia |
| Diplomatic representation from the US: | FAX: [371] 6710-7050 |
| Flag description: | three horizontal bands of maroon (top), white (half-width), and maroon; the flag is one of the older banners in the world; a medieval chronicle mentions a red standard with a white stripe being used by Latvian tribes in about 1280 |
| National symbol(s): | white wagtail (bird); national colors: maroon, white |
| National anthem: | name: "Dievs, sveti Latviju!" (God Bless Latvia) |
| National anthem: | lyrics/music: Karlis BAUMANIS |
| National anthem: | note: adopted 1920, restored 1990; first performed in 1873 while Latvia was a part of Russia; banned during the Soviet occupation from 1940 to 1990 |
