| Government | Belgium |
| --- | --- |
| Country name: | conventional long form: Kingdom of Belgium |
| Country name: | conventional short form: Belgium |
| Country name: | local long form: Royaume de Belgique (French)/Koninkrijk Belgie (Dutch)/Koenigreich Belgien (German) |
| Country name: | local short form: Belgique/Belgie/Belgien |
| Government type: | federal parliamentary democracy under a constitutional monarchy |
| Capital: | name: Brussels |
| Capital: | geographic coordinates: 50 50 N, 4 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 3 regions (French: regions, singular - region; Dutch: gewesten, singular - gewest); Brussels-Capital Region, also known as Brussels Hoofdstedelijk Gewest (Dutch), Region de Bruxelles-Capitale (French long form), Bruxelles-Capitale (French short form); Flemish Region (Flanders), also known as Vlaams Gewest (Dutch long form), Vlaanderen (Dutch short form), Region Flamande (French long form), Flandre (French short form); Walloon Region (Wallonia), also known as Region Wallone (French long form), Wallonie (French short form), Waals Gewest (Dutch long form), Wallonie (Dutch short form) |
| Administrative divisions: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities |
| Independence: | 4 October 1830 (a provisional government declared independence from the Netherlands); 21 July 1831 (King LEOPOLD I ascended to the throne) |
| National holiday: | 21 July (1831) ascension to the Throne of King LEOPOLD I |
| Constitution: | drafted 25 November 1830, approved 7 February 1831, entered into force 26 July 1831, revised 14 July 1993 (creating a federal state); amended many times, last in 2012 (2012) |
| Legal system: | civil law system based on the French Civil Code; note - Belgian law continues to be modified in conformance with the legislative norms mandated by the European Union; judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King PHILIPPE (since 21 July 2013); Heir Apparent Princess ELISABETH, daughter of the monarch |
| Executive branch: | head of government: Prime Minister Elio DI RUPO (since 6 December 2011); Deputy Prime Minister Alexander DE CROO (since 22 October 2012); Deputy Prime Minister Joelle MILQUET (since 20 March 2008); Deputy Prime Minister Laurette ONKELINX (since 30 December 2008); Deputy Prime Minister Didier REYNDERS (since 30 December 2008); Depurty Prime Minister Johan VANDE LANOTTE (since i6 December 2011); Deputy Prime Minister Pieter DE CREM (since 5 March 2013) |
| Executive branch: | cabinet: Council of Ministers are formally appointed by the monarch |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: the monarchy is hereditary and constitutional; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the monarch and approved by parliament |
| Legislative branch: | bicameral Parliament consists of a Senate or Senaat in Dutch, Senat in French (71 seats indirectly elected serve five-year terms) and a Chamber of Deputies or Kamer van Volksvertegenwoordigers in Dutch, Chambre des Representants in French (150 seats; members directly elected by popular vote on the basis of proportional representation to serve five-year terms) |
| Legislative branch: | elections: Chamber of Deputies - last held on 23 May 2014 (next to be held May 2019); note - elections will coincide with the EU's elections |
| Legislative branch: | election results: Chamber of Deputies - percent of vote by party - N-VA 20.3%, PS 11.7%, CD&V 11.6%, Open VLD 9.8%, MR 9.6%, SP.A 8.8%, Groen! 5.3%, CDH 5.0% Workers' Party 3.7%, VB 3.7%, Ecolo 3.3%, FDF 1.8%, the People's Party 1.5%, other 7.2%; seats by party - N-VA 33, PS 23, CD&V 18, Open VLD 14, MR 20, SP.A 13, Groen! 6, CDH 9, Workers' Party 2, VB 3, Ecolo 6, FDF 2, the People's Party 1 |
| Legislative branch: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities; this reality leaves six governments, each with its own legislative assembly |
