| Government | Belgium |
| --- | --- |
| Country name: | conventional long form: Kingdom of Belgium |
| Country name: | conventional short form: Belgium |
| Country name: | local long form: Royaume de Belgique/Koninkrijk Belgie |
| Country name: | local short form: Belgique/Belgie |
| Government type: | federal parliamentary democracy under a constitutional monarchy |
| Capital: | name: Brussels |
| Capital: | geographic coordinates: 50 50 N, 4 20 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 3 regions (French: regions, singular - region; Dutch: gewesten, singular - gewest); Brussels-Capital Region, also known as Brussels Hoofdstedelijk Gewest (Dutch), Region de Bruxelles-Capitale (French long form), Bruxelles-Capitale (French short form); Flemish Region (Flanders), also known as Vlaams Gewest (Dutch long form), Vlaanderen (Dutch short form), Region Flamande (French long form), Flandre (French short form); Walloon Region (Wallonia), also known as Region Wallone (French long form), Wallonie (French short form), Waals Gewest (Dutch long form), Wallonie (Dutch short form) |
| Administrative divisions: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities |
| Independence: | 4 October 1830 (a provisional government declared independence from the Netherlands); 21 July 1831 (King LEOPOLD I ascended to the throne) |
| National holiday: | 21 July (1831) ascension to the Throne of King LEOPOLD I |
| Constitution: | 7 February 1831; amended many times; revised 14 July 1993 to create a federal state |
| Legal system: | based on civil law system influenced by English constitutional theory; judicial review of legislative acts; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King ALBERT II (since 9 August 1993); Heir Apparent Prince PHILIPPE, son of the monarch |
| Executive branch: | head of government: Prime Minister Herman VAN ROMPUY (30 December 2008) |
| Executive branch: | cabinet: Council of Ministers are formally appointed by the monarch |
| Executive branch: | elections: the monarchy is hereditary and constitutional; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the monarch and then approved by parliament |
| Legislative branch: | bicameral Parliament consists of a Senate or Senaat in Dutch, Senat in French (71 seats; 40 members are directly elected by popular vote, 31 are indirectly elected; members serve four-year terms) and a Chamber of Deputies or Kamer van Volksvertegenwoordigers in Dutch, Chambre des Representants in French (150 seats; members are directly elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: Senate and Chamber of Deputies - last held 10 June 2007 (next to be held no later than June 2011) |
| Legislative branch: | election results: Senate - percent of vote by party - CDV/N-VA 19.4%, Open VLD 12.4%, MR 12.3%, VB 11.9%, PS 10.2%, SP.A-Spirit 10%, CDH 5.9%, Ecolo 5.8%, Groen! 3.6%, Dedecker List 3.4%, FN 2.3%, other 2.8%; seats by party - CDV 12, MR 11, Open VLD 9, VB 8, PS 7, SP.A 6, CDH 5, Ecolo 5, Groen! 2, LDD 1, FN 1, independents 4; Chamber of Deputies - percent of vote by party - CDV/N-VA 18.5%, MR 12.5%, VB 12%, Open VLD 11.8%, PS 10.9%, SP.A-Spirit 10.3%, CDH 6.1%, Ecolo 5.1%, Dedecker List 4%, Groen! 4%, FN 2%, other 2.8%; seats by party - CDV 23, N-VA 7, MR 23, VB 17, Open VLD 18, PS 20, SP.A 14, CDH 10, Ecolo 8, Dedecker List 5, Groen! 4, FN 1 |
| Legislative branch: | note: as a result of the 1993 constitutional revision that furthered devolution into a federal state, there are now three levels of government (federal, regional, and linguistic community) with a complex division of responsibilities; this reality leaves six governments, each with its own legislative assembly |
| Judicial branch: | Supreme Court of Justice or Hof van Cassatie (in Dutch) or Cour de Cassation (in French) (judges are appointed for life by the government; candidacies have to be submitted by the High Justice Council) |
