| Government | Nauru |
| --- | --- |
| Country name: | conventional long form: Republic of Nauru |
| Country name: | conventional short form: Nauru |
| Country name: | local long form: Republic of Nauru |
| Country name: | local short form: Nauru |
| Country name: | former: Pleasant Island |
| Government type: | republic |
| Capital: | no official capital; government offices in Yaren District |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 districts; Aiwo, Anabar, Anetan, Anibare, Baiti, Boe, Buada, Denigomodu, Ewa, Ijuw, Meneng, Nibok, Uaboe, Yaren |
| Independence: | 31 January 1968 (from the Australia-, NZ-, and UK-administered UN trusteeship) |
| National holiday: | Independence Day, 31 January (1968) |
| Constitution: | 29 January 1968; amended 17 May 1968 (Constitution Day) |
| Legal system: | acts of the Nauru Parliament and British common law; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 20 years of age; universal and compulsory |
| Executive branch: | chief of state: President Ludwig SCOTTY (since 22 June 2004); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ludwig SCOTTY (since 22 June 2004) |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of Parliament |
| Executive branch: | elections: president elected by Parliament for a three-year term; election last held 28 August 2007 (next to be held in 2010) |
| Executive branch: | election results: Ludwig SCOTTY 14, Marcos STEVEN 3 |
| Legislative branch: | unicameral Parliament (18 seats; members elected by popular vote to serve three-year terms) |
| Legislative branch: | elections: last held 25 August 2007 (next to be held in 2010) |
| Legislative branch: | election results: percent of vote - NA; seats - independents 18; note - 15 of 18 incumbents reelected |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Democratic Party [Kennan ADEANG]; Nauru Party (informal); Nauru First (Naoero Amo) Party; note - loose multiparty system |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, C, FAO, ICAO, ICCt, Interpol, IOC, ITU, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UPU, WHO |
| Diplomatic representation in the US: | chief of mission: Ambassador Vinci Niel CLODUMAR |
| Diplomatic representation in the US: | chancery: 800 2nd Avenue, Suite 400 D, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 937-0074 |
| Diplomatic representation in the US: | FAX: [1] (212) 937-0079 |
| Diplomatic representation in the US: | consulate(s): Agana (Guam) |
| Diplomatic representation from the US: | the US does not have an embassy in Nauru; the US Ambassador to Fiji is accredited to Nauru |
| Flag description: | blue with a narrow, horizontal, yellow stripe across the center and a large white 12-pointed star below the stripe on the hoist side; the star indicates the country's location in relation to the Equator (the yellow stripe) and the 12 points symbolize the 12 original tribes of Nauru |
