| Government | Nauru |
| --- | --- |
| Country name: | conventional long form: Republic of Nauru |
| Country name: | conventional short form: Nauru |
| Country name: | former: Pleasant Island |
| Government type: | republic |
| Capital: | no official capital; government offices in Yaren District |
| Administrative divisions: | 14 districts; Aiwo, Anabar, Anetan, Anibare, Baiti, Boe, Buada, Denigomodu, Ewa, Ijuw, Meneng, Nibok, Uaboe, Yaren |
| Independence: | 31 January 1968 (from the Australia-, NZ-, and UK-administered UN trusteeship) |
| National holiday: | Independence Day, 31 January (1968) |
| Constitution: | 29 January 1968 |
| Legal system: | acts of the Nauru Parliament and British common law |
| Suffrage: | 20 years of age; universal and compulsory |
| Executive branch: | chief of state: Acting President Derog GIOURA (since 10 March 2003) following death of President Bernard DOWIYOGO note - the president is both the chief of state and head of government |
| Executive branch: | elections: president elected by Parliament for a three-year term; election last held 8 March 2003 (next to be held NA 2004); following Rene HARRIS' resignation, Bernard DOWIYOGO was elected president |
| Executive branch: | election results: Rene HARRIS elected president; percent of Parliamentary vote - NA%; replaced by Bernard DOWIYOGO 9 January 2003 following a no-confidence vote; HARRIS reinstated 17 January 2003, then gives up presidency 18 January and DOWIYOGO is elected president; DOWIYOGO dies 10 March 2003; with 9 votes over 8 for Kinza CLODUMAR, Derog GIOURA was named acting president |
| Executive branch: | cabinet: Cabinet appointed by the president from among the members of Parliament |
| Executive branch: | head of government: Acting President Derog GIOURA (since 10 March 2003) following death of President Bernard DOWIYOGO note - the president is both the chief of state and head of government |
| Legislative branch: | unicameral Parliament (18 seats; members elected by popular vote to serve three-year terms) |
| Legislative branch: | elections: last held 9 April 2000 (next to be held NA April 2003) |
| Legislative branch: | election results: percent of vote - NA%; seats - independents 18 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | loose multiparty system; Democratic Party [Kennan ADEANG]; Nauru Party (informal) [Bernard DOWIYOGO] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, C, ESCAP, FAO, ICAO, Interpol, IOC, ITU, OPCW, Sparteca, SPC, SPF, UN, UNESCO, UPU, WHO |
| Diplomatic representation in the US: | Nauru does not have an embassy in the US, but does have a UN office at 800 2nd Avenue, Suite 400 D, New York, New York 10017; telephone: (212) 937-0074 |
| Diplomatic representation in the US: | consulate(s): Hagatna (Guam) |
| Diplomatic representation from the US: | the US does not have an embassy in Nauru; the US Ambassador to Fiji is accredited to Nauru |
| Flag description: | blue with a narrow, horizontal, yellow stripe across the center and a large white 12-pointed star below the stripe on the hoist side; the star indicates the country's location in relation to the Equator (the yellow stripe) and the 12 points symbolize the 12 original tribes of Nauru |
